"","LT2_tag","SL1344_tag","evalue_ab","bitscore_ab","evalue_ba","bitscore_ba"
"59","STM0062","SL1344_0063",4.07e-127,448,4.03e-127,448
"60","STM0063","SL1344_0064",0,740,0,740
"61","STM0064","SL1344_0065",0,654,0,654
"62","STM0065","SL1344_0066A",3.88e-69,147,2.41e-74,149
"63","STM0066","SL1344_0067",0,915,0,915
"64","STM0067","SL1344_0068",0,2506,0,2506
"65","STM0068","SL1344_0069",1.31e-90,326,1.29e-90,326
"66","STM0069","SL1344_0070",1.26e-135,476,1.25e-135,476
"67","STM0070","SL1344_0071",1.89e-164,572,1.87e-164,572
"68","STM0071","SL1344_0072",0,1253,0,1253
"69","STM0072","SL1344_0073",0,998,0,998
"70","STM0073","SL1344_0074",0,916,0,916
"71","STM0074","SL1344_0075",0,1256,0,1256
"72","STM0075","SL1344_0076",1.06e-165,577,1.05e-165,577
"73","STM0076","SL1344_0077",0,756,0,756
"74","STM0077","SL1344_0078",0,1005,0,1005
"75","STM0078","SL1344_0079",1.86e-64,238,1.84e-64,238
"76","STM0079","SL1344_0080",0,1044,0,1044
"77","STM0080","SL1344_0081",2.23e-51,194,2.21e-51,194
"78","STM0081","SL1344_0082",2.62e-98,352,2.6e-98,352
"79","STM0082","SL1344_0083",1e-64,239,9.93e-65,239
"80","STM0084","SL1344_0084",0,1570,0,1570
"81","STM0085","SL1344_0086",5.76e-128,451,5.7e-128,451
"82","STM0086","SL1344_0087",0,867,0,867
"83","STM0087","SL1344_0088",1.22e-110,393,1.21e-110,393
"84","STM0088","SL1344_0089",0,699,0,699
"85","STM0089","SL1344_0090",3.49e-87,314,3.45e-87,314
"86","STM0090","SL1344_0091",0,659,0,659
"87","STM0091","SL1344_0092",0,736,0,736
"88","STM0092","SL1344_0093",0,1002,0,1002
"89","STM0093","SL1344_0094",0,1930,0,1930
"90","STM0094","SL1344_0095",1.46e-155,385,1.44e-155,385
"91","STM0095","SL1344_0096",1.12e-152,533,1.11e-152,533
"92","STM0096","SL1344_0097",0,2287,0,2287
"93","STM0097","SL1344_0098",0,1909,0,1909
"94","STM0098","SL1344_0099",2.5e-139,489,2.47e-139,489
"95","STM0100","SL1344_0100",3.98e-99,354,3.94e-99,354
"96","STM0101","SL1344_0101",5e-162,564,4.95e-162,564
"97","STM0102","SL1344_0102",0,1220,0,1220
"98","STM0103","SL1344_0103",0,1286,0,1286
"99","STM0104","SL1344_0104",0,679,0,679
"100","STM0105","SL1344_0105",2.46e-151,436,2.43e-151,436
"101","STM0106","SL1344_0106",1.97e-162,566,1.95e-162,566
"102","STM0107","SL1344_0107",0,698,0,698
"103","STM0108","SL1344_0108",0,800,0,800
"104","STM0109","SL1344_0109",0,1374,0,1374
"105","STM0110","SL1344_0110",6.28e-139,487,6.22e-139,487
"106","STM0111","SL1344_0111",0,1097,0,1097
"107","STM0112","SL1344_0112",0,850,0,850
"108","STM0113","SL1344_0113",0,1221,0,1221
"109","STM0114","SL1344_0114",5.16e-16,75.3,4.53e-16,75.3
"110","STM0115","SL1344_0115",0,750,0,750
"111","STM0116","SL1344_0116",0,1292,0,1292
"112","STM0117","SL1344_0117",2.2e-109,389,2.18e-109,389
"113","STM0118","SL1344_0118",0,786,0,786
"114","STM0119","SL1344_0119",1.86e-104,372,1.84e-104,372
"115","STM0120","SL1344_0120",0,725,0,725
"116","STM0121","SL1344_0121",3.91e-73,268,3.87e-73,268
"117","STM0122","SL1344_0122",0,1375,0,1375
"118","STM0123","SL1344_0123",0,961,0,961
"119","STM0124","SL1344_0124",0,656,0,656
"120","STM0125","SL1344_0125",0,847,0,847
"121","STM0126","SL1344_0126",0,683,0,683
"122","STM0127","SL1344_0127",0,863,0,863
"123","STM0128","SL1344_0128",0,840,0,840
"124","STM0129","SL1344_0129",0,1071,0,1071
"125","STM0130","SL1344_0130",0,713,0,713
"126","STM0131","SL1344_0131",0,659,0,659
"127","STM0132","SL1344_0132",0,922,0,922
"128","STM0133","SL1344_0133",0,639,0,639
"129","STM0134","SL1344_0134",0,752,0,752
"130","STM0135","SL1344_0135",6.54e-93,334,6.47e-93,334
"131","STM0136","SL1344_0136",0,1945,0,1945
"132","STM0137","SL1344_0137",4.61e-90,324,4.56e-90,324
"133","STM0138","SL1344_0138",1.11e-39,155,1.1e-39,155
"134","STM0139","SL1344_0139",3.08e-167,582,3.05e-167,582
"135","STM0140","SL1344_0140",4.02e-129,455,3.98e-129,455
"136","STM0141","SL1344_0141",0,818,0,818
"137","STM0142","SL1344_0142",0,882,0,882
"138","STM0143","SL1344_0143",0,1103,0,1103
"139","STM0144","SL1344_0144",1.49e-106,379,1.47e-106,379
"140","STM0145","SL1344_0145",2.79e-171,595,2.24e-171,595
"141","STM0146","SL1344_0146",1.89e-133,469,1.87e-133,469
"142","STM0147","SL1344_0147",0,659,0,659
"143","STM0148","SL1344_0148",0,813,0,813
"144","STM0149","SL1344_0149",0,1091,0,1091
"145","STM0150","SL1344_0150",0,1057,0,1057
"146","STM0151","SL1344_0151",4.96e-174,555,4.92e-174,555
"147","STM0152","SL1344_0152",0,2101,0,2101
"148","STM0153","SL1344_0153",0,693,0,693
"149","STM0154","SL1344_0154",0,1075,0,1075
"150","STM0155","SL1344_0155",2.95e-62,231,2.92e-62,231
"151","STM0156","SL1344_0156",1.76e-171,596,1.74e-171,596
"152","STM0158","SL1344_0159",0,1948,0,1948
"153","STM0159","SL1344_0160",0,685,0,685
"154","STM0160","SL1344_0161",2.37e-83,302,2.34e-83,302
"155","STM0161","SL1344_0162",0,757,0,757
"156","STM0162","SL1344_0163",0,898,0,898
"157","STM0163","SL1344_0164",0,767,0,767
"158","STM0164","SL1344_0165",5.15e-169,588,5.1e-169,588
"159","STM0165","SL1344_0166",0,641,0,641
"160","STM0166","SL1344_0167",0,708,0,708
"161","STM0167","SL1344_0168",1.01e-77,283,9.96e-78,283
"162","STM0168","SL1344_0169",0,972,0,972
"163","STM0169","SL1344_0170",0,1529,0,1529
"164","STM0170","SL1344_0171",1.29e-117,416,1.28e-117,416
"165","STM0171","SL1344_0172",5.13e-155,541,5.08e-155,541
"166","STM0172","SL1344_0173",0,734,0,734
"167","STM0173","SL1344_0174",1.24e-167,583,1.23e-167,583
"168","STM0174","SL1344_0175",0,870,0,870
"169","STM0175","SL1344_0176",0,1293,0,1293
"170","STM0176","SL1344_0177",1.27e-157,550,1.26e-157,550
"171","STM0177","SL1344_0178",1.92e-116,412,1.9e-116,412
"172","STM0178","SL1344_0179",6.27e-100,357,6.2e-100,357
"173","STM0179","SL1344_0180",0,981,0,981
"174","STM0180","SL1344_0181",1.71e-86,312,1.69e-86,312
"175","STM0181","SL1344_0182",0,413,0,413
"176","STM0182","SL1344_0183",6.78e-164,571,6.71e-164,571
"177","STM0183","SL1344_0184",8.9e-111,393,8.82e-111,393
"178","STM0184","SL1344_0185",0,1039,0,1039
"179","STM0185","SL1344_0186",0,764,0,764
"180","STM0186","SL1344_0187",2.68e-95,220,2.66e-95,220
"181","STM0187","SL1344_0188",4.69e-149,521,4.65e-149,521
"182","STM0188","SL1344_0189",2.82e-127,448,2.79e-127,448
"183","STM0190","SL1344_0191",0,1112,0,1112
"184","STM0191","SL1344_0192",0,1683,0,1683
"185","STM0192","SL1344_0193",0,660,0,660
"186","STM0193","SL1344_0194",0,673,0,673
"187","STM0194","SL1344_0195",0,678,0,678
"188","STM0195","SL1344_0196",2.79e-126,445,2.76e-126,445
"189","STM0196","SL1344_0197",0,2033,0,2033
"190","STM0197","SL1344_0198",8.14e-171,593,8.06e-171,593
"191","STM0198","SL1344_0199",7.07e-103,367,6.21e-103,367
"192","STM0199","SL1344_0200",1.32e-107,383,1.31e-107,383
"193","STM0200","SL1344_0201",1.01e-122,433,1e-122,433
"194","STM0201","SL1344_0202",0,679,0,679
"195","STM0202","SL1344_0203",0,1021,0,1021
"196","STM0203","SL1344_0204",0,625,0,625
"197","STM0204","SL1344_0205",1.5e-76,279,1.26e-76,279
"198","STM0205","SL1344_0206",1.49e-133,332,1.47e-133,332
"199","STM0206","SL1344_0207",1.39e-177,575,1.37e-177,575
"200","STM0207","SL1344_0208",2.66e-154,539,2.64e-154,539
"201","STM0208","SL1344_0209",0,1055,0,1055
"202","STM0209","SL1344_0210",0,933,0,933
"203","STM0210","SL1344_0211",0,896,0,896
"204","STM0211","SL1344_0212",2.21e-89,322,2.19e-89,322
"205","STM0212","SL1344_0213",0,847,0,847
"206","STM0213","SL1344_0214",0,655,0,655
"207","STM0214","SL1344_0215",0,2059,0,2059
"208","STM0215","SL1344_0216",0,646,0,646
"209","STM0216","SL1344_0217",7.22e-166,577,7.15e-166,577
"210","STM0217","SL1344_0218",0,685,0,685
"211","STM0218","SL1344_0219",1.87e-173,602,1.85e-173,602
"212","STM0219","SL1344_0220",2.77e-130,458,2.75e-130,458
"213","STM0220","SL1344_0221",0,925,0,925
"214","STM0221","SL1344_0222",1.12e-174,606,1.11e-174,606
"215","STM0222","SL1344_0223",0,672,0,672
"216","STM0223","SL1344_0224",0,1055,0,1055
"217","STM0224","SL1344_0225",0,1932,0,1932
"218","STM0225","SL1344_0226",3.49e-111,395,3.46e-111,395
"219","STM0226","SL1344_0227",0,774,0,774
"220","STM0227","SL1344_0228",1.84e-104,372,1.82e-104,372
"221","STM0228","SL1344_0229",0,647,0,647
"222","STM0229","SL1344_0230",0,899,0,899
"223","STM0230","SL1344_0231",2.79e-137,482,2.76e-137,482
"224","STM0231","SL1344_0232",0,1938,0,1938
"225","STM0232","SL1344_0233",0,484,0,484
"226","STM0233","SL1344_0234",0,1165,0,1165
"227","STM0234","SL1344_0235",0,1741,0,1741
"228","STM0235","SL1344_0236",5.72e-85,307,5.75e-85,307
"229","STM0236","SL1344_0237",0,889,0,889
"230","STM0237","SL1344_0238",1.86e-54,205,1.77e-54,205
"231","STM0238","SL1344_0239",1.03e-47,182,1.02e-47,182
"232","STM0239","SL1344_0240",1.81e-125,442,1.8e-125,442
"233","STM0240","SL1344_0241",2.13e-95,342,2.11e-95,342
"234","STM0242","SL1344_0243",0,1306,0,1306
"235","STM0243","SL1344_0244",7.03e-153,347,6.96e-153,347
"236","STM0244","SL1344_0245",5.63e-88,317,5.58e-88,317
"237","STM0245","SL1344_0246",3.3e-171,595,3.26e-171,595
"238","STM0246","SL1344_0247",6.9e-155,540,6.83e-155,540
"239","STM0247","SL1344_0248",0,819,0,819
"240","STM0248","SL1344_0249",3.59e-129,455,3.56e-129,455
"241","STM0255","SL1344_0250",0,642,0,642
"242","STM0256","SL1344_0251",0,741,0,741
"243","STM0257","SL1344_0252",0,955,0,955
"244","STM0258","SL1344_0253",0,627,0,627
"245","STM0259","SL1344_0254",6.06e-179,621,6e-179,621
"246","STM0260","SL1344_0255",0,1059,0,1059
"247","STM0261","SL1344_0256",3.14e-179,621,3.11e-179,621
"248","STM0262","SL1344_0257",4.12e-171,594,4.08e-171,594
"249","STM0263","SL1344_0258",1.09e-109,390,1.08e-109,390
"250","STM0264","SL1344_0259",1.74e-176,612,1.74e-176,612
"251","STM0266","SL1344_0260",0,865,0,865
"252","STM0267","SL1344_0261",0,808,0,808
"253","STM0268","SL1344_0262",0,1449,0,1449
"254","STM0269","SL1344_0263",7.97e-113,400,7.89e-113,400
"255","STM0270","SL1344_0264",0,673,0,673
"256","STM0271","SL1344_0265",0,749,0,749
"257","STM0272","SL1344_0266",0,1900,0,1900
"258","STM0273","SL1344_0267",1.21e-116,413,1.2e-116,413
"259","STM0274","SL1344_0268",0,1065,0,1071
"260","STM0275","SL1344_0270",1.19e-76,279,1.78e-76,279
"261","STM0277","SL1344_0272",4.43e-110,391,4.39e-110,391
"262","STM0278","SL1344_0273",1.74e-86,312,1.73e-86,312
"263","STM0280","SL1344_0275",3.35e-125,441,3.32e-125,441
"264","STM0281","SL1344_0276",0,1000,0,1000
"265","STM0282","SL1344_0277",0,1035,0,1035
"266","STM0283","SL1344_0278",2.99e-178,618,2.96e-178,618
"267","STM0284","SL1344_0279",6.6e-101,360,6.53e-101,360
"268","STM0285","SL1344_0280",0,1688,0,1688
"269","STM0286","SL1344_0281",0,684,0,684
"270","STM0287","SL1344_0282",3.11e-96,345,3.08e-96,345
"271","STM0288","SL1344_0283",1.27e-125,443,1.26e-125,443
"272","STM0289","SL1344_0284",0,1660,0,1660
"273","STM0290","SL1344_0285",5.07e-105,374,5.02e-105,374
"274","STM0292","SL1344_0286B",2.95e-180,625,3.07e-180,625
"275","STM0293","SL1344_0288",4e-102,364,3.96e-102,364
"276","STM0294","SL1344_0289",3.29e-100,358,3.77e-100,358
"277","STM0295","SL1344_0291",8.39e-66,243,8.31e-66,243
"278","STM0296","SL1344_0292",9.81e-56,209,1.38e-55,209
"279","STM0297","SL1344_0293",3.45e-28,117,1.55e-28,117
"280","STM0298","SL1344_0294",8.14e-63,233,1.61e-62,233
"281","STM0299","SL1344_0295",5.57e-116,411,5.51e-116,411
"282","STM0300","SL1344_0296",6.07e-168,584,6.01e-168,584
"283","STM0301","SL1344_0297",0,1946,0,1946
"284","STM0302","SL1344_0298",3.63e-108,385,3.59e-108,385
"285","STM0303","SL1344_0299",0,682,0,682
"286","STM0304","SL1344_0300",0,732,0,732
"287","STM0305","SL1344_0301",1.46e-47,182,1.45e-47,182
"288","STM0306","SL1344_0302",2.17e-171,595,2.15e-171,595
"289","STM0307","SL1344_0303",2.78e-91,328,2.76e-91,328
"290","STM0308","SL1344_0304",1.23e-179,623,1.22e-179,623
"291","STM0309","SL1344_0305",0,1899,0,1899
"292","STM0310","SL1344_0306",3.99e-130,458,3.95e-130,458
"293","STM0311","SL1344_0307",0,642,0,642
"294","STM0312","SL1344_0308",4.56e-164,571,4.51e-164,571
"295","STM0313","SL1344_0309",0,850,0,850
"296","STM0315","SL1344_0311",1.94e-140,492,1.93e-140,492
"297","STM0316","SL1344_0312",0,1154,0,1154
"298","STM0317","SL1344_0313",1.71e-103,369,1.7e-103,369
"299","STM0318","SL1344_0314",0,1015,0,1015
"300","STM0319","SL1344_0315",6.03e-93,334,5.97e-93,334
"301","STM0320","SL1344_0316",0,809,0,809
"302","STM0321","SL1344_0317",0,848,0,848
"303","STM0322","SL1344_0318",0,929,0,929
"304","STM0324","SL1344_0546",2.69e-14,71.6,4.16e-14,71.6
"305","STM0325","SL1344_0319",0,646,0,646
"306","STM0327","SL1344_0322",9.92e-75,273,9.82e-75,273
"307","STM0328","SL1344_0323",0,1022,0,1022
"308","STM0329","SL1344_0324",0,968,0,968
"309","STM0330","SL1344_0325",5.59e-145,507,5.53e-145,507
"310","STM0331","SL1344_0326",0,716,0,716
"311","STM0332","SL1344_0327",0,718,0,718
"312","STM0333","SL1344_0328",0,774,0,774
"313","STM0334","SL1344_0329",5.19e-62,230,5.14e-62,230
"314","STM0335","SL1344_0330",2.47e-86,312,2.44e-86,312
"315","STM0336","SL1344_0331",1.26e-158,357,1.25e-158,357
"316","STM0337","SL1344_0332",0,1085,0,1085
"317","STM0338","SL1344_0333",0,1441,0,1443
"318","STM0339","SL1344_0334",1.32e-176,613,1.31e-176,613
"319","STM0340","SL1344_0335",2.86e-123,435,2.83e-123,435
"320","STM0341","SL1344_0336",6.5e-176,610,6.44e-176,610
"321","STM0342","SL1344_0337",3.14e-64,212,6.65e-64,212
"322","STM0343","SL1344_0338",0,1143,0,1143
"323","STM0344","SL1344_0339",4.98e-173,601,4.93e-173,601
"324","STM0345","SL1344_0340",3.84e-108,385,3.8e-108,385
"325","STM0346","SL1344_0341",7.86e-112,397,7.87e-112,397
"326","STM0347","SL1344_0342",1.09e-144,506,1.08e-144,506
"327","STM0348","SL1344_0343",1.15e-47,182,1.14e-47,182
"328","STM0349","SL1344_0344",9.13e-84,303,9.04e-84,303
"329","STM0350","SL1344_0345",0,1061,0,1061
"330","STM0352","SL1344_0347",0,810,0,810
"331","STM0353","SL1344_0348",0,1707,0,1707
"332","STM0354","SL1344_0349",7.89e-102,363,7.81e-102,363
"333","STM0355","SL1344_0350",1.46e-38,151,1.44e-38,151
"334","STM0356","SL1344_0351",0,994,0,994
"335","STM0357","SL1344_0352",0,1532,0,1532
"336","STM0358","SL1344_0353",0,2297,0,2297
"337","STM0359","SL1344_0354",1.22e-18,84,1.2e-18,84
"338","STM0360","SL1344_0355",0,1131,0,1131
"339","STM0361","SL1344_0356",0,471,0,471
"340","STM0362","SL1344_0357",1.58e-43,168,1.57e-43,168
"341","STM0363","SL1344_0358",0,779,0,779
"342","STM0364","SL1344_0359",0,1655,0,1655
"343","STM0365","SL1344_0360",3e-137,482,2.97e-137,482
"344","STM0366","SL1344_0361",1.58e-63,235,1.56e-63,235
"345","STM0367","SL1344_0362",0,1259,0,1259
"346","STM0368","SL1344_0363",0,705,0,705
"347","STM0369","SL1344_0364",0,939,0,939
"348","STM0370","SL1344_0365",0,1154,0,1154
"349","STM0371","SL1344_0366",0,1490,0,1490
"350","STM0372","SL1344_0367",0,782,0,782
"351","STM0373","SL1344_0368",0,2201,0,2201
"352","STM0374","SL1344_0369",4.41e-142,498,4.36e-142,498
"353","STM0375","SL1344_0370",0,918,0,918
"354","STM0376","SL1344_0371",0,907,0,907
"355","STM0377","SL1344_0372",0,902,0,902
"356","STM0378","SL1344_0373",3.85e-68,251,3.81e-68,251
"357","STM0379","SL1344_0374",3.39e-46,177,3.36e-46,177
"358","STM0380","SL1344_0375",0,851,0,851
"359","STM0381","SL1344_0376",2.34e-164,572,2.32e-164,572
"360","STM0382","SL1344_0377",0,976,0,976
"361","STM0383","SL1344_0378",5.31e-55,207,5.26e-55,207
"362","STM0384","SL1344_0379",7.6e-68,250,7.52e-68,250
"363","STM0385","SL1344_0380",0,884,0,884
"364","STM0386","SL1344_0381",5.94e-170,591,5.88e-170,591
"365","STM0387","SL1344_0382",4.41e-107,381,4.36e-107,381
"366","STM0388","SL1344_0383",1.68e-120,426,1.66e-120,426
"367","STM0389","SL1344_0384",1.34e-41,161,1.33e-41,161
"368","STM0390","SL1344_0385",2.78e-143,502,2.75e-143,502
"369","STM0391","SL1344_0386",6.02e-63,233,5.96e-63,233
"370","STM0392","SL1344_0387",0,706,0,706
"371","STM0393","SL1344_0388",0,724,0,724
"372","STM0394","SL1344_0389",0,920,0,920
"373","STM0396","SL1344_0391",0,953,0,953
"374","STM0397","SL1344_0392",1.39e-162,566,1.38e-162,566
"375","STM0398","SL1344_0393",0,1036,0,1036
"376","STM0399","SL1344_0394",0,990,0,990
"377","STM0400","SL1344_0395",0,1132,0,1132
"378","STM0401","SL1344_0396",0,1485,0,1485
"379","STM0402","SL1344_0397",8.58e-139,487,8.49e-139,487
"380","STM0403","SL1344_0398",1.55e-126,446,1.53e-126,446
"381","STM0404","SL1344_0399",0,838,0,838
"382","STM0405","SL1344_0400",0,924,0,924
"383","STM0406","SL1344_0401",4.26e-76,277,4.21e-76,277
"384","STM0407","SL1344_0402",0,1359,0,1359
"385","STM0408","SL1344_0403",0,741,0,741
"386","STM0409","SL1344_0404",9.35e-84,303,9.26e-84,303
"387","STM0410","SL1344_0405",1.4e-166,579,1.39e-166,579
"388","STM0411","SL1344_0406",2.64e-81,295,2.62e-81,295
"389","STM0413","SL1344_0407",0,693,0,693
"390","STM0414","SL1344_0408",8.75e-125,440,8.66e-125,440
"391","STM0415","SL1344_0409",3.73e-101,361,3.69e-101,361
"392","STM0416","SL1344_0410",0,838,0,838
"393","STM0417","SL1344_0411",1.64e-98,352,1.62e-98,352
"394","STM0418","SL1344_0412",2.11e-95,342,2.09e-95,342
"395","STM0419","SL1344_0413",0,782,0,782
"396","STM0420","SL1344_0414",6.07e-125,440,6.01e-125,440
"397","STM0421","SL1344_0415",0,772,0,772
"398","STM0422","SL1344_0416",0,1314,0,1314
"399","STM0423","SL1344_0417",0,714,0,714
"400","STM0424","SL1344_0418",1.37e-52,199,1.35e-52,199
"401","STM0425","SL1344_0419",0,1065,0,1065
"402","STM0426","SL1344_0420",3.71e-155,439,3.67e-155,439
"403","STM0427","SL1344_0421",3.66e-180,603,3.63e-180,603
"404","STM0428","SL1344_0422",0,850,0,850
"405","STM0429","SL1344_0423",0,755,0,755
"406","STM0430","SL1344_0424",1.06e-166,580,1.05e-166,580
"407","STM0431","SL1344_0425",0,874,0,874
"408","STM0432","SL1344_0426",0,645,0,645
"409","STM0433","SL1344_0427",6.09e-135,474,6.03e-135,474
"410","STM0434","SL1344_0428",0,738,0,738
"411","STM0435","SL1344_0429",2.93e-112,398,2.9e-112,398
"412","STM0436","SL1344_0430",0,1058,0,1058
"413","STM0437","SL1344_0431",0,1206,0,1206
"414","STM0438","SL1344_0432",0,1029,0,1029
"415","STM0439","SL1344_0433",0,721,0,721
"416","STM0440","SL1344_0434",1.64e-76,279,1.63e-76,279
"417","STM0441","SL1344_0435",1.95e-120,426,1.56e-120,426
"418","STM0442","SL1344_0436",0,1132,0,1132
"419","STM0443","SL1344_0437",0,726,0,726
"420","STM0444","SL1344_0438",0,936,0,936
"421","STM0445","SL1344_0439",8.46e-146,510,8.38e-146,510
"422","STM0446","SL1344_0440",1.55e-68,252,1.54e-68,252
"423","STM0447","SL1344_0441",0,857,0,857
"424","STM0448","SL1344_0442",1.98e-140,492,1.96e-140,492
"425","STM0449","SL1344_0443",0,980,0,980
"426","STM0450","SL1344_0444",0,1774,0,1774
"427","STM0451","SL1344_0445",8.88e-65,239,8.79e-65,239
"428","STM0452","SL1344_0446",0,1311,0,1311
"429","STM0453","SL1344_0447",2.32e-74,272,2.3e-74,272
"430","STM0454","SL1344_0448",2.49e-90,325,2.47e-90,325
"431","STM0455","SL1344_0449",2.45e-157,549,2.42e-157,549
"432","STM0456","SL1344_0450",0,1368,0,1368
"433","STM0457","SL1344_0451",0,665,0,665
"434","STM0458","SL1344_0452",0,830,0,830
"435","STM0459","SL1344_0453",7.75e-106,377,7.67e-106,377
"436","STM0460","SL1344_0454",0,1014,0,1014
"437","STM0461","SL1344_0455",0,1297,0,1297
"438","STM0462","SL1344_0456",8.25e-76,276,8.17e-76,276
"439","STM0463","SL1344_0457",0,894,0,894
"440","STM0464","SL1344_0458",0,659,0,659
"441","STM0465","SL1344_0459",1.02e-113,403,1.01e-113,403
"442","STM0466","SL1344_0460",9.22e-71,260,6.65e-71,260
"443","STM0468","SL1344_0461",0,1201,0,1201
"444","STM0469","SL1344_0462",5.64e-56,210,5.58e-56,210
"445","STM0470","SL1344_0463",6.55e-14,68.9,3.88e-14,68.9
"446","STM0471","SL1344_0464",2.88e-109,388,2.85e-109,388
"447","STM0472","SL1344_0465",1.1e-124,400,1.09e-124,400
"448","STM0473","SL1344_0466",6.28e-45,173,6.21e-45,173
"449","STM0474","SL1344_0467",2.91e-85,308,2.88e-85,308
"450","STM0475","SL1344_0468",0,2347,0,2347
"451","STM0476","SL1344_0469",0,927,0,927
"452","STM0477","SL1344_0470",2.88e-144,505,2.85e-144,505
"453","STM0478","SL1344_0471",0,1298,0,1298
"454","STM0479","SL1344_0472",0,736,0,736
"455","STM0480","SL1344_0473",2.66e-33,133,2.63e-33,133
"456","STM0481","SL1344_0474",7.71e-112,397,7.64e-112,397
"457","STM0483","SL1344_0476",2.17e-127,449,2.15e-127,449
"458","STM0484","SL1344_0477",0,874,0,874
"459","STM0485","SL1344_0478",2.86e-71,261,2.83e-71,261
"460","STM0486","SL1344_0479",1.92e-124,439,1.9e-124,439
"461","STM0487","SL1344_0480",0,1468,0,1466
"462","STM0488","SL1344_0481",3.89e-148,518,3.85e-148,518
"463","STM0489","SL1344_0482",0,771,0,771
"464","STM0490","SL1344_0483",0,737,0,737
"465","STM0491","SL1344_0484",0,1020,0,1020
"466","STM0492","SL1344_0485",0,834,0,834
"467","STM0493","SL1344_0486",0,950,0,950
"468","STM0494","SL1344_0487",0,1257,0,1256
"469","STM0495","SL1344_0488",5.15e-112,397,5.1e-112,397
"470","STM0496","SL1344_0489",0,638,0,638
"471","STM0497","SL1344_0490",0,644,0,644
"472","STM0498","SL1344_0491",0,1872,0,1872
"473","STM0499","SL1344_0492",6.28e-93,334,6.22e-93,334
"474","STM0500","SL1344_0493",2.31e-103,369,2.29e-103,369
"475","STM0501","SL1344_0494",0,702,0,702
"476","STM0502","SL1344_0495",1.07e-151,530,1.06e-151,530
"477","STM0503","SL1344_0496",6.65e-180,624,6.59e-180,624
"478","STM0504","SL1344_0497",1.1e-176,613,1.09e-176,613
