"locus_tag","logFC","logCPM","PValue","FDR","gene_name","zscore","model","DE_rec"
"SL1344_3653",0.3,3.32,0.8,0.86,"SL1344_3653",0.145494486531974,"HeLa-RNAseq","FDR>=0.05"
"SL1344_P1_0085",-1.03,4.59,0.3,0.43,"SL1344_P1_0085",-0.499531070426444,"HeLa-RNAseq","FDR>=0.05"
"SL1344_0534",-0.41,5.7,0.3,0.43,"ybcJ",-0.198842464927031,"HeLa-RNAseq","FDR>=0.05"
"SL1344_0617",-0.35,12.02,0.07,0.14,"cspE",-0.169743567620636,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1182",1.14,4.8,0.11,0.2,"cspH",0.552879048821501,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1322",-1.27,5.7,0.01,0.03,"orf70",-0.615926659652024,"HeLa-RNAseq","Attenuated"
"SL1344_1635",-1.2,6.28,0,0.01,"SL1344_1635",-0.581977946127896,"HeLa-RNAseq","Attenuated"
"SL1344_1924",-2.42,9.69,0,0,"cspB",-1.17365552469126,"HeLa-RNAseq","Attenuated"
"SL1344_4045",-2.73,8.79,0,0,"rpmE",-1.32399982744096,"HeLa-RNAseq","Attenuated"
"SL1344_4176",-2.54,8.79,0,0,"yjbJ",-1.23185331930405,"HeLa-RNAseq","Attenuated"
"SL1344_P3_0006",-0.14,8.57,0.66,0.76,"SL1344_P3_0006",-0.0678974270482546,"HeLa-RNAseq","FDR>=0.05"
"SL1344_P1_0092",0.03,6.25,0.96,0.97,"pefI",0.0145494486531974,"HeLa-RNAseq","FDR>=0.05"
"SL1344_0045",-2.15,4.22,0.03,0.06,"yaaY",-1.04271048681248,"HeLa-RNAseq","FDR>=0.05"
"SL1344_0301",-5.93,3.94,0,0.01,"SL1344_0301",-2.87594101711535,"HeLa-RNAseq","Attenuated"
"SL1344_0374",1.32,6.5,0,0,"yaiZ",0.640175740740686,"HeLa-RNAseq","Amplified"
"SL1344_1340",7.17,8.62,0,0,"ssaG",3.47731822811418,"HeLa-RNAseq","Amplified"
"SL1344_1494",-1.46,4.04,0.15,0.25,"yddX",-0.70807316778894,"HeLa-RNAseq","FDR>=0.05"
"SL1344_4249",-3.31,4.94,0,0,"SL1344_4249",-1.60528916806945,"HeLa-RNAseq","Attenuated"
"SL1344_P1_0015",-0.28,4.08,0.83,0.89,"trbE",-0.135794854096509,"HeLa-RNAseq","FDR>=0.05"
"SL1344_0239",-0.42,7.3,0.17,0.27,"yaeP",-0.203692281144764,"HeLa-RNAseq","FDR>=0.05"
"SL1344_0466",0.5,7.64,0.11,0.19,"hha",0.242490810886623,"HeLa-RNAseq","FDR>=0.05"
"SL1344_0575",-1.62,5.33,0.01,0.03,"ybdZ",-0.78567022727266,"HeLa-RNAseq","Attenuated"
"SL1344_1617",3.41,7.37,0,0,"pspD",1.65378733024677,"HeLa-RNAseq","Amplified"
"SL1344_1637",-3.79,6.35,0,0,"osmB",-1.83808034652061,"HeLa-RNAseq","Attenuated"
"SL1344_2645",-0.58,3.96,0.54,0.65,"gpB",-0.281289340628483,"HeLa-RNAseq","FDR>=0.05"
"SL1344_2665",0.57,3.76,0.56,0.67,"SL1344_2665",0.276439524410751,"HeLa-RNAseq","FDR>=0.05"
"SL1344_2985",-1.51,5,0.01,0.02,"ygdR",-0.732322248877603,"HeLa-RNAseq","Attenuated"
"SL1344_3421",-0.51,4.74,0.52,0.63,"slyX",-0.247340627104356,"HeLa-RNAseq","FDR>=0.05"
"SL1344_3430",-0.02,5.46,0.96,0.98,"yheU",-0.00969963243546494,"HeLa-RNAseq","FDR>=0.05"
"SL1344_P1_0080",1.2,7.93,0,0,"ccdA",0.581977946127896,"HeLa-RNAseq","Amplified"
"SL1344_2480",0.88,4.95,0.14,0.23,"yfgJ",0.426783827160457,"HeLa-RNAseq","FDR>=0.05"
"SL1344_3365",0.01,4.69,0.98,0.99,"yhdV",0.00484981621773247,"HeLa-RNAseq","FDR>=0.05"
"SL1344_3427",0.89,3.59,0.34,0.46,"SL1344_3427",0.43163364337819,"HeLa-RNAseq","FDR>=0.05"
"SL1344_P2_0028",3.05,4.54,0.18,0.29,"yceA",1.4791939464084,"HeLa-RNAseq","FDR>=0.05"
"SL1344_P1_0048",0.04,3.81,1,1,"SL1344_P1_0048",0.0193992648709299,"HeLa-RNAseq","FDR>=0.05"
"SL1344_0343",2.13,4,0.12,0.2,"SL1344_0343",1.03301085437702,"HeLa-RNAseq","FDR>=0.05"
"SL1344_0357",-1.35,3.64,0.27,0.39,"SL1344_0357",-0.654725189393883,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1125",-1.12,4,0.34,0.46,"SL1344_1125",-0.543179416386037,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1619",3.19,8.56,0,0,"pspB",1.54709137345666,"HeLa-RNAseq","Amplified"
"SL1344_1878",-2.08,5.32,0,0,"yecF",-1.00876177328835,"HeLa-RNAseq","Attenuated"
"SL1344_3882",-0.19,4.92,0.69,0.77,"rffH",-0.0921465081369169,"HeLa-RNAseq","FDR>=0.05"
"SL1344_P3_0002",-3.14,7.63,0.01,0.02,"SL1344_P3_0002",-1.522842292368,"HeLa-RNAseq","Attenuated"
"SL1344_1057",1.25,7.44,0,0.01,"yccJ",0.606227027216559,"HeLa-RNAseq","Amplified"
"SL1344_1089",-0.61,3.76,0.52,0.63,"yceK",-0.295838789281681,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1913",1.78,4.99,0,0.01,"yodD",0.86326728675638,"HeLa-RNAseq","Amplified"
"SL1344_2549",4.92,6.01,0,0,"SL1344_2549",2.38610957912437,"HeLa-RNAseq","Amplified"
"SL1344_2703",4.06,2.53,0.07,0.14,"SL1344_2703",1.96902538439938,"HeLa-RNAseq","FDR>=0.05"
"SL1344_2963",-1.08,8.53,0,0.01,"ygdI",-0.523780151515107,"HeLa-RNAseq","Attenuated"
"SL1344_3012",0.12,7.82,0.68,0.77,"SL1344_3012",0.0581977946127896,"HeLa-RNAseq","FDR>=0.05"
"SL1344_3472",0.67,6.96,0.06,0.11,"feoA",0.324937686588075,"HeLa-RNAseq","FDR>=0.05"
"SL1344_3525",1.93,5.76,0.04,0.08,"phd",0.936014530022366,"HeLa-RNAseq","FDR>=0.05"
"SL1344_4326",-2.01,8.39,0,0,"rpsR",-0.974813059764226,"HeLa-RNAseq","Attenuated"
"SL1344_0081",-1.5,3.69,0.07,0.14,"SL1344_0081",-0.72747243265987,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1393",1.26,7.67,0,0,"ydgT",0.611076843434291,"HeLa-RNAseq","Amplified"
"SL1344_1530A",6.17,8.73,0,0,"SL1344_1530A",2.99233660634093,"HeLa-RNAseq","Amplified"
"SL1344_1533",5.56,7.17,0,0,"yncJ",2.69649781705925,"HeLa-RNAseq","Amplified"
"SL1344_1698",0.09,5.09,0.86,0.91,"chaB",0.0436483459595922,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1810",-1.63,4.16,0.03,0.07,"holE",-0.790520043490392,"HeLa-RNAseq","FDR>=0.05"
"SL1344_2438",0.19,5.56,0.67,0.76,"SL1344_2438",0.0921465081369169,"HeLa-RNAseq","FDR>=0.05"
"SL1344_0957",-0.81,5.46,0.23,0.35,"SL1344_0957",-0.39283511363633,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1523",-1.21,4.96,0.04,0.08,"ydcY",-0.586827762345629,"HeLa-RNAseq","FDR>=0.05"
"SL1344_2584",0.51,6.31,0.33,0.46,"SL1344_2584",0.247340627104356,"HeLa-RNAseq","FDR>=0.05"
"SL1344_2699",0.86,6.85,0.16,0.27,"SL1344_2699",0.417084194724992,"HeLa-RNAseq","FDR>=0.05"
"SL1344_2714",-2.21,4.78,0,0.01,"SL1344_2714",-1.07180938411888,"HeLa-RNAseq","Attenuated"
"SL1344_3686",0.04,5.59,0.94,0.96,"yibR",0.0193992648709299,"HeLa-RNAseq","FDR>=0.05"
"SL1344_P2_0007",-1.04,6.1,0.02,0.05,"yaeA",-0.504380886644177,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1311",-2.93,14.37,0,0,"lpp",-1.42099615179561,"HeLa-RNAseq","Attenuated"
"SL1344_1375",-0.6,4.09,0.42,0.54,"ydhI",-0.290988973063948,"HeLa-RNAseq","FDR>=0.05"
"SL1344_3474",1.32,7.23,0,0,"yhgG",0.640175740740686,"HeLa-RNAseq","Amplified"
"SL1344_4483",1.14,7.71,0.05,0.1,"SL1344_4483",0.552879048821501,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1180",-0.4,7.57,0.31,0.43,"msgA",-0.193992648709299,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1310",1.51,5.67,0,0,"lppB",0.732322248877603,"HeLa-RNAseq","Amplified"
"SL1344_1370",1.63,3.66,0.07,0.13,"ydhL",0.790520043490392,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1770",-4.02,4.69,0,0,"SL1344_1770",-1.94962611952845,"HeLa-RNAseq","Attenuated"
"SL1344_1780",3.01,7.06,0,0,"SL1344_1780",1.45979468153747,"HeLa-RNAseq","Amplified"
"SL1344_2781",-1.97,6.41,0.05,0.1,"SL1344_2781",-0.955413794893296,"HeLa-RNAseq","FDR>=0.05"
"SL1344_4037",-0.47,8.81,0.04,0.09,"yiiU",-0.227941362233426,"HeLa-RNAseq","FDR>=0.05"
"SL1344_0418",-0.3,5.66,0.46,0.58,"xseB",-0.145494486531974,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1254",-0.45,4.8,0.58,0.68,"cedA",-0.218241729797961,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1927A",0.78,5.69,0.14,0.24,"SL1344_1927A",0.378285664983133,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1975",0.57,3.29,0.71,0.79,"SL1344_1975",0.276439524410751,"HeLa-RNAseq","FDR>=0.05"
"SL1344_2368",-0.11,4.59,0.87,0.92,"SL1344_2368",-0.0533479783950572,"HeLa-RNAseq","FDR>=0.05"
"SL1344_2853",-5.07,8.37,0,0,"prgI",-2.45885682239036,"HeLa-RNAseq","Attenuated"
"SL1344_3354",-1.5,3.77,0.13,0.22,"yhdT",-0.72747243265987,"HeLa-RNAseq","FDR>=0.05"
"SL1344_3539",-6.14,3.97,0.01,0.02,"yhhM",-2.97778715768774,"HeLa-RNAseq","Attenuated"
"SL1344_4158",2.14,4.6,0,0,"yjbE",1.03786067059475,"HeLa-RNAseq","Amplified"
"SL1344_4379",0.09,5.98,0.84,0.89,"relB",0.0436483459595922,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1099",-0.1,7.53,0.82,0.87,"dinI",-0.0484981621773247,"HeLa-RNAseq","FDR>=0.05"
"SL1344_2162",0.45,3.03,0.68,0.77,"b2145",0.218241729797961,"HeLa-RNAseq","FDR>=0.05"
"SL1344_2790",1.3,5.71,0.06,0.12,"nrdH",0.630476108305221,"HeLa-RNAseq","FDR>=0.05"
"SL1344_3543",-1.09,5.76,0.04,0.09,"yhhP",-0.528629967732839,"HeLa-RNAseq","FDR>=0.05"
"SL1344_P2_0024",-0.45,6.36,0.52,0.63,"yccA",-0.218241729797961,"HeLa-RNAseq","FDR>=0.05"
"SL1344_P2_0082",1.27,3.64,0.1,0.19,"shfB2",0.615926659652024,"HeLa-RNAseq","FDR>=0.05"
"SL1344_P1_0026",-1,3.69,0.42,0.54,"trbD",-0.484981621773247,"HeLa-RNAseq","FDR>=0.05"
"SL1344_P1_0102",-1.69,9.05,0,0,"repC",-0.819618940796787,"HeLa-RNAseq","Attenuated"
"SL1344_0570",-0.21,3.95,0.79,0.86,"ybdJ",-0.101846140572382,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1202",2.16,5.34,0,0,"SL1344_1202",1.04756030303021,"HeLa-RNAseq","Amplified"
"SL1344_1210",-1.13,6.96,0,0,"yeaQ",-0.548029232603769,"HeLa-RNAseq","Attenuated"
"SL1344_1342",8.13,9.32,0,0,"ssaI",3.9429005850165,"HeLa-RNAseq","Amplified"
"SL1344_1480",0.12,7.11,0.82,0.87,"SL1344_1480",0.0581977946127896,"HeLa-RNAseq","FDR>=0.05"
"SL1344_2583",-0.99,6.91,0.1,0.18,"SL1344_2583",-0.480131805555514,"HeLa-RNAseq","FDR>=0.05"
"SL1344_2860",-1.85,6.98,0,0,"iacP",-0.897216000280507,"HeLa-RNAseq","Attenuated"
"SL1344_3117",0.91,3.76,0.33,0.45,"hybG",0.441333275813655,"HeLa-RNAseq","FDR>=0.05"
"SL1344_0781",-2.8,3.47,0.03,0.06,"moaD",-1.35794854096509,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1211",2.88,7.3,0,0,"yaoF",1.39674707070695,"HeLa-RNAseq","Amplified"
"SL1344_1647",0.39,6.58,0.25,0.37,"yciN",0.189142832491566,"HeLa-RNAseq","FDR>=0.05"
"SL1344_3668",0.21,6.75,0.5,0.62,"grxC",0.101846140572382,"HeLa-RNAseq","FDR>=0.05"
"SL1344_0238",0.82,7.23,0.01,0.03,"rof",0.397684929854062,"HeLa-RNAseq","Amplified"
"SL1344_1593",-0.71,6.73,0.04,0.08,"ynaJ",-0.344336951459005,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1603",-0.4,4.54,0.56,0.67,"SL1344_1603",-0.193992648709299,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1725",1.76,4.72,0.01,0.02,"ymgE",0.853567654320915,"HeLa-RNAseq","Amplified"
"SL1344_1985",-0.39,4.38,0.56,0.67,"SL1344_1985",-0.189142832491566,"HeLa-RNAseq","FDR>=0.05"
"SL1344_2187",-1.41,4.01,0.12,0.21,"SL1344_2187",-0.683824086700278,"HeLa-RNAseq","FDR>=0.05"
"SL1344_2248",-2.3,6.06,0,0,"yfaE",-1.11545773007847,"HeLa-RNAseq","Attenuated"
"SL1344_3927",-0.21,8.66,0.39,0.51,"tatA",-0.101846140572382,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1098",-0.51,5.88,0.26,0.38,"bssS",-0.247340627104356,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1151",-0.47,8.69,0.24,0.36,"ycfR",-0.227941362233426,"HeLa-RNAseq","FDR>=0.05"
"SL1344_2271",-1.77,4.95,0.01,0.02,"SL1344_2271",-0.858417470538647,"HeLa-RNAseq","Attenuated"
"SL1344_2273",3.88,8.39,0,0,"pmrD",1.8817286924802,"HeLa-RNAseq","Amplified"
"SL1344_2935",0.27,5.69,0.6,0.7,"SL1344_2935",0.130945037878777,"HeLa-RNAseq","FDR>=0.05"
"SL1344_3367",0.82,5.49,0.07,0.14,"yrdB",0.397684929854062,"HeLa-RNAseq","FDR>=0.05"
"SL1344_3808",-1.52,6.57,0,0,"SL1344_3808",-0.737172065095335,"HeLa-RNAseq","Attenuated"
"SL1344_4431",1.76,4.03,0.05,0.1,"SL1344_4431",0.853567654320915,"HeLa-RNAseq","FDR>=0.05"
"SL1344_0799",-2.65,4.47,0.04,0.09,"ybiJ",-1.2852012976991,"HeLa-RNAseq","FDR>=0.05"
"SL1344_0949",-0.74,3.38,0.46,0.58,"SL1344_0949",-0.358886400112203,"HeLa-RNAseq","FDR>=0.05"
"SL1344_2538",-1.41,6.56,0.04,0.09,"yfhL",-0.683824086700278,"HeLa-RNAseq","FDR>=0.05"
"SL1344_2868",-3.79,6.3,0,0,"spaQ",-1.83808034652061,"HeLa-RNAseq","Attenuated"
"SL1344_3484",0.37,8,0.32,0.45,"SL1344_3484",0.179443200056101,"HeLa-RNAseq","FDR>=0.05"
"SL1344_3862",-3.3,6.29,0,0,"ilvM",-1.60043935185171,"HeLa-RNAseq","Attenuated"
"SL1344_0286A",1.18,6.23,0.04,0.09,"SL1344_0286A",0.572278313692431,"HeLa-RNAseq","FDR>=0.05"
"SL1344_0979",1.67,3.44,0.13,0.22,"SL1344_0979",0.809919308361322,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1183",7.35,6.13,0,0,"pagD",3.56461492003336,"HeLa-RNAseq","Amplified"
"SL1344_1527",-0.35,5.97,0.47,0.59,"ydcX",-0.169743567620636,"HeLa-RNAseq","FDR>=0.05"
"SL1344_2230",-2,3.6,0.49,0.6,"napD",-0.969963243546494,"HeLa-RNAseq","FDR>=0.05"
"SL1344_3333",-2.21,4.12,0.01,0.04,"yhcN",-1.07180938411888,"HeLa-RNAseq","Attenuated"
"SL1344_P1_0071",-0.67,5.3,0.22,0.34,"SL1344_P1_0071",-0.324937686588075,"HeLa-RNAseq","FDR>=0.05"
"SL1344_0378",3.51,7.56,0,0,"yaiB",1.7022854924241,"HeLa-RNAseq","Amplified"
"SL1344_0800",1.66,4.44,0.01,0.04,"ybiI",0.80506949214359,"HeLa-RNAseq","Amplified"
"SL1344_1354",8.35,8.16,0,0,"ssaS",4.04959654180661,"HeLa-RNAseq","Amplified"
"SL1344_2750",1,3.76,0.34,0.46,"SL1344_2750",0.484981621773247,"HeLa-RNAseq","FDR>=0.05"
"SL1344_3023",-1.02,6.92,0,0.01,"ygfY",-0.494681254208712,"HeLa-RNAseq","Attenuated"
"SL1344_3334",-3.52,4.52,0,0,"SL1344_3334",-1.70713530864183,"HeLa-RNAseq","Attenuated"
"SL1344_4020",3.2,4.02,0,0,"SL1344_4020",1.55194118967439,"HeLa-RNAseq","Amplified"
"SL1344_4239",-2,3.59,0.03,0.07,"SL1344_4239",-0.969963243546494,"HeLa-RNAseq","FDR>=0.05"
"SL1344_P2_0043",-0.27,3.54,0.87,0.92,"ydfB",-0.130945037878777,"HeLa-RNAseq","FDR>=0.05"
"SL1344_1331",7.47,9.91,0,0,"sseA",3.62281271464615,"HeLa-RNAseq","Amplified"
"SL1344_1909",-2.52,4.6,0,0,"fliQ",-1.22215368686858,"HeLa-RNAseq","Attenuated"
