locus_tag,gene_name,start,end,strand,read_count,ins_index,gene_length,ins_count,function,call
STMMW_00351,STMMW_00351,38773,39534,-1,238,0.143044619422572,762,109,putative exported protein,not required
STMMW_00361,STMMW_00361,40131,41624,1,1425,0.344042838018742,1494,514,putative secreted sulfatase,not required
STMMW_00371,STMMW_00371,41723,42913,1,938,0.27791771620487,1191,331,possible sulfatase regulatory protein,not required
STMMW_00381,STMMW_00381,42932,44185,1,1879,0.413875598086124,1254,519,conserved hypothetical protein,not required
STMMW_00391,STMMW_00391,44312,46027,1,2579,0.473776223776224,1716,813,possible sulfatase,not required
STMMW_00401,nhaA,46190,47356,1,374,0.13796058269066,1167,161,Na( )/H( ) antiporter 1,not required
STMMW_00411,nhaR,47418,48317,1,531,0.242222222222222,900,218,transcriptional activator protein NhaR,not required
STMMW_00421,STMMW_00421,48372,50411,-1,1245,0.227450980392157,2040,464,putative glycosyl hydrolase,not required
STMMW_00431,STMMW_00431,50451,51824,-1,1371,0.291120815138282,1374,400,putative transport protein,not required
STMMW_00441,rpsT,52280,52543,-1,2,0.00757575757575758,264,2,30S ribosomal protein S20,required
STMMW_00451,yaaY,52649,52864,1,24,0.087962962962963,216,19,conserved hypothetical protein,not required
STMMW_00461,ribF,52872,53810,1,3,0.00319488817891374,939,3,riboflavin biosynthesis protein RibF,required
STMMW_00471,ileS,53855,56689,1,45,0.00529100529100529,2835,15,isoleucyl-tRNA synthetase,required
STMMW_00481,lspA,56689,57189,1,11,0.00798403193612774,501,4,lipoprotein signal peptidase,required
STMMW_00491,fkpB,57344,57793,1,242,0.186666666666667,450,84,probable FkbB-type 16 kD peptidyl-prolyl cis- trans isomerase,not required
STMMW_00501,ispH,57796,58746,1,54,0.017875920084122,951,17,LytB protein,required
STMMW_00511,STMMW_00511,58946,60148,1,1059,0.315045719035744,1203,379,conserved hypothetical protein,not required
STMMW_00521,rihC,60164,61084,1,874,0.323561346362649,921,298,putative nucleoside hydrolase (IUNH family),not required
STMMW_00531,citB2,61106,61792,-1,946,0.429403202328967,687,295,transcriptional regulatory protein citb,not required
STMMW_00541,citA2,61794,63413,-1,4473,0.630246913580247,1620,1021,sensor kinase cita,not required
STMMW_00551,STMMW_00551,63548,64849,-1,2092,0.490783410138249,1302,639,oxaloacetate decarboxylase beta chain (ec 4.1.1.3),not required
STMMW_00561,STMMW_00561,64862,66637,-1,2593,0.442004504504505,1776,785,oxaloacetate decarboxylase alpha chain,not required
STMMW_00571,oadG,66654,66893,-1,220,0.304166666666667,240,73,oxaloacetate decarboxylase gamma chain 1,not required
STMMW_00581,STMMW_00581,67052,68392,-1,1319,0.290082028337062,1341,389,citrate-sodium symporter,not required
STMMW_00591,citC2,68637,69680,1,701,0.264367816091954,1044,276,[citrate (PRO-3S)-lyase] ligase,not required
STMMW_00601,citD2,69710,70003,1,172,0.231292517006803,294,68,citrate lyase acyl carrier protein,not required
STMMW_00611,citE2,70000,70869,1,951,0.326436781609195,870,284,citrate lyase beta chain,not required
STMMW_00621,citF2,70880,72400,1,1301,0.285996055226824,1521,435,citrate lyase alpha chain,not required
STMMW_00631,citX2,72400,72951,1,652,0.34963768115942,552,193,citx protein,not required
STMMW_00641,citG2,72929,73837,1,659,0.238723872387239,909,217,citg protein,not required
STMMW_00651,dapB,74017,74838,1,2,0.0024330900243309,822,2,dihydrodipicolinate reductase,required
STMMW_00661,STMMW_00661,75088,75436,1,117,0.131805157593123,349,46,putative viral protein (pseudogene),not required
STMMW_00681,carA,75881,77029,1,409,0.144473455178416,1149,166,carbamoyl-phosphate synthase small chain,not required
STMMW_00691,carB,77048,80275,1,1635,0.204770755885998,3228,661,carbamoyl-phosphate synthase large chain,not required
STMMW_00701,caiF,80549,80944,1,743,0.555555555555556,396,220,transcriptional activator CaiF,not required
STMMW_00711,caiE,81021,81617,-1,655,0.289782244556114,597,173,carnitine operon protein CaiE,not required
STMMW_00721,caiD,81726,82511,-1,753,0.288804071246819,786,227,carnitine racemase,not required
STMMW_00731,caiC,82565,84118,-1,1580,0.368082368082368,1554,572,probable crotonobetaine/carnitine-CoA ligase,not required
STMMW_00741,caiB,84181,85398,-1,1272,0.344827586206897,1218,420,L-carnitine dehydratase,not required
STMMW_00751,caiA,85510,86652,-1,1072,0.295713035870516,1143,338,probable carnitine operon oxidoreductase CaiA,not required
STMMW_00761,caiT,86687,88204,-1,1869,0.340579710144928,1518,517,probable carnitine transporter,not required
STMMW_00771,fixA,88685,89455,1,677,0.347600518806744,771,268,FixA protein,not required
STMMW_00781,fixB,89471,90412,1,841,0.281316348195329,942,265,FixB protein,not required
STMMW_00791,fixC,90462,91748,1,874,0.247086247086247,1287,318,FixC protein,not required
STMMW_00801,fixX,91745,92032,1,112,0.190972222222222,288,55,ferredoxin like protein FixX,not required
STMMW_00811,yaaU,92095,93519,1,1049,0.246315789473684,1425,351,putative metabolite transport protein,not required
STMMW_00821,STMMW_00821,93575,93838,1,220,0.261363636363636,264,69,putative lipoprotein,not required
STMMW_00841,STMMW_00841,94132,94548,1,676,0.446043165467626,417,186,probable secreted protein,not required
STMMW_00851,STMMW_00851,94772,95062,-1,294,0.350515463917526,291,102,probable secreted protein,not required
STMMW_00861,STMMW_00861,95132,95224,-1,286,0.666666666666667,93,62,,not required
STMMW_00871,STMMW_00871,95272,95466,1,105,0.148717948717949,195,29,putative inner membrane protein,not required
STMMW_00881,STMMW_00881,95960,97849,1,2331,0.408994708994709,1890,773,putative sulfatase,not required
STMMW_00891,STMMW_00891,98054,98119,-1,33,0.196969696969697,66,13,,not required
STMMW_00901,yabF,98256,98786,1,376,0.267419962335217,531,142,putative NAD(P)H oxidoreductase,not required
STMMW_00911,kefC,98779,100641,1,686,0.164787976382179,1863,307,glutathione-regulated potassium-efflux system protein KefC,not required
STMMW_00921,folA,100840,101319,1,192,0.129166666666667,480,62,dihydrofolate reductase type I,not required
STMMW_00931,apaH,101425,102273,-1,204,0.141342756183746,849,120,bis(5'-nucleosyl)-tetraphosphatase,not required
STMMW_00941,apaG,102284,102661,-1,412,0.351851851851852,378,133,CorD protein,not required
STMMW_00951,ksgA,102664,103485,-1,237,0.180048661800487,822,148,dimethyladenosine transferase,not required
STMMW_00961,pdxAa,103482,104471,-1,689,0.290909090909091,990,288,pyridoxal phosphate biosynthetic protein PdxA,not required
STMMW_00971,surA,104471,105757,-1,694,0.22999222999223,1287,296,survival protein SurA precursor,not required
STMMW_00981,imp,105811,108171,-1,16,0.00508259212198221,2361,12,organic solvent tolerance protein precursor,required
STMMW_00991,djlA,108425,109237,1,860,0.323493234932349,813,263,DNAj-like protein,not required
STMMW_01001,rluA,109332,109991,-1,595,0.3,660,198,ribosomal large subunit pseudouridine synthase A,not required
STMMW_01011,hepA,110003,112909,-1,2132,0.258685930512556,2907,752,probable ATP-dependent helicase HepA,not required
STMMW_01021,polB,113083,115434,-1,1719,0.264455782312925,2352,622,DNA polymerase II,not required
STMMW_01031,STMMW_01031,115478,116098,-1,1390,0.42512077294686,621,264,probable secreted protein,not required
STMMW_01041,STMMW_01041,116193,116252,-1,56,0.233333333333333,60,14,,not required
STMMW_01051,STMMW_01051,116300,116602,1,403,0.303630363036304,303,92,putative inner membrane protein,not required
STMMW_01061,STMMW_01061,116817,117236,1,285,0.392857142857143,420,165,hypothetical protein,not required
STMMW_01071,araD,117242,117937,-1,539,0.264367816091954,696,184,L-ribulose-5-phosphate 4-epimerase,not required
STMMW_01081,araA,118078,119580,-1,1269,0.303393213572854,1503,456,L-arabinose isomerase,not required
STMMW_01091,araB,119591,121300,-1,1930,0.352631578947368,1710,603,L-ribulokinase,not required
STMMW_01101,araC,121641,122486,1,724,0.322695035460993,846,273,arabinose operon regulatory protein,not required
STMMW_01111,yabI,122605,123372,1,752,0.337239583333333,768,259,DedA family integral membrane protein,not required
STMMW_01121,thiQ,123411,124118,-1,685,0.303672316384181,708,215,hypothetical ABC transporter,not required
STMMW_01131,thiP,124102,125712,-1,1687,0.345127250155183,1611,556,putative ABC transporter integral membrane protein,not required
STMMW_01141,tbpA,125688,126671,-1,738,0.302845528455285,984,298,thiamine-binding periplasmic protein precursor,not required
STMMW_01151,yabN,126849,128507,-1,1476,0.29957805907173,1659,497,putative ABC transporter periplasmic solute binding protein,not required
STMMW_01152,sgrT,128600,128722,1,56,0.195121951219512,123,24,hypothetical protein,not required
STMMW_01161,leuD,129058,129663,-1,538,0.33003300330033,606,200,3-isopropylmalate dehydratase small subunit,not required
STMMW_01171,leuC,129674,131074,-1,1442,0.340471092077088,1401,477,3-isopropylmalate dehydratase large subunit,not required
STMMW_01181,leuB,131077,132168,-1,1132,0.327838827838828,1092,358,3-IPM-DH,not required
STMMW_01191,leuA,132168,133739,-1,1460,0.286895674300254,1572,451,2-isopropylmalate synthase,not required
STMMW_01201,leuL,133827,133913,-1,386,0.666666666666667,87,58,leu operon leader peptide,not required
STMMW_01211,leuO,134570,135514,1,1506,0.482539682539683,945,456,probable activator protein in leuABCD operon,not required
STMMW_01221,ilvI,135899,137560,1,1652,0.317689530685921,1662,528,acetolactate synthase isozyme III large subunit,not required
STMMW_01231,ilvH,137563,138054,1,303,0.203252032520325,492,100,acetolactate synthase isozyme III small subunit,not required
STMMW_01241,fruR,138338,139342,1,300,0.140298507462687,1005,141,fructose repressor,not required
STMMW_01251,mraZ,139948,140406,1,229,0.10239651416122,459,47,Protein mraZ,not required
STMMW_01261,mraW,140408,141349,1,178,0.0583864118895966,942,55,S-adenosyl-methyltransferase,ambiguous
STMMW_01271,ftsL,141346,141711,1,22,0.0327868852459016,366,12,cell division protein FtsL,required
STMMW_01281,ftsI,141727,143493,1,20,0.00396151669496321,1767,7,penicillin-binding protein 3 precursor,required
STMMW_01291,murE,143480,144967,1,3,0.00201612903225806,1488,3,Meso-diaminopimelate-adding enzyme,required
STMMW_01301,murF,144964,146322,1,15,0.00367917586460633,1359,5,"UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diami nopimelate--D-alan alanyl ligase",required
STMMW_01311,mraY,146316,147398,1,13,0.00461680517082179,1083,5,UDP-MurNAc-pentapeptide phosphotransferase,required
STMMW_01321,murD,147401,148717,1,20,0.00683371298405467,1317,9,D-glutamic acid adding enzyme,required
STMMW_01331,ftsW,148804,149961,1,0,0,1158,0,cell division protein FtsW,required
STMMW_01341,murG,149958,151025,1,9,0.00468164794007491,1068,5,UDP-N-acetylglucosamine--N-acetylmuramyl-,required
STMMW_01351,murC,151144,152619,1,27,0.00338753387533875,1476,5,UDP-N-acetylmuramate--L-alanine ligase,required
STMMW_01361,ddl,152612,153532,1,419,0.105320304017372,921,97,D-alanine--D-alanine ligase,not required
STMMW_01371,ftsQ,153534,154364,1,64,0.0240673886883273,831,20,cell division protein FtsQ,required
STMMW_01381,ftsA,154361,155623,1,4,0.00158353127474268,1263,2,cell division protein FtsA,required
STMMW_01391,ftsZ,155684,156835,1,6,0.00347222222222222,1152,4,cell division protein FtsZ,required
STMMW_01401,lpxC,156936,157853,1,59,0.0239651416122004,918,22,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,required
STMMW_01411,yacA,158201,158629,1,71,0.0839160839160839,429,36,conserved hypothetical protein,not required
STMMW_01421,secA,158691,161396,1,243,0.0262379896526238,2706,71,preprotein translocase SecA subunit,required
STMMW_01431,mutT,161548,161943,1,404,0.297979797979798,396,118,"7,8-dihydro-8-oxoguanine-triphosphatase",not required
STMMW_01441,yacG,162265,162456,-1,72,0.203125,192,39,conserved hypothetical protein,not required
STMMW_01451,yacF,162466,163209,-1,896,0.397849462365591,744,296,conserved hypothetical protein,not required
STMMW_01461,coaE,163209,163829,-1,79,0.0644122383252818,621,40,dephospho-CoA kinase,ambiguous
STMMW_01471,guaC,164055,165098,1,2072,0.472222222222222,1044,493,GMP reductase,not required
STMMW_01481,pilC,165129,166331,-1,2333,0.534497090606816,1203,643,protein transport protein HofC,not required
STMMW_01491,pilB,166321,167706,-1,3583,0.542568542568543,1386,752,protein transport protein HofB,not required
STMMW_01501,pilA,167716,168153,-1,1419,0.623287671232877,438,273,prepilin peptidase dependent protein D precursor,not required
STMMW_01511,nadC,168375,169121,-1,1534,0.512717536813922,747,383,nicotinate-nucleotide pyrophosphorylase,not required
STMMW_01521,ampD,169356,169919,1,1482,0.560283687943262,564,316,AmpD protein (anhydro-N-acetylmuramyl-tripeptide amidase),not required
STMMW_01531,ampE,169916,170770,1,2456,0.566081871345029,855,484,AmpE protein,not required
STMMW_01541,STMMW_01541,170862,171812,-1,1584,0.482649842271293,951,459,putatuve glycosysl hydrolase,not required
STMMW_01551,STMMW_01551,171812,173218,-1,2799,0.53589196872779,1407,754,putative symporter,not required
STMMW_01561,aroP,173382,174755,-1,2273,0.461426491994178,1374,634,aromatic amino acid transport protein AroP,not required
STMMW_01571,pdhR,175318,176082,1,660,0.2,765,153,pyruvate dehydrogenase complex repressor,not required
STMMW_01581,aceE,176242,178905,1,41,0.00863363363363363,2664,23,pyruvate dehydrogenase E1 component,required
STMMW_01591,aceF,178920,180809,1,16,0.00740740740740741,1890,14,dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase,required
STMMW_01601,lpdA,181009,182433,1,10,0.00631578947368421,1425,9,dihydrolipoamide dehydrogenase,required
STMMW_01611,STMMW_01611,182722,183006,1,229,0.256140350877193,285,73,probable secreted protein,not required
STMMW_01621,STMMW_01621,183044,183835,-1,805,0.353535353535354,792,280,probable secreted protein,not required
STMMW_01631,yacH,183848,185462,-1,2598,0.447058823529412,1615,722,putative exported protein (pseudogene),not required
STMMW_01641,acnB,185851,188448,1,918,0.16743648960739,2598,435,aconitate hydratase 2 (citrate hydro-lyase 2),not required
STMMW_01651,STMMW_01651,188509,189351,-1,30,0.0177935943060498,843,15,HNH endonuclease,required
STMMW_01661,yacL,189597,189959,1,585,0.479338842975207,363,174,conserved hypothetical protein,not required
STMMW_01671,kdgT,190194,191147,1,718,0.259958071278826,954,248,2-keto-3-deoxygluconate permease,not required
STMMW_01681,STMMW_01681,191144,192415,1,1786,0.349056603773585,1272,444,conserved hypothetical protein,not required
STMMW_01691,pdxAb,192405,193388,1,991,0.340447154471545,984,335,4-hydroxythreonine-4-phosphate dehydrogenase,not required
STMMW_01701,STMMW_01701,193398,194165,1,1170,0.412760416666667,768,317,putative transcriptional regulator,not required
STMMW_01711,speD,194195,194989,-1,1099,0.421383647798742,795,335,,not required
STMMW_01721,speE,195010,195870,-1,1826,0.528455284552846,861,455,Putrescine aminopropyltransferase,not required
STMMW_01731,yacC,195977,196324,-1,425,0.408045977011494,348,142,putative exported protein,not required
STMMW_01741,cueO,196526,198136,1,3952,0.569211669770329,1611,917,possible multicopper oxidase precursor,not required
STMMW_01751,gcd,198214,200604,-1,4716,0.542869092429946,2391,1298,glucose dehydrogenase,not required
STMMW_01761,hpt,200810,201346,1,601,0.333333333333333,537,179,hypoxanthine phosphoribosyltransferase,not required
STMMW_01771,yadF,201404,202066,-1,34,0.0346907993966818,663,23,carbonic anhydrase,required
STMMW_01781,yadG,202175,203101,1,1002,0.355987055016181,927,330,hypothetical ABC transporter ATP-binding protein,not required
STMMW_01791,yadH,203098,203868,1,1087,0.381322957198444,771,294,ABC transporter integral membrane protein,not required
STMMW_01801,stiH,203985,205064,-1,2144,0.525,1080,567,putative fimbriae,not required
STMMW_01811,stiC,205073,207619,-1,4648,0.458578720062819,2547,1168,putativie fimbrial usher. putativie fimbrial usher,not required
STMMW_01821,stiB,207646,208329,-1,1084,0.445906432748538,684,305,putative fimbrial chaperone,not required
STMMW_01831,stiA,208377,208916,-1,1406,0.542592592592593,540,293,putative fimbrial subunit,not required
STMMW_01841,yadI,209286,209726,1,1157,0.675736961451247,441,298,putative PTS system IIA component,not required
STMMW_01851,yadE,209788,211017,1,1522,0.426829268292683,1230,525,putative exported protein,not required
STMMW_01861,panD,211024,211404,-1,418,0.425196850393701,381,162,Aspartate alpha-decarboxylase,not required
STMMW_01871,panC,211499,212353,-1,836,0.329824561403509,855,282,Pantoate activating enzyme,not required
STMMW_01881,panB,212479,213270,-1,913,0.377525252525253,792,299,3-methyl-2-oxobutanoate hydroxymethyltransferase,not required
STMMW_01891,folK,213391,213870,-1,143,0.102083333333333,480,49,2-amino-4-hydroxy-6- hydroxymethyldihydropteridinepyrophosphokinase,not required
STMMW_01901,pcnB,213867,215285,-1,1027,0.264270613107822,1419,375,poly(A) polymerase,not required
STMMW_01911,yadB,215426,216367,-1,1058,0.345010615711253,942,325,glutamyl-tRNA synthetase-related protein,not required
STMMW_01921,dksA,216391,216846,-1,351,0.274122807017544,456,125,dosage-dependent dnaK suppressor protein,not required
STMMW_01931,sfsA,217023,217727,-1,732,0.31063829787234,705,219,Sugar fermentation stimulation protein homolog,not required
STMMW_01941,ligT,217744,218274,-1,526,0.346516007532957,531,184,2'-5' RNA ligase,not required
STMMW_01951,hrpB,218302,220776,1,2884,0.351919191919192,2475,871,ATP-dependent helicase HrpB,not required
STMMW_01961,mrcB,220917,223439,1,3061,0.364248910027745,2523,919,penicillin-binding protein 1B,not required
STMMW_01971,fhuA,223732,225921,1,2034,0.321004566210046,2190,703,ferrichrome-iron receptor,not required
STMMW_01981,fhuC,225970,226767,1,473,0.208020050125313,798,166,ferrichrome transport ATP-binding protein FhuC,not required
STMMW_01991,fhuD,226767,227657,1,526,0.199775533108866,891,178,ferrichrome-binding periplasmic protein precursor,not required
STMMW_02001,fhuB,227654,229711,1,1087,0.188532555879495,2058,388,ferrichrome transport protein FhuB precursor,not required
STMMW_02011,stfA,230650,231210,1,1050,0.570409982174688,561,320,major fimbrial subunit stfa (putative fimbrial subunit),not required
STMMW_02021,stfC,231296,233953,1,4403,0.482693754702784,2658,1283,outer membrane usher protein stfc (putative fimbrial outer membrane usher),not required
STMMW_02031,stfD,233971,234723,1,1248,0.454183266932271,753,342,periplasmic fimbrial chaperone stfd,not required
STMMW_02041,stfE,234787,235254,1,1005,0.551282051282051,468,258,minor fimbrial subunit stfe (putaive minor fimbrial subunit),not required
STMMW_02051,stfF,235251,235727,1,573,0.423480083857442,477,202,minor fimbrial subunit stff,not required
STMMW_02061,stfG,235727,236257,1,1046,0.506591337099812,531,269,putative minor fimbrial subunit,not required
STMMW_02071,STMMW_02071,236257,237096,1,1763,0.520238095238095,840,437,putative exported protein,not required
STMMW_02081,hemL,237203,238483,-1,44,0.0265417642466823,1281,34,GSA,required
STMMW_02091,clcA,238653,240074,1,1598,0.369901547116737,1422,526,H /Cl-exchange transporter clcA,not required
STMMW_02101,yadR,240111,240500,1,31,0.041025641025641,390,16,conserved hypothetical protein,required
STMMW_02111,yadS,240601,241224,-1,1017,0.458333333333333,624,286,putative membrane protein,not required
STMMW_02121,btuF,241261,242061,-1,744,0.31210986267166,801,250,Vitamin B12 transport protein btuF precursor,not required
STMMW_02131,mtn,242054,242752,-1,76,0.055793991416309,699,39,MTA/SAH nucleosidase,ambiguous
STMMW_02141,dgt,242837,244354,1,4326,0.58102766798419,1518,882,dGTP triphosphohydrolase,not required
STMMW_02151,htrA,244484,245911,1,1885,0.392156862745098,1428,560,heat shock protein HtrA,not required
STMMW_02161,cdaR,246064,247221,1,1334,0.348877374784111,1158,404,conserved hypothetical protein,not required
STMMW_02171,yaeH,247310,247696,-1,436,0.392764857881137,387,152,conserved hypothetical protein,not required
STMMW_02181,STMMW_02181,247943,249244,1,1458,0.399385560675883,1302,520,putative inner membrane protein,not required
STMMW_02191,dapD,249281,250105,-1,57,0.0278787878787879,825,23,"2,3,4,5-tetrahydropyridine-2-carboxylate N- succinyltransferase",required
STMMW_02201,glnD,250135,252807,-1,140,0.0243172465394688,2673,65,PII uridylyl-transferase,required
STMMW_02211,map,253044,253838,-1,7,0.00880503144654088,795,7,methionine aminopeptidase,required
STMMW_02221,rpsB,254289,255014,1,15,0.00964187327823691,726,7,30S ribosomal protein S2,required
STMMW_02231,tsf,255272,256123,1,13,0.00704225352112676,852,6,EF-Ts,required
STMMW_02241,pyrH,256268,256993,1,5,0.00413223140495868,726,3,UK,required
STMMW_02251,frr,257140,257697,1,3,0.00537634408602151,558,3,RRF,required
STMMW_02261,dxr,257838,259034,1,26,0.012531328320802,1197,15,1-deoxy-D-xylulose 5-phosphate reductoisomerase,required
STMMW_02271,uppS,259347,260105,1,2,0.00263504611330698,759,2,undecaprenyl pyrophosphate synthetase,required
STMMW_02281,cdsA,260118,260975,1,45,0.0163170163170163,858,14,phosphatidate cytidylyltransferase,required
STMMW_02291,yaeL,260987,262339,1,34,0.0206947524020695,1353,28,putative membrane protein,required
STMMW_02301,yaeT,262371,264785,1,8,0.00331262939958592,2415,8,outer membrane protein precursor,required
STMMW_02311,hlpA,264908,265393,1,164,0.0967078189300412,486,47,outer membrane protein OmpH precursor,not required
STMMW_02321,lpxD,265397,266422,1,34,0.00779727095516569,1026,8,UDP-3-O-[3-hydroxymyristoyl] glucosamine N- acyltransferase,required
STMMW_02331,fabZ,266528,266983,1,6,0.0109649122807018,456,5,(3R)-hydroxymyristol acyl carrier protein dehydrase,required
STMMW_02341,lpxA,266987,267775,1,2,0.00253485424588086,789,2,UDP-N-acetylglucosamine acyltransferase,required
STMMW_02351,lpxB,267775,268923,1,15,0.00522193211488251,1149,6,lipid-A-disaccharide synthase,required
STMMW_02361,rnhB,268920,269516,1,162,0.085427135678392,597,51,RNase HII,not required
STMMW_02371,dnaE,269540,273022,1,90,0.00287108814240597,3483,10,"DNA polymerase III, alpha chain",required
STMMW_02381,accA,273035,273994,1,20,0.00625,960,6,acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,required
STMMW_02391,STMMW_02391,274174,275937,1,1408,0.272108843537415,1764,480,putative secreted chitinase,not required
STMMW_02401,ldcC,276013,278154,1,1491,0.26750700280112,2142,573,lysine decarboxylase,not required
STMMW_02411,yaeR,278210,278599,1,350,0.28974358974359,390,113,conserved hypothetical protein,not required
STMMW_02421,mesJ,278743,279954,1,66,0.014026402640264,1212,17,cell cycle protein MesJ,required
STMMW_02431,rof,280038,280298,-1,154,0.283524904214559,261,74,ROF protein,not required
STMMW_02441,yaeP,280285,280503,-1,233,0.442922374429224,219,97,conserved hypothetical protein,not required
STMMW_02451,yaeQ,280683,281228,1,423,0.267399267399267,546,146,conserved hypothetical protein,not required
STMMW_02461,yaeJ,281225,281647,1,267,0.257683215130024,423,109,putative release factor,not required
STMMW_02471,cutF,281679,282380,1,651,0.287749287749288,702,202,copper homeostasis protein CutF precursor (lipoprotein nlpE),not required
STMMW_02481,proS,282454,284172,-1,25,0.012216404886562,1719,21,prolyl-tRNA synthetase,required
STMMW_02491,yaeB,284283,284990,-1,461,0.268361581920904,708,190,conserved hypothetical protein,not required
STMMW_02501,rcsF,284987,285391,-1,584,0.414814814814815,405,168,RcsF protein,not required
STMMW_02511,metQ,285510,286325,-1,910,0.411764705882353,816,336,putative lipoprotein precursor,not required
STMMW_02521,yaeE,286364,287017,-1,890,0.435779816513761,654,285,putative ABC transporter permease protein,not required
STMMW_02531,abc,287010,288041,-1,961,0.343023255813953,1032,354,putative ABC transporter ATP-binding protein,not required
STMMW_02532,yaeD,288231,288797,1,49,0.0705467372134039,567,40,"D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase",ambiguous
STMMW_02541,dkgB,295056,295859,1,177,0.105721393034826,804,85,hypothetical oxidoreductase,not required
STMMW_02551,yafC,295880,296794,-1,268,0.116939890710383,915,107,hypothetical transcriptional regulator,not required
STMMW_02561,STMMW_02561,296899,298074,1,412,0.14030612244898,1176,165,putative drug efflux protein,not required
STMMW_02571,yafD,298227,299006,1,241,0.128205128205128,780,100,Hypothetical UPF0294 protein <ORFName>,not required
STMMW_02581,yafE,299084,299854,1,314,0.172503242542153,771,133,putative methyltransferase,not required
STMMW_02591,dniR,299910,301277,-1,549,0.169590643274854,1368,232,membrane-bound lytic murein transglycosylase D precursor,not required
STMMW_02601,gloB,301349,302104,-1,194,0.116402116402116,756,88,probable hydroxyacylglutathione hydrolase,not required
STMMW_02611,yafS,302139,302861,1,244,0.153526970954357,723,111,conserved hypothetical protein,not required
STMMW_02621,rnhA,302858,303325,-1,146,0.132478632478632,468,62,RNase H,not required
STMMW_02631,dnaQ,303389,304120,1,10,0.0136612021857923,732,10,DNA polymerase III epsilon subunit,required
