LT2_tag,SL1344_tag,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
STM0359,SL1344_0354,1.22E-18,84,1.2E-18,84
STM0360,SL1344_0355,0,1131,0,1131
STM0361,SL1344_0356,0,471,0,471
STM0362,SL1344_0357,1.58E-43,168,1.57E-43,168
STM0363,SL1344_0358,0,779,0,779
STM0364,SL1344_0359,0,1655,0,1655
STM0365,SL1344_0360,3E-137,482,2.97E-137,482
STM0366,SL1344_0361,1.58E-63,235,1.56E-63,235
STM0367,SL1344_0362,0,1259,0,1259
STM0368,SL1344_0363,0,705,0,705
STM0369,SL1344_0364,0,939,0,939
STM0370,SL1344_0365,0,1154,0,1154
STM0371,SL1344_0366,0,1490,0,1490
STM0372,SL1344_0367,0,782,0,782
STM0373,SL1344_0368,0,2201,0,2201
STM0374,SL1344_0369,4.41E-142,498,4.36E-142,498
STM0375,SL1344_0370,0,918,0,918
STM0376,SL1344_0371,0,907,0,907
STM0377,SL1344_0372,0,902,0,902
STM0378,SL1344_0373,3.85E-68,251,3.81E-68,251
STM0379,SL1344_0374,3.39E-46,177,3.36E-46,177
STM0380,SL1344_0375,0,851,0,851
STM0381,SL1344_0376,2.34E-164,572,2.32E-164,572
STM0382,SL1344_0377,0,976,0,976
STM0383,SL1344_0378,5.31E-55,207,5.26E-55,207
STM0384,SL1344_0379,7.6E-68,250,7.52E-68,250
STM0385,SL1344_0380,0,884,0,884
STM0386,SL1344_0381,5.94E-170,591,5.88E-170,591
STM0387,SL1344_0382,4.41E-107,381,4.36E-107,381
STM0388,SL1344_0383,1.68E-120,426,1.66E-120,426
STM0389,SL1344_0384,1.34E-41,161,1.33E-41,161
STM0390,SL1344_0385,2.78E-143,502,2.75E-143,502
STM0391,SL1344_0386,6.02E-63,233,5.96E-63,233
STM0392,SL1344_0387,0,706,0,706
STM0393,SL1344_0388,0,724,0,724
STM0394,SL1344_0389,0,920,0,920
STM0396,SL1344_0391,0,953,0,953
STM0397,SL1344_0392,1.39E-162,566,1.38E-162,566
STM0398,SL1344_0393,0,1036,0,1036
STM0399,SL1344_0394,0,990,0,990
STM0400,SL1344_0395,0,1132,0,1132
STM0401,SL1344_0396,0,1485,0,1485
STM0402,SL1344_0397,8.58E-139,487,8.49E-139,487
STM0403,SL1344_0398,1.55E-126,446,1.53E-126,446
STM0404,SL1344_0399,0,838,0,838
STM0405,SL1344_0400,0,924,0,924
STM0406,SL1344_0401,4.26E-76,277,4.21E-76,277
STM0407,SL1344_0402,0,1359,0,1359
STM0408,SL1344_0403,0,741,0,741
STM0409,SL1344_0404,9.35E-84,303,9.26E-84,303
STM0410,SL1344_0405,1.4E-166,579,1.39E-166,579
STM0411,SL1344_0406,2.64E-81,295,2.62E-81,295
STM0413,SL1344_0407,0,693,0,693
STM0414,SL1344_0408,8.75E-125,440,8.66E-125,440
STM0415,SL1344_0409,3.73E-101,361,3.69E-101,361
STM0416,SL1344_0410,0,838,0,838
STM0417,SL1344_0411,1.64E-98,352,1.62E-98,352
STM0418,SL1344_0412,2.11E-95,342,2.09E-95,342
STM0419,SL1344_0413,0,782,0,782
STM0420,SL1344_0414,6.07E-125,440,6.01E-125,440
STM0421,SL1344_0415,0,772,0,772
STM0422,SL1344_0416,0,1314,0,1314
STM0423,SL1344_0417,0,714,0,714
STM0424,SL1344_0418,1.37E-52,199,1.35E-52,199
STM0425,SL1344_0419,0,1065,0,1065
STM0426,SL1344_0420,3.71E-155,439,3.67E-155,439
STM0427,SL1344_0421,3.66E-180,603,3.63E-180,603
STM0428,SL1344_0422,0,850,0,850
STM0429,SL1344_0423,0,755,0,755
STM0430,SL1344_0424,1.06E-166,580,1.05E-166,580
STM0431,SL1344_0425,0,874,0,874
STM0432,SL1344_0426,0,645,0,645
STM0433,SL1344_0427,6.09E-135,474,6.03E-135,474
STM0434,SL1344_0428,0,738,0,738
STM0435,SL1344_0429,2.93E-112,398,2.9E-112,398
STM0436,SL1344_0430,0,1058,0,1058
STM0437,SL1344_0431,0,1206,0,1206
STM0438,SL1344_0432,0,1029,0,1029
STM0439,SL1344_0433,0,721,0,721
STM0440,SL1344_0434,1.64E-76,279,1.63E-76,279
STM0441,SL1344_0435,1.95E-120,426,1.56E-120,426
STM0442,SL1344_0436,0,1132,0,1132
STM0443,SL1344_0437,0,726,0,726
STM0444,SL1344_0438,0,936,0,936
STM0445,SL1344_0439,8.46E-146,510,8.38E-146,510
STM0446,SL1344_0440,1.55E-68,252,1.54E-68,252
STM0447,SL1344_0441,0,857,0,857
STM0448,SL1344_0442,1.98E-140,492,1.96E-140,492
STM0449,SL1344_0443,0,980,0,980
STM0450,SL1344_0444,0,1774,0,1774
STM0451,SL1344_0445,8.88E-65,239,8.79E-65,239
STM0452,SL1344_0446,0,1311,0,1311
STM0453,SL1344_0447,2.32E-74,272,2.3E-74,272
STM0454,SL1344_0448,2.49E-90,325,2.47E-90,325
STM0455,SL1344_0449,2.45E-157,549,2.42E-157,549
STM0456,SL1344_0450,0,1368,0,1368
STM0457,SL1344_0451,0,665,0,665
STM0458,SL1344_0452,0,830,0,830
STM0459,SL1344_0453,7.75E-106,377,7.67E-106,377
STM0460,SL1344_0454,0,1014,0,1014
STM0461,SL1344_0455,0,1297,0,1297
STM0462,SL1344_0456,8.25E-76,276,8.17E-76,276
STM0463,SL1344_0457,0,894,0,894
STM0464,SL1344_0458,0,659,0,659
STM0465,SL1344_0459,1.02E-113,403,1.01E-113,403
STM0466,SL1344_0460,9.22E-71,260,6.65E-71,260
STM0468,SL1344_0461,0,1201,0,1201
STM0469,SL1344_0462,5.64E-56,210,5.58E-56,210
STM0470,SL1344_0463,6.55E-14,68.9,3.88E-14,68.9
STM0471,SL1344_0464,2.88E-109,388,2.85E-109,388
STM0472,SL1344_0465,1.1E-124,400,1.09E-124,400
STM0473,SL1344_0466,6.28E-45,173,6.21E-45,173
STM0474,SL1344_0467,2.91E-85,308,2.88E-85,308
STM0475,SL1344_0468,0,2347,0,2347
STM0476,SL1344_0469,0,927,0,927
STM0477,SL1344_0470,2.88E-144,505,2.85E-144,505
STM0478,SL1344_0471,0,1298,0,1298
STM0479,SL1344_0472,0,736,0,736
STM0480,SL1344_0473,2.66E-33,133,2.63E-33,133
STM0481,SL1344_0474,7.71E-112,397,7.64E-112,397
STM0483,SL1344_0476,2.17E-127,449,2.15E-127,449
STM0484,SL1344_0477,0,874,0,874
STM0485,SL1344_0478,2.86E-71,261,2.83E-71,261
STM0486,SL1344_0479,1.92E-124,439,1.9E-124,439
STM0487,SL1344_0480,0,1468,0,1466
STM0488,SL1344_0481,3.89E-148,518,3.85E-148,518
STM0489,SL1344_0482,0,771,0,771
STM0490,SL1344_0483,0,737,0,737
STM0491,SL1344_0484,0,1020,0,1020
STM0492,SL1344_0485,0,834,0,834
STM0493,SL1344_0486,0,950,0,950
STM0494,SL1344_0487,0,1257,0,1256
STM0495,SL1344_0488,5.15E-112,397,5.1E-112,397
STM0496,SL1344_0489,0,638,0,638
STM0497,SL1344_0490,0,644,0,644
STM0498,SL1344_0491,0,1872,0,1872
STM0499,SL1344_0492,6.28E-93,334,6.22E-93,334
STM0500,SL1344_0493,2.31E-103,369,2.29E-103,369
STM0501,SL1344_0494,0,702,0,702
STM0502,SL1344_0495,1.07E-151,530,1.06E-151,530
STM0503,SL1344_0496,6.65E-180,624,6.59E-180,624
STM0504,SL1344_0497,1.1E-176,613,1.09E-176,613
STM0505,SL1344_0498,9.01E-180,623,8.93E-180,623
STM0506,SL1344_0499,1.54E-141,496,1.53E-141,496
STM0507,SL1344_0500,1.58E-139,489,1.56E-139,489
STM0508,SL1344_0501,0,956,0,956
STM0509,SL1344_0502,0,943,0,943
STM0510,SL1344_0503,0,654,0,654
STM0511,SL1344_0504,0,801,0,801
STM0512,SL1344_0505,1.22E-157,550,1.21E-157,550
STM0513,SL1344_0506,0,887,0,887
STM0514,SL1344_0507,0,735,0,735
STM0515,SL1344_0508,4.39E-110,391,4.35E-110,391
STM0516,SL1344_0509,3.46E-175,608,3.43E-175,608
STM0517,SL1344_0510,0,1374,0,1374
STM0518,SL1344_0511,0,631,0,631
STM0519,SL1344_0512,0,675,0,675
STM0520,SL1344_0513,0,913,0,913
STM0522,SL1344_0515,0,1086,0,1086
STM0523,SL1344_0516,0,1099,0,1099
STM0524,SL1344_0517,0,682,0,682
STM0525,SL1344_0518,0,855,0,855
STM0526,SL1344_0519,0,636,7.83E-174,604
STM0527,SL1344_0520,0,964,0,964
STM0528,SL1344_0521,0,833,0,833
STM0529,SL1344_0522,0,1048,0,1048
STM0530,SL1344_0523,0,1015,0,1015
STM0531,SL1344_0524,0,656,0,656
STM0532,SL1344_0525,0,442,0,442
STM0533,SL1344_0526,0,826,0,826
STM0534,SL1344_0527,1.14E-120,426,1.13E-120,426
STM0535,SL1344_0528,9.88E-166,577,9.78E-166,577
STM0536,SL1344_0529,1.18E-113,403,1.16E-113,403
STM0537,SL1344_0530,0,1024,0,1024
STM0538,SL1344_0531,0,665,0,665
STM0539,SL1344_0532,1.17E-99,356,1.16E-99,356
STM0540,SL1344_0533,1.55E-127,449,1.53E-127,449
STM0541,SL1344_0534,1.54E-44,171,1.53E-44,171
STM0542,SL1344_0535,0,675,0,675
STM0543,SL1344_0536,4.83E-125,441,4.62E-125,441
STM0544,SL1344_0537,6.85E-126,444,6.78E-126,444
STM0545,SL1344_0538,2.25E-152,532,2.23E-152,532
STM0546,SL1344_0539,0,1995,0,1995
STM0547,SL1344_0540,0,783,0,783
STM0548,SL1344_0541,1.29E-87,262,1.28E-87,262
STM0549,SL1344_0542,1.07E-140,493,1.06E-140,493
STM0550,SL1344_0543,6.13E-160,557,6.08E-160,557
STM0551,SL1344_0544,1.01E-67,249,1E-67,249
