"locus_tag","Molecule","FDR","logFC","gene_name","genefunc","COG","description","theme"
"ncRNA0224","Chromosome",0.0736566318924486,1.42292526666216,"STnc1150","non-coding",NA,"no category","no theme"
"ncRNA0255","Chromosome",0.6041560791722,1.72511099362187,"STnc1590","non-coding",NA,"no category","no theme"
"ncRNA0256","Chromosome",0.992667710148834,-0.0136398167942701,"STnc1600","non-coding",NA,"no category","no theme"
"ncRNA0284","Chromosome",0.888740435446586,0.298611637290349,"STnc2130","non-coding",NA,"no category","no theme"
"RyeA","Chromosome",0.992667710148834,-0.0168267345803195,"RyeA","-",NA,"no category","no theme"
"RygD","Chromosome",0.971824034049318,0.164288860261864,"RygD","-",NA,"no category","no theme"
"SL1344_0002","Chromosome",0.162557525283767,-1.61467473937156,"thrA","ACT domain","E","Amino acid transport and metabolism","Metabolism"
"SL1344_0004","Chromosome",0.424589681462566,0.858528618996146,"thrC","Threonine synthase N terminus","E","Amino acid transport and metabolism","Metabolism"
"SL1344_0006","Chromosome",0.848823932031549,0.372164734359917,"yaaJ","Sodium:alanine symporter family","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling"
"SL1344_0007","Chromosome",0.825652225579979,0.556567915643863,"talB","Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway","F","Nucleotide transport and metabolism","Metabolism"
"SL1344_0008","Chromosome",0.0165395585770302,-1.64567073801338,"mog","Probable molybdopterin binding domain","H","Coenzyme transport and metabolism","Metabolism"
"SL1344_0010","Chromosome",0.212852988709165,-1.0441988853162,"htgA","Domain of unknown function (DUF3944)","S","Function Unknown","Poorly characterised"
"SL1344_0011","Chromosome",0.893828654821665,0.341763059330964,"yaaI","Protein of unknown function (DUF2541)","S","Function Unknown","Poorly characterised"
"SL1344_0014","Chromosome",0.126575674540864,1.29428534456749,"SL1344_0014","Bacterial regulatory helix-turn-helix protein, lysR family","K","Transcription","Information storage and processing"
"SL1344_0015","Chromosome",0.816754148648157,-0.361844414983839,"SL1344_0015","LydA holin phage, holin superfamily III","S","Function Unknown","Poorly characterised"
"SL1344_0016","Chromosome",0.855226998683762,0.914642259200761,"SL1344_0016","Predicted Peptidoglycan domain","S","Function Unknown","Poorly characterised"
"SL1344_0017","Chromosome",0.890611523694052,-0.264430037586165,"SL1344_0017","Transcriptional regulatory protein, C terminal","K","Transcription","Information storage and processing"
"SL1344_0018","Chromosome",0.272083243381461,-1.43521750819711,"chiA","Glyco_18","G","Carbohydrate transport and metabolism","Metabolism"
"SL1344_0019","Chromosome",0.671326317719572,-0.550595210802779,"SL1344_0019","chitinase","S","Function Unknown","Poorly characterised"
"SL1344_0020","Chromosome",0.90040970333123,-0.24191662563527,"SL1344_0020","Winged helix-turn-helix DNA binding","T","Signal transduction mechanisms","Cellular processes and signaling"
"SL1344_0021","Chromosome",0.735781380361545,0.515271413575693,"bcfA","Fimbrial protein","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling"
"SL1344_0022","Chromosome",0.917113324143477,0.253281437447872,"bcfB","Pili assembly chaperone PapD, C-terminal domain","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling"
"SL1344_0023","Chromosome",0.850242398008563,-0.526965077409834,"bcfC","PapC C-terminal domain","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling"
"SL1344_0024","Chromosome",0.633769107930274,-0.586712130848938,"bcfD","Fimbrial protein","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling"
"SL1344_0026","Chromosome",0.779295324516352,-0.549619504463626,"bcfF","Fimbrial protein","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling"
"SL1344_0027","Chromosome",0.198857525123159,1.13585271023601,"bcfG","Pili assembly chaperone PapD, C-terminal domain","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling"
"SL1344_0029","Chromosome",0.912677801879077,-0.225959593838454,"SL1344_0029","-","-","no category","no theme"
"SL1344_0030","Chromosome",0.413580141211062,0.882459066768275,"SL1344_0030","Transcriptional regulatory protein, C terminal","K","Transcription","Information storage and processing"
"SL1344_0031","Chromosome",0.461502745191963,0.828434457550074,"SL1344_0031","Bacterial regulatory helix-turn-helix protein, lysR family","K","Transcription","Information storage and processing"
"SL1344_0032","Chromosome",0.853182875172163,0.359704996753192,"SL1344_0032","Transcriptional regulator","K","Transcription","Information storage and processing"
"SL1344_0033","Chromosome",0.0827882931751411,1.43136680069952,"SL1344_0033","Arylsulfotransferase Ig-like domain","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling"
"SL1344_0034","Chromosome",0.674378935695075,0.854093183743251,"SL1344_0034","Belongs to the 5'-nucleotidase family","F","Nucleotide transport and metabolism","Metabolism"
"SL1344_0035","Chromosome",0.0145880229054666,1.72888887567591,"SL1344_0035","Nucleoside-specific channel-forming protein, Tsx","S","Function Unknown","Poorly characterised"
"SL1344_0036","Chromosome",0.760019490654987,-0.632914091845045,"SL1344_0036","Type I phosphodiesterase / nucleotide pyrophosphatase","P","Inorganic ion transport and metabolism","Metabolism"
"SL1344_0037","Chromosome",0.559566537691666,0.736276220360075,"SL1344_0037","Iron-sulfur cluster-binding domain","C","Energy production and conversion","Metabolism"
"SL1344_0038","Chromosome",0.615673887371894,0.650675774033789,"SL1344_0038","Transposase","L","Replication, recombination and repair ","Information storage and processing"
"SL1344_0039","Chromosome",0.318003595441504,1.30321986250664,"SL1344_0039","Arylsulfotransferase Ig-like domain","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling"
"SL1344_0040","Chromosome",1.74e-05,-2.43786815515556,"nhaA",") H( ) antiporter that extrudes sodium in exchange for external protons","P","Inorganic ion transport and metabolism","Metabolism"
"SL1344_0042","Chromosome",0.295028008551775,-0.955744496585052,"SL1344_0042","Glycosyl hydrolases family 31","G","Carbohydrate transport and metabolism","Metabolism"
"SL1344_0043","Chromosome",0.298994104932307,1.02067163916852,"SL1344_0043","MFS/sugar transport protein","P","Inorganic ion transport and metabolism","Metabolism"
"SL1344_0049","Chromosome",0.530292504091857,-0.671261527049753,"fkpB","FKBP-type peptidyl-prolyl cis-trans isomerase","G","Carbohydrate transport and metabolism","Metabolism"
"SL1344_0051","Chromosome",0.686457801868989,-0.525199880123077,"SL1344_0051","-","-","no category","no theme"
"SL1344_0052","Chromosome",0.758176163476917,-0.440760190609631,"rihC","Hydrolyzes both purine and pyrimidine ribonucleosides with a broad-substrate specificity","G","Carbohydrate transport and metabolism","Metabolism"
"SL1344_0053","Chromosome",0.999570634714396,0.0392598157992637,"citB2","Transcriptional regulator","K","Transcription","Information storage and processing"
"SL1344_0054","Chromosome",0.00974101169492949,1.76925466414152,"citA2","Single cache domain 3","T","Signal transduction mechanisms","Cellular processes and signaling"
"SL1344_0055","Chromosome",0.934796569118855,0.213030047408301,"SL1344_0055","Catalyzes the formation of pyruvate from oxaloacetate","C","Energy production and conversion","Metabolism"
"SL1344_0057","Chromosome",0.78104792406561,-0.413603318038981,"oadG","Lyase and sodium transporter","C","Energy production and conversion","Metabolism"
"SL1344_0058","Chromosome",0.718765585080139,0.541379574397408,"SL1344_0058","Uptake of citrate across the boundary membrane with the concomitant uptake of a sodium ion (symport system)","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling"
"SL1344_0059","Chromosome",0.91759856428355,-0.211538408962572,"citC2","Acetylation of prosthetic group (2-(5''-phosphoribosyl)- 3'-dephosphocoenzyme-A) of the gamma subunit of citrate lyase","H","Coenzyme transport and metabolism","Metabolism"
"SL1344_0061","Chromosome",0.947386260547473,-0.217401491266686,"citE2","C-C_Bond_Lyase of the TIM-Barrel fold","G","Carbohydrate transport and metabolism","Metabolism"
"SL1344_0062","Chromosome",0.365622103876161,0.926080552675288,"citF2","Citrate lyase, alpha subunit (CitF)","C","Energy production and conversion","Metabolism"
"SL1344_0064","Chromosome",0.427393113049434,0.877509282761444,"citG2","ATP:dephospho-CoA triphosphoribosyl transferase","F","Nucleotide transport and metabolism","Metabolism"
"SL1344_0066A","Chromosome",0.653601707235522,-0.558898351146122,"SL1344_0066A","hypothetical viral protein (pseudogene)",NA,"no category","no theme"
"SL1344_0067","Chromosome",6.73e-11,-3.55354593898913,"carA","Carbamoyl-phosphate synthase small chain, CPSase domain","F","Nucleotide transport and metabolism","Metabolism"
"SL1344_0068","Chromosome",1.23e-17,-4.87317624939599,"carB","Carbamoyl-phosphate synthetase large chain, oligomerisation domain","F","Nucleotide transport and metabolism","Metabolism"
"SL1344_0071","Chromosome",0.862446270117149,-0.301317600555328,"caiD","Catalyzes the reversible dehydration of L-carnitinyl-CoA to crotonobetainyl-CoA","H","Coenzyme transport and metabolism","Metabolism"
"SL1344_0072","Chromosome",0.811067846227154,-0.381095920176398,"caiC","Could catalyze the transfer of CoA to carnitine, generating the initial carnitinyl-CoA needed for the CaiB reaction cycle","IQ","Lipid transport and metabolism;Secondary metabolites biosynthesis, transport, and catabolism","Metabolism"
"SL1344_0073","Chromosome",0.617350279092543,-0.598362610483996,"caiB","Catalyzes the reversible transfer of the CoA moiety from gamma-butyrobetainyl-CoA to L-carnitine to generate L-carnitinyl- CoA and gamma-butyrobetaine. Is also able to catalyze the reversible transfer of the CoA moiety from gamma-butyrobetainyl- CoA or L-carnitinyl-CoA to crotonobetaine to generate crotonobetainyl-CoA","C","Energy production and conversion","Metabolism"
"SL1344_0075","Chromosome",0.845985611216481,-0.341055104129406,"caiT","Catalyzes the exchange of L-carnitine for gamma- butyrobetaine and related betaines","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling"
"SL1344_0076","Chromosome",0.919377855062692,0.248680538413669,"fixA","Required for anaerobic carnitine reduction. May bring reductant to CaiA","C","Energy production and conversion","Metabolism"
"SL1344_0077","Chromosome",0.662526811774851,0.603332526170351,"fixB","Required for anaerobic carnitine reduction. May bring reductant to CaiA","C","Energy production and conversion","Metabolism"
"SL1344_0078","Chromosome",0.780436742709716,0.933268956751026,"fixC","part of an electron transfer system required for anaerobic carnitine reduction","C","Energy production and conversion","Metabolism"
"SL1344_0079","Chromosome",0.852515496256785,0.35598455937561,"fixX","Could be a 3Fe-4S cluster-containing protein","C","Energy production and conversion","Metabolism"
"SL1344_0080","Chromosome",0.836032566057258,-0.339947345853756,"yaaU","Sugar (and other) transporter","G","Carbohydrate transport and metabolism","Metabolism"
"SL1344_0082","Chromosome",0.410458871498664,0.883081465938946,"SL1344_0082","-","-","no category","no theme"
"SL1344_0083","Chromosome",0.973153460826109,0.108078885539583,"SL1344_0083","Protein of unknown function (DUF1471)","S","Function Unknown","Poorly characterised"
"SL1344_0083A","Chromosome",0.83120243548357,0.420495740692061,"SL1344_0083A","hypothetical membrane protein (pseudogene)",NA,"no category","no theme"
"SL1344_0084","Chromosome",0.452672742497876,-0.788892046397658,"SL1344_0084","Sulfatase","P","Inorganic ion transport and metabolism","Metabolism"
"SL1344_0087","Chromosome",0.917196047890508,0.329199709634343,"kefC","Pore-forming subunit of a potassium efflux system that confers protection against electrophiles. Catalyzes K( ) H( ) antiport","P","Inorganic ion transport and metabolism","Metabolism"
"SL1344_0089","Chromosome",1.3e-28,-15,"apaH","Hydrolyzes diadenosine 5',5'''-P1,P4-tetraphosphate to yield ADP","T","Signal transduction mechanisms","Cellular processes and signaling"
"SL1344_0090","Chromosome",0.78104792406561,-0.431528065603962,"apaG","ApaG domain","P","Inorganic ion transport and metabolism","Metabolism"
"SL1344_0092","Chromosome",0.850242398008563,0.484878902742425,"pdxAa","Catalyzes the NAD(P)-dependent oxidation of 4- (phosphohydroxy)-L-threonine (HTP) into 2-amino-3-oxo-4- (phosphohydroxy)butyric acid which spontaneously decarboxylates to form 3-amino-2-oxopropyl phosphate (AHAP)","H","Coenzyme transport and metabolism","Metabolism"
"SL1344_0093","Chromosome",6.89e-29,-7.23718064982426,"surA","Chaperone involved in the correct folding and assembly of outer membrane proteins. Recognizes specific patterns of aromatic residues and the orientation of their side chains, which are found more frequently in integral outer membrane proteins. May act in both early periplasmic and late outer membrane-associated steps of protein maturation","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling"
"SL1344_0095","Chromosome",0.262286755827161,-0.997779784419672,"djlA","Regulatory DnaK co-chaperone. Direct interaction between DnaK and DjlA is needed for the induction of the wcaABCDE operon, involved in the synthesis of a colanic acid polysaccharide capsule, possibly through activation of the RcsB RcsC phosphotransfer signaling pathway. The colanic acid capsule may help the bacterium survive conditions outside the host","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling"
"SL1344_0097","Chromosome",0.120527619010983,-1.17929074487668,"hepA","Transcription regulator that activates transcription by stimulating RNA polymerase (RNAP) recycling in case of stress conditions such as supercoiled DNA or high salt concentrations. Probably acts by releasing the RNAP, when it is trapped or immobilized on tightly supercoiled DNA. Does not activate transcription on linear DNA. Probably not involved in DNA repair","K","Transcription","Information storage and processing"
"SL1344_0098","Chromosome",0.844206740151881,-0.515742111388004,"polB","DNA polymerase type-B family","L","Replication, recombination and repair ","Information storage and processing"
"SL1344_0099","Chromosome",0.911756713079698,0.596418787097431,"SL1344_0099","DUF218 domain","S","Function Unknown","Poorly characterised"
"SL1344_0101","Chromosome",0.851699630673968,-0.326295098631021,"araD","Class II Aldolase and Adducin N-terminal domain","G","Carbohydrate transport and metabolism","Metabolism"
"SL1344_0102","Chromosome",0.970323665526161,-0.082265907148793,"araA","Catalyzes the conversion of L-arabinose to L-ribulose","G","Carbohydrate transport and metabolism","Metabolism"
"SL1344_0103","Chromosome",0.698383952448427,0.591198545862983,"araB","FGGY family of carbohydrate kinases, C-terminal domain","F","Nucleotide transport and metabolism","Metabolism"
"SL1344_0104","Chromosome",0.945291812687362,0.249614964288148,"araC","AraC-like ligand binding domain","K","Transcription","Information storage and processing"
"SL1344_0105","Chromosome",1,0.0147368089887376,"yabI","SNARE associated Golgi protein","S","Function Unknown","Poorly characterised"
"SL1344_0106","Chromosome",0.0843435310909682,1.37666900943825,"thiQ","Part of the ABC transporter complex ThiBPQ involved in thiamine import. Responsible for energy coupling to the transport system","H","Coenzyme transport and metabolism","Metabolism"
"SL1344_0108","Chromosome",0.741891541087519,0.50613623380953,"tbpA","Bacterial extracellular solute-binding protein","H","Coenzyme transport and metabolism","Metabolism"
"SL1344_0109","Chromosome",0.981619093465114,-0.0526817912707123,"yabN","Activates the small RNA gene sgrS under glucose- phosphate stress conditions as well as yfdZ. Represses its own transcription under both stress and non-stress conditions. Might act as a sensor of the intracellular accumulation of phosphoglucose by binding these molecules in its C-terminal solute-binding domain","K","Transcription","Information storage and processing"
"SL1344_0110","Chromosome",0.603653244669787,0.686086951458259,"leuD","Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate","E","Amino acid transport and metabolism","Metabolism"
"SL1344_0111","Chromosome",0.328257537444489,-0.923106893669749,"leuC","Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate","E","Amino acid transport and metabolism","Metabolism"
"SL1344_0112","Chromosome",0.772742710487692,0.507719659661728,"leuB","Catalyzes the oxidation of 3-carboxy-2-hydroxy-4- methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2- oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate","CE","Energy production and conversion;Amino acid transport and metabolism","Metabolism"
"SL1344_0113","Chromosome",0.689379477588953,0.597417084728714,"leuA","Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate)","E","Amino acid transport and metabolism","Metabolism"
"SL1344_0115","Chromosome",0.630015369899219,0.640264777685528,"leuO","LysR substrate binding domain","K","Transcription","Information storage and processing"
"SL1344_0116","Chromosome",0.914105019273358,0.256662852329629,"ilvI","Thiamine pyrophosphate enzyme, central domain","H","Coenzyme transport and metabolism","Metabolism"
"SL1344_0118","Chromosome",4.01e-13,-4.56592891192705,"fruR","Bacterial regulatory proteins, lacI family","K","Transcription","Information storage and processing"
"SL1344_0136","Chromosome",1.03e-42,-15,"secA","Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving both as a receptor for the preprotein-SecB complex and as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling"
"SL1344_0137","Chromosome",0.966077246723419,0.146345354895797,"mutT","NUDIX domain","L","Replication, recombination and repair ","Information storage and processing"
"SL1344_0139","Chromosome",0.786861048667086,-0.401810142716153,"yacF","Cell division factor that enhances FtsZ-ring assembly. Directly interacts with FtsZ and promotes bundling of FtsZ protofilaments, with a reduction in FtsZ GTPase activity","D","Cell cycle control, cell division, chromosome partitioning","Cellular processes and signaling"
"SL1344_0141","Chromosome",0.5466699733385,-0.664751086412902,"guaC","Catalyzes the irreversible NADPH-dependent deamination of GMP to IMP. It functions in the conversion of nucleobase, nucleoside and nucleotide derivatives of G to A nucleotides, and in maintaining the intracellular balance of A and G nucleotides","F","Nucleotide transport and metabolism","Metabolism"
"SL1344_0142","Chromosome",0.619992881939582,0.66426276316877,"pilC","Type II secretion system (T2SS), protein F","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling"
"SL1344_0143","Chromosome",0.936147895016002,0.248821757557435,"pilB","Type II secretion system (T2SS), protein E, N-terminal domain","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling"
"SL1344_0144","Chromosome",0.512318220545296,0.769848465579606,"pilA","Prokaryotic N-terminal methylation motif","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling"
"SL1344_0145","Chromosome",0.606646957997131,2.05424031521084,"nadC","Quinolinate phosphoribosyl transferase, C-terminal domain","H","Coenzyme transport and metabolism","Metabolism"
"SL1344_0146","Chromosome",0.966670616760293,0.284780034102484,"ampD","N-acetylmuramoyl-L-alanine amidase","V","Defense mechanisms","Cellular processes and signaling"
"SL1344_0147","Chromosome",0.83120243548357,0.407935306557936,"ampE","Regulatory signalling modulator protein AmpE","V","Defense mechanisms","Cellular processes and signaling"
"SL1344_0148","Chromosome",0.414433307529686,-0.792724059119066,"SL1344_0148","Glycosyl hydrolases family 43","G","Carbohydrate transport and metabolism","Metabolism"
"SL1344_0149","Chromosome",0.804380705990339,0.430291028926849,"SL1344_0149","MFS/sugar transport protein","G","Carbohydrate transport and metabolism","Metabolism"
"SL1344_0150","Chromosome",0.921096609158116,0.735271145633404,"aroP","Amino acid permease","E","Amino acid transport and metabolism","Metabolism"
"SL1344_0151","Chromosome",1.2e-05,-2.86739862855706,"pdhR","Pyruvate dehydrogenase complex repressor","K","Transcription","Information storage and processing"
"SL1344_0155","Chromosome",0.949308103946284,-0.142308654141694,"SL1344_0155","-","-","no category","no theme"
"SL1344_0156","Chromosome",1,0.0128342718802214,"SL1344_0156","Protein of unknown function (DUF2950)","N","Cell motility","Cellular processes and signaling"
"SL1344_0157","Chromosome",0.355963729110862,-0.86994341866805,"yacH","Protein of unknown function (DUF3300)","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling"
"SL1344_0159","Chromosome",2.6e-08,-3.41350390321685,"acnB","Aconitate B N-terminal domain","C","Energy production and conversion","Metabolism"
"SL1344_0162","Chromosome",0.875489143979318,-0.283449705755027,"kdgT","The 2-keto-3-deoxygluconate permease transports the degraded pectin products into the bacterial cell, where they serve as carbon and energy sources. This is a hydrogen coupled transport system","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling"
"SL1344_0163","Chromosome",0.942126190463283,-0.225508578907603,"SL1344_0163","Putative nucleotide-binding of sugar-metabolising enzyme","S","Function Unknown","Poorly characterised"
"SL1344_0164","Chromosome",0.0221577026081855,-1.49835003172721,"pdxAb","Belongs to the PdxA family","H","Coenzyme transport and metabolism","Metabolism"
"SL1344_0165","Chromosome",0.12455823064284,-1.1748279508187,"SL1344_0165","DeoR C terminal sensor domain","K","Transcription","Information storage and processing"
"SL1344_0166","Chromosome",0.862446270117149,0.348708221594447,"speD","Catalyzes the decarboxylation of S-adenosylmethionine to S-adenosylmethioninamine (dcAdoMet), the propylamine donor required for the synthesis of the polyamines spermine and spermidine from the diamine putrescine","F","Nucleotide transport and metabolism","Metabolism"
"SL1344_0167","Chromosome",0.973444048592459,-0.0882117851243302,"speE","Catalyzes the irreversible transfer of a propylamine group from the amino donor S-adenosylmethioninamine (decarboxy- AdoMet) to putrescine (1,4-diaminobutane) to yield spermidine","E","Amino acid transport and metabolism","Metabolism"
"SL1344_0169","Chromosome",0.693623942557928,-0.524631951155839,"cueO","Multicopper oxidase","Q","Secondary metabolites biosynthesis, transport, and catabolism","Metabolism"
"SL1344_0170","Chromosome",0.404575765316808,0.883808056589961,"gcd","PQQ-like domain","G","Carbohydrate transport and metabolism","Metabolism"
"SL1344_0174","Chromosome",0.231705334219748,1.09617177727158,"yadH","ABC-2 type transporter","V","Defense mechanisms","Cellular processes and signaling"
"SL1344_0177","Chromosome",0.377949674322795,0.912850177784556,"stiB","Pili assembly chaperone PapD, C-terminal domain","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling"
"SL1344_0178","Chromosome",0.652603338257165,-0.561455934906286,"stiA","cell adhesion","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling"
"SL1344_0179","Chromosome",0.790799160381339,-0.409380952892607,"yadI","PTS system fructose IIA component","G","Carbohydrate transport and metabolism","Metabolism"
"SL1344_0180","Chromosome",0.956156006591899,-0.137152130592013,"yadE","Polysaccharide deacetylase","G","Carbohydrate transport and metabolism","Metabolism"
"SL1344_0181","Chromosome",0.917196047890508,0.247568591890757,"panD","Catalyzes the pyruvoyl-dependent decarboxylation of aspartate to produce beta-alanine","H","Coenzyme transport and metabolism","Metabolism"
"SL1344_0182","Chromosome",0.199669512448053,-1.07197853267452,"panC","Catalyzes the condensation of pantoate with beta-alanine in an ATP-dependent reaction via a pantoyl-adenylate intermediate","H","Coenzyme transport and metabolism","Metabolism"
"SL1344_0185","Chromosome",0.135829568401222,-1.35169662239569,"pcnB","Adds poly(A) tail to the 3' end of many RNAs, which usually targets these RNAs for decay. Plays a significant role in the global control of gene expression, through influencing the rate of transcript degradation, and in the general RNA quality control","F","Nucleotide transport and metabolism","Metabolism"
"SL1344_0187","Chromosome",4.76e-25,-9.14436480429856,"dksA","Transcription factor that acts by binding directly to the RNA polymerase (RNAP). Required for negative regulation of rRNA expression and positive regulation of several amino acid biosynthesis promoters. Also required for regulation of fis expression","K","Transcription","Information storage and processing"
"SL1344_0189","Chromosome",0.414934143548633,0.88054812231118,"ligT","Hydrolyzes RNA 2',3'-cyclic phosphodiester to an RNA 2'- phosphomonoester","J"," Translation, ribosomal structure and biogenesis","Information storage and processing"
"SL1344_0190","Chromosome",0.487447864647581,0.805372117732946,"hrpB","ATP-dependent helicase C-terminal","L","Replication, recombination and repair ","Information storage and processing"
"SL1344_0191","Chromosome",6.78e-24,-10.4540689852595,"mrcB","Cell wall formation. Synthesis of cross-linked peptidoglycan from the lipid intermediates. The enzyme has a penicillin-insensitive transglycosylase N-terminal domain (formation of linear glycan strands) and a penicillin-sensitive transpeptidase C-terminal domain (cross-linking of the peptide subunits)","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling"
"SL1344_0192","Chromosome",0.900394291124413,0.302639074827128,"fhuA","TonB-dependent Receptor Plug Domain","P","Inorganic ion transport and metabolism","Metabolism"
"SL1344_0193","Chromosome",0.832901165729504,-0.351453372829934,"fhuC","ABC transporter","HP","Coenzyme transport and metabolism;Inorganic ion transport and metabolism","Metabolism"
"SL1344_0194","Chromosome",0.905267082720056,0.419043788717737,"fhuD","Periplasmic binding protein","P","Inorganic ion transport and metabolism","Metabolism"
"SL1344_0195","Chromosome",0.56146751933871,1.23350112118994,"fhuB","FecCD transport family","P","Inorganic ion transport and metabolism","Metabolism"
"SL1344_0196","Chromosome",0.269089615958409,-0.989175603622298,"stfA","Part of the yfcOPQRSUV fimbrial operon. Could contribute to adhesion to various surfaces in specific environmental niches. Increases adhesion to eukaryotic T24 bladder epithelial cells in the absence of fim genes","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling"
"SL1344_0197","Chromosome",0.307476248061118,1.00343141957031,"stfC","PapC C-terminal domain","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling"
"SL1344_0198","Chromosome",0.711250772589253,-0.495956547822242,"stfD","Pili assembly chaperone PapD, C-terminal domain","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling"
"SL1344_0199","Chromosome",0.496937947045673,-0.751007985998288,"stfE","Fimbrial protein","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling"
"SL1344_0201","Chromosome",0.277533070188602,1.02528617464027,"stfG","Fimbrial protein","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling"
"SL1344_0202","Chromosome",0.63286510605993,0.885888416185873,"SL1344_0202","Part of the yfcOPQRSUV fimbrial operon. Could contribute to adhesion to various surfaces in specific environmental niches. Increases adhesion to eukaryotic T24 bladder epithelial cells in the absence of fim genes","S","Function Unknown","Poorly characterised"
