Node_1_oma_id,Node_1_gene_name,Node_1_old_locus_tag,Node_1_new_locus_tag,Node_1_new_kegg_id,Node_2_oma_id,Node_2_gene_name,Node_2_old_locus_tag,Node_2_new_locus_tag,Node_2_new_kegg_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Int_source,Strain,Layer,MI-score,Interaction_detection_method
SALTS01263,ihfA,SL1344_1273,SL1344_RS06655,-,SALTS02785,SL1344_2801,SL1344_2801,SL1344_RS14585,-,OMA05341,OMA00922,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01263,ihfA,SL1344_1273,SL1344_RS06655,-,SALTS02839,hilD,SL1344_2855,SL1344_RS14885,-,OMA05341,OMA02238,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS00566,SL1344_0569,SL1344_0569,SL1344_RS02935,-,SALTS00216,map,SL1344_0216,SL1344_RS01090,-,OMA05046,OMA02833,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS00566,SL1344_0569,SL1344_0569,SL1344_RS02935,-,SALTS00217,rpsB,SL1344_0217,SL1344_RS01095,-,OMA05046,OMA03201,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS04411,hypT,SL1344_4442,SL1344_RS23145,-,SALTS04414,SL1344_4445,SL1344_4445,SL1344_RS23160,-,OMA02349,OMA02511,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS00566,SL1344_0569,SL1344_0569,SL1344_RS02935,-,SALTS04414,SL1344_4445,SL1344_4445,SL1344_RS23160,-,OMA05046,OMA02511,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS03412,crp,SL1344_3433,SL1344_RS17890,-,SALTS01155,pepT,SL1344_1164,SL1344_RS06055,-,OMA03616,OMA01322,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS03412,crp,SL1344_3433,SL1344_RS17890,-,SALTS01154,potA,SL1344_1163,SL1344_RS06050,sey:SL1344_1163,OMA03616,OMA01583,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS04217,SL1344_4250,SL1344_4250,SL1344_RS22145,-,SALTS00599,uspG,SL1344_0602,SL1344_RS03100,-,OMA05381,OMA04611,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS02839,hilD,SL1344_2855,SL1344_RS14885,-,SALTS03839,ilvC,SL1344_3869,SL1344_RS20115,sey:SL1344_3869,OMA02238,OMA00771,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS02839,hilD,SL1344_2855,SL1344_RS14885,-,SALTS03838,ilvY,SL1344_3868,SL1344_RS20110,-,OMA02238,OMA02214,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS04366,arcA,SL1344_4397,SL1344_RS22915,sey:SL1344_4397,SALTS00458,SL1344_0460,SL1344_0460,SL1344_RS02380,-,OMA01319,OMA04801,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01263,ihfA,SL1344_1273,SL1344_RS06655,-,SALTS02838,prgH,SL1344_2854,SL1344_RS14880,-,OMA05341,OMA01318,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS02862,invF,SL1344_2878,SL1344_RS15005,-,SALTS02939,fucA,SL1344_2954,SL1344_RS15385,sey:SL1344_2954,OMA03047,OMA03546,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS03447,ompR,SL1344_3469,SL1344_RS18070,-,SALTS00216,map,SL1344_0216,SL1344_RS01090,-,OMA03233,OMA02833,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS03447,ompR,SL1344_3469,SL1344_RS18070,-,SALTS03573,SL1344_3596,SL1344_3596,SL1344_RS18710,sey:SL1344_3596,OMA03233,OMA00599,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS02839,hilD,SL1344_2855,SL1344_RS14885,-,SALTS02101,sseK2,SL1344_2113,SL1344_RS10980,-,OMA02238,OMA01787,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS02840,hilA,SL1344_2856,SL1344_RS14890,-,SALTS01261,pheS,SL1344_1271,SL1344_RS06645,sey:SL1344_1271,OMA00542,OMA02007,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS03273,rpoN,SL1344_3292,SL1344_RS17150,-,SALTS00562,SL1344_0565,SL1344_0565,SL1344_RS02915,-,OMA00842,OMA04533,collecTF,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS02830,SL1344_2846,SL1344_2846,SL1344_RS14840,-,SALTS01778,SL1344_1792,SL1344_1792,SL1344_1792,-,OMA03001,OMA05866,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS04218,SL1344_4251,SL1344_4251,SL1344_RS22150,-,SALTS01733,rnd,SL1344_1745,SL1344_RS09070,-,OMA02510,OMA01597,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01393,rstA,SL1344_1405,SL1344_RS07330,-,SALTS01070,csgD,SL1344_1079,SL1344_RS05625,-,OMA03205,OMA03519,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01506,mcbR,SL1344_1519,SL1344_RS07915,-,SALTS04127,SL1344_4158,SL1344_4158,SL1344_RS21675,-,OMA03508,OMA05706,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01314,SL1344_1325,SL1344_1325,SL1344_RS06910,-,SALTS01581,SL1344_1593,SL1344_1593,SL1344_RS08295,-,OMA03568,OMA04800,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS00116,leuO,SL1344_0115,SL1344_RS00585,-,SALTS02462,shdA,SL1344_2474,SL1344_RS12885,-,OMA01895,OMA00007,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS03412,crp,SL1344_3433,SL1344_RS17890,-,SALTS04383,SL1344_4414,SL1344_4414,SL1344_RS23000,sey:SL1344_4414,OMA03616,OMA01844,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01506,mcbR,SL1344_1519,SL1344_RS07915,-,SALTS01668,adhE,SL1344_1680,SL1344_RS08735,sey:SL1344_1680,OMA03508,OMA00122,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS00539,fimY,SL1344_0543,SL1344_RS02790,-,SALTS02804,norV,SL1344_2820,SL1344_RS14710,sey:SL1344_2820,OMA03197,OMA00782,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS04217,SL1344_4250,SL1344_4250,SL1344_RS22145,-,SALTS01560,azoR,SL1344_1572,SL1344_RS08180,-,OMA05381,OMA03792,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01506,mcbR,SL1344_1519,SL1344_RS07915,-,SALTS03733,rbsK,SL1344_3759,SL1344_RS19525,sey:SL1344_3759,OMA03508,OMA02335,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS04196,pmrA,SL1344_4229,SL1344_RS22035,-,SALTS04403,SL1344_4434,SL1344_4434,SL1344_RS23105,-,OMA03507,OMA02286,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS00566,SL1344_0569,SL1344_0569,SL1344_RS02935,-,SALTS02688,SL1344_2700,SL1344_2700,SL1344_RS14055,-,OMA05046,OMA06006,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS04196,pmrA,SL1344_4229,SL1344_RS22035,-,SALTS02862,invF,SL1344_2878,SL1344_RS15005,-,OMA03507,OMA03047,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS04196,pmrA,SL1344_4229,SL1344_RS22035,-,SALTS02863,invH,SL1344_2879,SL1344_RS15010,-,OMA03507,OMA04521,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS00805,mntR,SL1344_0810,SL1344_RS04225,-,SALTS01466,SL1344_1478,SL1344_1478,SL1344_RS07700,-,OMA04394,OMA04784,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS04169,soxS,SL1344_4201,SL1344_RS21890,-,SALTS01818,SL1344_1832,SL1344_1832,SL1344_RS09490,-,OMA05145,OMA03717,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01314,SL1344_1325,SL1344_1325,SL1344_RS06910,-,SALTS02205,sspH2,SL1344_2217,SL1344_RS11515,-,OMA03568,OMA00198,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS02839,hilD,SL1344_2855,SL1344_RS14885,-,SALTS00988,pepN,SL1344_0997,SL1344_RS05190,sey:SL1344_0997,OMA02238,OMA00096,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01158,phoP,SL1344_1169,SL1344_RS06080,-,SALTS02696,SL1344_2708,SL1344_2708,SL1344_RS14100,-,OMA03453,OMA03641,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01365,slyA,SL1344_1376,SL1344_RS07175,-,SALTS02623,SL1344_2635,SL1344_2635,SL1344_RS13735,-,OMA04566,OMA04174,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01158,phoP,SL1344_1169,SL1344_RS06080,-,SALTS02695,SL1344_2707,SL1344_2707,SL1344_RS14095,-,OMA03453,OMA05631,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS02839,hilD,SL1344_2855,SL1344_RS14885,-,SALTS00987,SL1344_0996,SL1344_0996,SL1344_RS05185,-,OMA02238,OMA05735,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS04366,arcA,SL1344_4397,SL1344_RS22915,sey:SL1344_4397,SALTS02741,SL1344_2756,SL1344_2756,SL1344_RS14345,-,OMA01319,OMA00764,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS04366,arcA,SL1344_4397,SL1344_RS22915,sey:SL1344_4397,SALTS02742,hin,SL1344_2757,SL1344_RS14350,-,OMA01319,OMA03902,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS02862,invF,SL1344_2878,SL1344_RS15005,-,SALTS04030,ptsP,SL1344_4060,SL1344_RS21120,-,OMA03047,OMA00159,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS02862,invF,SL1344_2878,SL1344_RS15005,-,SALTS04031,SL1344_4061,SL1344_4061,SL1344_RS21125,-,OMA03047,OMA01772,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS02862,invF,SL1344_2878,SL1344_RS15005,-,SALTS03626,mtlA,SL1344_3650,SL1344_RS18990,sey:SL1344_3650,OMA03047,OMA00391,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS02862,invF,SL1344_2878,SL1344_RS15005,-,SALTS02940,fucP,SL1344_2955,SL1344_RS15390,-,OMA03047,OMA01094,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS02862,invF,SL1344_2878,SL1344_RS15005,-,SALTS04190,lpxO,SL1344_4223,SL1344_RS22000,-,OMA03047,OMA02294,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS02862,invF,SL1344_2878,SL1344_RS15005,-,SALTS01151,potC,SL1344_1160,SL1344_RS06035,sey:SL1344_1160,OMA03047,OMA02969,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS02862,invF,SL1344_2878,SL1344_RS15005,-,SALTS03625,SL1344_3649,SL1344_3649,SL1344_RS18985,-,OMA03047,OMA03674,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS04366,arcA,SL1344_4397,SL1344_RS22915,sey:SL1344_4397,SALTS02513,qseE,SL1344_2526,SL1344_RS13140,-,OMA01319,OMA00827,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01506,mcbR,SL1344_1519,SL1344_RS07915,-,SALTS03088,SL1344_3103,SL1344_3103,SL1344_RS16185,-,OMA03508,OMA00774,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01506,mcbR,SL1344_1519,SL1344_RS07915,-,SALTS03087,SL1344_3102,SL1344_3102,SL1344_RS16180,-,OMA03508,OMA01132,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01393,rstA,SL1344_1405,SL1344_RS07330,-,SALTS02535,SL1344_2549,SL1344_2549,SL1344_RS13250,-,OMA03205,OMA05685,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS03338,fis,SL1344_3358,SL1344_RS17485,-,SALTS01856,tyrP,SL1344_1870,SL1344_RS09690,sey:SL1344_1870,OMA05327,OMA01283,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01263,ihfA,SL1344_1273,SL1344_RS06655,-,SALTS00191,mrcB,SL1344_0191,SL1344_RS00965,sey:SL1344_0191,OMA05341,OMA00155,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01506,mcbR,SL1344_1519,SL1344_RS07915,-,SALTS02206,SL1344_2218,SL1344_2218,SL1344_RS26715,-,OMA03508,OMA05931,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS03412,crp,SL1344_3433,SL1344_RS17890,-,SALTS02206,SL1344_2218,SL1344_2218,SL1344_RS26715,-,OMA03616,OMA05931,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS00539,fimY,SL1344_0543,SL1344_RS02790,-,SALTS02649,bapA,SL1344_2661,SL1344_RS13860,-,OMA03197,OMA00002,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01506,mcbR,SL1344_1519,SL1344_RS07915,-,SALTS00987,SL1344_0996,SL1344_0996,SL1344_RS05185,-,OMA03508,OMA05735,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS03338,fis,SL1344_3358,SL1344_RS17485,-,SALTS02581,SL1344_2594,SL1344_2594,SL1344_RS13505,-,OMA05327,OMA01724,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01393,rstA,SL1344_1405,SL1344_RS07330,-,SALTS01785,SL1344_1799,SL1344_1799,SL1344_RS09320,-,OMA03205,OMA05870,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01158,phoP,SL1344_1169,SL1344_RS06080,-,SALTS01785,SL1344_1799,SL1344_1799,SL1344_RS09320,-,OMA03453,OMA05870,Exp(HT);Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS00489,cueR,SL1344_0492,SL1344_RS02540,-,SALTS01785,SL1344_1799,SL1344_1799,SL1344_RS09320,-,OMA04660,OMA05870,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS04196,pmrA,SL1344_4229,SL1344_RS22035,-,SALTS01859,SL1344_1873,SL1344_1873,SL1344_RS09705,-,OMA03507,OMA00777,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS03412,crp,SL1344_3433,SL1344_RS17890,-,SALTS02202,SL1344_2214,SL1344_2214,SL1344_RS11495,-,OMA03616,OMA01041,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS03412,crp,SL1344_3433,SL1344_RS17890,-,SALTS02201,SL1344_2213,SL1344_2213,SL1344_RS11490,-,OMA03616,OMA05132,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS04495,arcA,SL1344_4525,SL1344_RS23585,-,SALTS00985,SL1344_0994,SL1344_0994,SL1344_RS05175,-,OMA03240,OMA05281,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS00565,SL1344_0568,SL1344_0568,SL1344_RS02930,-,SALTS00289,SALTS_Chromosome.290,SALTS_Chromosome.290,SALTS_Chromosome.290,-,OMA03830,OMA04303,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS00566,SL1344_0569,SL1344_0569,SL1344_RS02935,-,SALTS04387,SL1344_4418,SL1344_4418,SL1344_RS23025,-,OMA05046,OMA00037,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS03890,metR,SL1344_3918,SL1344_RS20380,-,SALTS03405,SL1344_3426,SL1344_3426,SL1344_RS17855,-,OMA02167,OMA00385,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS04218,SL1344_4251,SL1344_4251,SL1344_RS22150,-,SALTS03248,folP,SL1344_3266,SL1344_RS17015,sey:SL1344_3266,OMA02510,OMA02679,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS03890,metR,SL1344_3918,SL1344_RS20380,-,SALTS03404,kefG,SL1344_3425,SL1344_RS17850,-,OMA02167,OMA03925,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS03273,rpoN,SL1344_3292,SL1344_RS17150,-,SALTS02533,SL1344_2547,SL1344_2547,SL1344_2547,-,OMA00842,OMA04004,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS00539,fimY,SL1344_0543,SL1344_RS02790,-,SALTS02617,SL1344_2629,SL1344_2629,SL1344_RS13705,-,OMA03197,OMA04142,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS00566,SL1344_0569,SL1344_0569,SL1344_RS02935,-,SALTS01943,SL1344_1954,SL1344_1954,SL1344_RS10135,-,OMA05046,OMA04679,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS04196,pmrA,SL1344_4229,SL1344_RS22035,-,SALTS00326,SL1344_0329,SL1344_0329,SL1344_RS26525,-,OMA03507,OMA05447,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01314,SL1344_1325,SL1344_1325,SL1344_RS06910,-,SALTS01917,sseK,SL1344_1928,SL1344_RS10000,-,OMA03568,OMA01923,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS04411,hypT,SL1344_4442,SL1344_RS23145,-,SALTS02732,SL1344_2746,SL1344_2746,SL1344_RS14300,-,OMA02349,OMA01056,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01314,SL1344_1325,SL1344_1325,SL1344_RS06910,-,SALTS00069,caiE,SL1344_0070,SL1344_RS00350,-,OMA03568,OMA03782,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS03338,fis,SL1344_3358,SL1344_RS17485,-,SALTS01855,SL1344_1869,SL1344_1869,SL1344_RS09685,-,OMA05327,OMA05648,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS03338,fis,SL1344_3358,SL1344_RS17485,-,SALTS01943,SL1344_1954,SL1344_1954,SL1344_RS10135,-,OMA05327,OMA04679,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01365,slyA,SL1344_1376,SL1344_RS07175,-,SALTS04393,pglX,SL1344_4424,SL1344_RS23055,-,OMA04566,OMA00031,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01365,slyA,SL1344_1376,SL1344_RS07175,-,SALTS04394,brxC,SL1344_4425,SL1344_RS23060,-,OMA04566,OMA00032,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01365,slyA,SL1344_1376,SL1344_RS07175,-,SALTS04390,pglZ,SL1344_4421,SL1344_RS23040,-,OMA04566,OMA00132,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01365,slyA,SL1344_1376,SL1344_RS07175,-,SALTS04389,brxL,SL1344_4420,SL1344_RS23035,-,OMA04566,OMA00296,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS04196,pmrA,SL1344_4229,SL1344_RS22035,-,SALTS04017,SL1344_4047,SL1344_4047,SL1344_RS21055,-,OMA03507,OMA00434,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS02862,invF,SL1344_2878,SL1344_RS15005,-,SALTS01179,SL1344_1191,SL1344_1191,SL1344_RS06230,sey:SL1344_1191,OMA03047,OMA00499,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS04196,pmrA,SL1344_4229,SL1344_RS22035,-,SALTS02840,hilA,SL1344_2856,SL1344_RS14890,-,OMA03507,OMA00542,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS02831,sirC,SL1344_2847,SL1344_RS14845,-,SALTS02513,qseE,SL1344_2526,SL1344_RS13140,-,OMA02430,OMA00827,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01365,slyA,SL1344_1376,SL1344_RS07175,-,SALTS04392,SL1344_4423,SL1344_4423,SL1344_RS23050,-,OMA04566,OMA01647,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS00489,cueR,SL1344_0492,SL1344_RS02540,-,SALTS00287,SALTS_Chromosome.288,SALTS_Chromosome.288,SALTS_Chromosome.288,-,OMA04660,OMA02264,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS04196,pmrA,SL1344_4229,SL1344_RS22035,-,SALTS02825,sitA,SL1344_2841,SL1344_RS14815,sey:SL1344_2841,OMA03507,OMA02340,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS00671,fur,SL1344_0675,SL1344_RS03500,-,SALTS00160,SL1344_0160,SL1344_0160,SL1344_RS00810,-,OMA04467,OMA02597,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS03338,fis,SL1344_3358,SL1344_RS17485,-,SALTS00160,SL1344_0160,SL1344_0160,SL1344_RS00810,-,OMA05327,OMA02597,Exp(HT),Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01365,slyA,SL1344_1376,SL1344_RS07175,-,SALTS04391,SL1344_4422,SL1344_4422,SL1344_RS23045,-,OMA04566,OMA02717,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01314,SL1344_1325,SL1344_1325,SL1344_RS06910,-,SALTS04222,SL1344_4255,SL1344_4255,SL1344_RS22170,-,OMA03568,OMA03016,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS04218,SL1344_4251,SL1344_4251,SL1344_RS22150,-,SALTS01872,SL1344_1885,SL1344_1885,SL1344_RS09785,-,OMA02510,OMA03251,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS00565,SL1344_0568,SL1344_0568,SL1344_RS02930,-,SALTS02736,SL1344_2751,SL1344_2751,SL1344_RS14320,-,OMA03830,OMA03542,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01365,slyA,SL1344_1376,SL1344_RS07175,-,SALTS04395,SL1344_4426,SL1344_4426,SL1344_RS23065,-,OMA04566,OMA03742,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS00116,leuO,SL1344_0115,SL1344_RS00585,-,SALTS04396,SL1344_4427,SL1344_4427,SL1344_RS23070,-,OMA01895,OMA03768,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS01365,slyA,SL1344_1376,SL1344_RS07175,-,SALTS04396,SL1344_4427,SL1344_4427,SL1344_RS23070,-,OMA04566,OMA03768,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS00671,fur,SL1344_0675,SL1344_RS03500,-,SALTS00161,SL1344_0161,SL1344_0161,SL1344_RS00815,-,OMA04467,OMA04419,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS03273,rpoN,SL1344_3292,SL1344_RS17150,-,SALTS00269,SL1344_0270,SL1344_0270,SL1344_RS01395,-,OMA00842,OMA04458,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS02839,hilD,SL1344_2855,SL1344_RS14885,-,SALTS00269,SL1344_0270,SL1344_0270,SL1344_RS01395,-,OMA02238,OMA04458,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS04196,pmrA,SL1344_4229,SL1344_RS22035,-,SALTS02824,SL1344_2840,SL1344_2840,SL1344_RS14810,-,OMA03507,OMA04985,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS02862,invF,SL1344_2878,SL1344_RS15005,-,SALTS01178,SL1344_1190,SL1344_1190,SL1344_RS06225,-,OMA03047,OMA05267,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS00671,fur,SL1344_0675,SL1344_RS03500,-,SALTS04101,SL1344_4132,SL1344_4132,SL1344_RS21545,-,OMA04467,OMA05325,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS03273,rpoN,SL1344_3292,SL1344_RS17150,-,SALTS02868,SL1344_2884,SL1344_2884,SL1344_RS15030,-,OMA00842,OMA05384,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS00116,leuO,SL1344_0115,SL1344_RS00585,-,SALTS00326,SL1344_0329,SL1344_0329,SL1344_RS26525,-,OMA01895,OMA05447,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS03412,crp,SL1344_3433,SL1344_RS17890,-,SALTS00326,SL1344_0329,SL1344_0329,SL1344_RS26525,-,OMA03616,OMA05447,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
SALTS00805,mntR,SL1344_0810,SL1344_RS04225,-,SALTS00326,SL1344_0329,SL1344_0329,SL1344_RS26525,-,OMA04394,OMA05447,Salm,Salmonella_typhimurium_SL1344,Regulatory,-,-
