# file_a	file_b
# a	b	evalue_ab	bitscore_ab	evalue_ba	bitscore_ba
# FN424405.1.fasta	SL1344_combined.fasta
# 0	1524	0	1524
STMMW_00441	SL1344_0044	8.59e-139	488	8.17e-139	488
STMMW_00451	SL1344_0045	3.32e-112	399	3.16e-112	399
STMMW_00461	SL1344_0046	0.0	1735	0.0	1735
STMMW_00471	SL1344_0047	0.0	5230	0.0	5230
STMMW_00481	SL1344_0048	0.0	926	0.0	926
STMMW_00491	SL1344_0049	0.0	832	0.0	832
STMMW_00501	SL1344_0050	0.0	1757	0.0	1757
STMMW_00511	SL1344_0051	0.0	2222	0.0	2222
STMMW_00521	SL1344_0052	0.0	1701	0.0	1701
STMMW_00531	SL1344_0053	0.0	1269	0.0	1269
STMMW_00541	SL1344_0054	0.0	2992	0.0	2992
STMMW_00551	SL1344_0055	0.0	2388	0.0	2388
STMMW_00551	SL1344_0745	0.0	2300	0.0	2300
STMMW_00561	SL1344_0056	0.0	3219	0.0	3219
STMMW_00561	SL1344_0744	0.0	3208	0.0	3208
STMMW_00571	SL1344_0057	1.70e-125	444	1.62e-125	444
STMMW_00581	SL1344_0058	0.0	2477	0.0	2477
STMMW_00591	SL1344_0059	0.0	1914	0.0	1914
STMMW_00601	SL1344_0060	2.03e-155	544	1.93e-155	544
STMMW_00611	SL1344_0061	0.0	1607	0.0	1607
STMMW_00621	SL1344_0062	0.0	2804	0.0	2804
STMMW_00631	SL1344_0063	0.0	1020	0.0	1020
STMMW_00641	SL1344_0064	0.0	1652	0.0	1652
STMMW_00651	SL1344_0065	0.0	1519	0.0	1519
STMMW_00661	SL1344_0066A	2.35e-180	627	2.23e-180	627
STMMW_00681	SL1344_0067	0.0	2122	0.0	2122
STMMW_00691	SL1344_0068	0.0	5956	0.0	5956
STMMW_00701	SL1344_0069	0.0	732	0.0	732
STMMW_00711	SL1344_0070	0.0	1103	0.0	1103
STMMW_00721	SL1344_0071	0.0	1452	0.0	1452
STMMW_00731	SL1344_0072	0.0	2870	0.0	2870
STMMW_00741	SL1344_0073	0.0	2244	0.0	2244
STMMW_00751	SL1344_0074	0.0	2111	0.0	2111
STMMW_00761	SL1344_0075	0.0	2804	0.0	2804
STMMW_00771	SL1344_0076	0.0	1424	0.0	1424
STMMW_00781	SL1344_0077	0.0	1740	0.0	1740
STMMW_00791	SL1344_0078	0.0	2372	0.0	2372
STMMW_00801	SL1344_0079	4.30e-152	532	4.09e-152	532
STMMW_00811	SL1344_0080	0.0	2477	0.0	2477
STMMW_00821	SL1344_0081	1.90e-120	427	1.56e-120	427
STMMW_00841	SL1344_0082	0.0	771	0.0	771
STMMW_00851	SL1344_0083	9.34e-154	538	8.89e-154	538
STMMW_00861	SL1344_0083A	2.96e-44	172	2.85e-44	172
STMMW_00871	ncRNA0376	6.94e-54	206	3.83e-54	206
STMMW_00881	SL1344_0084	0.0	3491	0.0	3491
STMMW_00891	SL1344_0085	1.95e-29	122	1.85e-29	122
STMMW_00901	SL1344_0086	0.0	981	0.0	981
STMMW_00911	SL1344_0087	0.0	3435	0.0	3435
STMMW_00921	SL1344_0088	0.0	881	0.0	881
STMMW_00931	SL1344_0089	0.0	1568	0.0	1568
STMMW_00941	SL1344_0090	0.0	699	0.0	699
STMMW_00951	SL1344_0091	0.0	1519	0.0	1519
STMMW_00961	SL1344_0092	0.0	1829	0.0	1829
STMMW_00971	SL1344_0093	0.0	2372	0.0	2372
STMMW_00981	SL1344_0094	0.0	4361	0.0	4361
STMMW_00991	SL1344_0095	0.0	1502	0.0	1502
STMMW_01001	SL1344_0096	0.0	1219	0.0	1219
STMMW_01011	SL1344_0097	0.0	5369	0.0	5369
STMMW_01021	SL1344_0098	0.0	4333	0.0	4333
STMMW_01031	SL1344_0099	0.0	1147	0.0	1147
STMMW_01041	SL1344_0099A	3.67e-26	111	3.49e-26	111
STMMW_01041	ncRNA0397	3.67e-26	111	8.09e-26	111
STMMW_01061	SL1344_0100	0.0	776	0.0	776
STMMW_01071	SL1344_0101	0.0	1286	0.0	1286
STMMW_01081	SL1344_0102	0.0	2776	0.0	2776
STMMW_01091	SL1344_0103	0.0	3158	0.0	3158
STMMW_01101	SL1344_0104	0.0	1563	0.0	1563
STMMW_01111	SL1344_0105	0.0	1419	0.0	1419
STMMW_01121	SL1344_0106	0.0	1308	0.0	1308
STMMW_01131	SL1344_0107	0.0	2976	0.0	2976
STMMW_01141	SL1344_0108	0.0	1818	0.0	1818
STMMW_01151	SL1344_0109	0.0	3059	0.0	3059
STMMW_01161	SL1344_0110	0.0	1120	0.0	1120
STMMW_01171	SL1344_0111	0.0	2588	0.0	2588
STMMW_01181	SL1344_0112	0.0	2017	0.0	2017
STMMW_01191	SL1344_0113	0.0	2904	0.0	2904
STMMW_01201	SL1344_0114	5.97e-41	161	5.67e-41	161
STMMW_01211	SL1344_0115	0.0	1746	0.0	1746
STMMW_01221	SL1344_0116	0.0	3070	0.0	3070
STMMW_01231	SL1344_0117	0.0	909	0.0	909
STMMW_01241	SL1344_0118	0.0	1857	0.0	1857
STMMW_01251	SL1344_0119	0.0	848	0.0	848
STMMW_01261	SL1344_0120	0.0	1735	0.0	1735
STMMW_01271	SL1344_0121	0.0	676	0.0	676
STMMW_01281	SL1344_0122	0.0	3264	0.0	3264
STMMW_01291	SL1344_0123	0.0	2743	0.0	2743
STMMW_01301	SL1344_0124	0.0	2510	0.0	2510
STMMW_01311	SL1344_0125	0.0	2001	0.0	2001
STMMW_01321	SL1344_0126	0.0	2433	0.0	2433
STMMW_01331	SL1344_0127	0.0	2139	0.0	2139
STMMW_01341	SL1344_0128	0.0	1973	0.0	1973
STMMW_01351	SL1344_0129	0.0	2726	0.0	2726
STMMW_01361	SL1344_0130	0.0	1701	0.0	1701
STMMW_01371	SL1344_0131	0.0	1530	0.0	1530
STMMW_01381	SL1344_0132	0.0	2333	0.0	2333
STMMW_01391	SL1344_0133	0.0	2128	0.0	2128
STMMW_01401	SL1344_0134	0.0	1696	0.0	1696
STMMW_01411	SL1344_0135	0.0	793	0.0	793
STMMW_01421	SL1344_0136	0.0	4998	0.0	4998
STMMW_01431	SL1344_0137	0.0	732	0.0	732
STMMW_01441	SL1344_0138	6.40e-99	355	6.12e-99	355
STMMW_01451	SL1344_0139	0.0	1369	0.0	1369
STMMW_01461	SL1344_0140	0.0	1147	0.0	1147
STMMW_01471	SL1344_0141	0.0	1929	0.0	1929
STMMW_01481	SL1344_0142	0.0	2222	0.0	2222
STMMW_01491	SL1344_0143	0.0	2560	0.0	2560
STMMW_01501	SL1344_0144	0.0	809	0.0	809
STMMW_01511	SL1344_0145	0.0	1380	0.0	1380
STMMW_01521	SL1344_0146	0.0	1042	0.0	1042
STMMW_01531	SL1344_0147	0.0	1580	0.0	1580
STMMW_01541	SL1344_0148	0.0	1757	0.0	1757
STMMW_01551	SL1344_0149	0.0	2593	0.0	2593
STMMW_01561	SL1344_0150	0.0	2532	0.0	2532
STMMW_01571	SL1344_0151	0.0	1413	0.0	1413
STMMW_01581	SL1344_0152	0.0	4920	0.0	4920
STMMW_01591	SL1344_0153	0.0	3491	0.0	3491
STMMW_01601	SL1344_0154	0.0	2632	0.0	2632
STMMW_01611	SL1344_0155	1.98e-150	527	1.88e-150	527
STMMW_01621	SL1344_0156	0.0	1463	0.0	1463
STMMW_01631	SL1344_0157	0.0	2976	0.0	2976
STMMW_01641	SL1344_0159	0.0	4798	0.0	4798
STMMW_01651	SL1344_0160	0.0	1557	0.0	1557
STMMW_01661	SL1344_0161	0.0	671	0.0	671
STMMW_01671	SL1344_0162	0.0	1762	0.0	1762
STMMW_01681	SL1344_0163	0.0	2350	0.0	2350
STMMW_01691	SL1344_0164	0.0	1812	0.0	1812
STMMW_01701	SL1344_0165	0.0	1419	0.0	1419
STMMW_01711	SL1344_0166	0.0	1463	0.0	1463
STMMW_01721	SL1344_0167	0.0	1591	0.0	1591
STMMW_01731	SL1344_0168	0.0	643	0.0	643
STMMW_01741	SL1344_0169	0.0	2976	0.0	2976
STMMW_01751	SL1344_0170	0.0	4416	0.0	4416
STMMW_01761	SL1344_0171	0.0	992	0.0	992
STMMW_01771	SL1344_0172	0.0	1225	0.0	1225
STMMW_01781	SL1344_0173	0.0	1712	0.0	1712
STMMW_01791	SL1344_0174	0.0	1424	0.0	1424
STMMW_01801	SL1344_0175	0.0	1995	0.0	1995
STMMW_01811	SL1344_0176	0.0	4698	0.0	4698
STMMW_01821	SL1344_0177	0.0	1264	0.0	1264
STMMW_01831	SL1344_0178	0.0	992	0.0	992
STMMW_01841	SL1344_0179	0.0	815	0.0	815
STMMW_01851	SL1344_0180	0.0	2272	0.0	2272
STMMW_01861	SL1344_0181	0.0	704	0.0	704
STMMW_01871	SL1344_0182	0.0	1574	0.0	1574
STMMW_01881	SL1344_0183	0.0	1458	0.0	1458
STMMW_01891	SL1344_0184	0.0	887	0.0	887
STMMW_01901	SL1344_0185	0.0	2621	0.0	2621
STMMW_01911	SL1344_0186	0.0	1735	0.0	1735
STMMW_01921	SL1344_0187	0.0	843	0.0	843
STMMW_01931	SL1344_0188	0.0	1303	0.0	1303
STMMW_01941	SL1344_0189	0.0	970	0.0	970
STMMW_01951	SL1344_0190	0.0	4571	0.0	4571
STMMW_01961	SL1344_0191	0.0	4660	0.0	4660
STMMW_01971	SL1344_0192	0.0	4045	0.0	4045
STMMW_01981	SL1344_0193	0.0	1469	0.0	1469
STMMW_01991	SL1344_0194	0.0	1646	0.0	1646
STMMW_02001	SL1344_0195	0.0	3801	0.0	3801
STMMW_02011	SL1344_0196	0.0	1037	0.0	1037
STMMW_02021	SL1344_0197	0.0	4898	0.0	4898
STMMW_02031	SL1344_0198	0.0	1391	0.0	1391
STMMW_02041	SL1344_0199	0.0	865	0.0	865
STMMW_02051	SL1344_0200	0.0	881	0.0	881
STMMW_02061	SL1344_0201	0.0	981	0.0	981
STMMW_02071	SL1344_0202	0.0	1552	0.0	1552
STMMW_02081	SL1344_0203	0.0	2366	0.0	2366
STMMW_02091	SL1344_0204	0.0	2627	0.0	2627
STMMW_02101	SL1344_0205	0.0	638	0.0	638
STMMW_02111	SL1344_0206	0.0	1153	0.0	1153
STMMW_02121	SL1344_0207	0.0	1480	0.0	1480
STMMW_02131	SL1344_0208	0.0	1291	0.0	1291
STMMW_02141	SL1344_0209	0.0	2416	0.0	2416
STMMW_02151	SL1344_0210	0.0	2638	0.0	2638
STMMW_02161	SL1344_0211	0.0	2139	0.0	2139
STMMW_02171	SL1344_0212	0.0	715	0.0	715
STMMW_02181	SL1344_0213	0.0	1895	0.0	1895
STMMW_02191	SL1344_0214	0.0	1524	0.0	1524
STMMW_02201	SL1344_0215	0.0	4937	0.0	4937
STMMW_02211	SL1344_0216	0.0	1463	0.0	1463
STMMW_02221	SL1344_0217	0.0	1341	0.0	1341
STMMW_02231	SL1344_0218	0.0	1568	0.0	1568
STMMW_02241	SL1344_0219	0.0	1341	0.0	1341
STMMW_02251	SL1344_0220	0.0	1031	0.0	1031
STMMW_02261	SL1344_0221	0.0	2211	0.0	2211
STMMW_02271	SL1344_0222	0.0	1402	0.0	1402
STMMW_02281	SL1344_0223	0.0	1580	0.0	1580
STMMW_02291	SL1344_0224	0.0	2499	0.0	2499
STMMW_02301	SL1344_0225	0.0	4460	0.0	4460
STMMW_02311	SL1344_0226	0.0	898	0.0	898
STMMW_02321	SL1344_0227	0.0	1895	0.0	1895
STMMW_02331	SL1344_0228	0.0	843	0.0	843
STMMW_02341	SL1344_0229	0.0	1458	0.0	1458
STMMW_02351	SL1344_0230	0.0	2122	0.0	2122
STMMW_02361	SL1344_0231	0.0	1103	0.0	1103
STMMW_02371	SL1344_0232	0.0	6421	0.0	6421
STMMW_02381	SL1344_0233	0.0	1773	0.0	1773
STMMW_02391	SL1344_0234	0.0	3253	0.0	3253
STMMW_02401	SL1344_0235	0.0	3956	0.0	3956
STMMW_02411	SL1344_0236	0.0	721	0.0	721
STMMW_02421	SL1344_0237	0.0	2239	0.0	2239
STMMW_02431	SL1344_0238	8.54e-134	472	7.92e-134	472
STMMW_02441	SL1344_0239	7.25e-114	405	6.90e-114	405
STMMW_02451	SL1344_0240	0.0	1009	0.0	1009
STMMW_02461	SL1344_0241	0.0	782	0.0	782
STMMW_02471	SL1344_0242	0.0	1297	0.0	1297
STMMW_02481	SL1344_0243	0.0	3169	0.0	3169
STMMW_02491	SL1344_0244	0.0	1308	0.0	1308
STMMW_02501	SL1344_0245	0.0	749	0.0	749
STMMW_02511	SL1344_0246	0.0	1507	0.0	1507
STMMW_02521	SL1344_0247	0.0	1208	0.0	1208
STMMW_02531	SL1344_0248	0.0	1906	0.0	1906
STMMW_02541	SL1344_0250	0.0	1485	0.0	1485
STMMW_02551	SL1344_0251	0.0	1685	0.0	1685
STMMW_02561	SL1344_0252	0.0	2172	0.0	2172
STMMW_02571	SL1344_0253	0.0	1441	0.0	1441
STMMW_02581	SL1344_0254	0.0	1419	0.0	1419
STMMW_02591	SL1344_0255	0.0	2527	0.0	2527
STMMW_02601	SL1344_0256	0.0	1397	0.0	1397
STMMW_02611	SL1344_0257	0.0	1330	0.0	1330
STMMW_02621	SL1344_0258	0.0	865	0.0	865
STMMW_02631	SL1344_0259	0.0	1352	0.0	1352
STMMW_02641	SL1344_0260	0.0	1951	0.0	1951
STMMW_02651	SL1344_0261	0.0	1840	0.0	1840
STMMW_02661	SL1344_0262	0.0	3480	0.0	3480
STMMW_02671	SL1344_0263	0.0	915	0.0	915
STMMW_02691	SL1344_0264	0.0	1519	0.0	1519
STMMW_02701	SL1344_0265	0.0	1668	0.0	1668
STMMW_02711	SL1344_0266	0.0	4870	0.0	4870
STMMW_02731	SL1344_0267	0.0	1003	0.0	1003
STMMW_02741	SL1344_0268	0.0	2760	0.0	2760
STMMW_02771	SL1344_0270	0.0	826	0.0	826
STMMW_02791	SL1344_0271	0.0	898	0.0	898
STMMW_02811	SL1344_0272	0.0	898	0.0	898
STMMW_02831	SL1344_0273	0.0	710	0.0	710
STMMW_02841	SL1344_0274	0.0	898	0.0	898
STMMW_02851	SL1344_0275	0.0	992	0.0	992
STMMW_02861	SL1344_0276	0.0	2483	0.0	2483
STMMW_02871	SL1344_0277	0.0	2405	0.0	2405
STMMW_02881	SL1344_0278	0.0	1430	0.0	1430
STMMW_02891	SL1344_0279	0.0	793	0.0	793
STMMW_02901	SL1344_0280	0.0	7147	0.0	7147
STMMW_02911	SL1344_0281	0.0	1458	0.0	1458
STMMW_02921	SL1344_0282	0.0	771	0.0	771
STMMW_02931	SL1344_0283	0.0	965	0.0	965
STMMW_02941	SL1344_0284	0.0	4045	0.0	4045
STMMW_02951	SL1344_0285	0.0	826	0.0	826
STMMW_02971	SL1344_0286A	8.59e-139	488	8.17e-139	488
STMMW_02981	SL1344_0286B	0.0	1690	0.0	1690
STMMW_02991	SL1344_0288	0.0	826	0.0	826
STMMW_03021	SL1344_0289	0.0	867	0.0	867
STMMW_03041	ncRNA0026	6.97e-140	492	1.04e-139	492
STMMW_03051	SL1344_0291	9.83e-164	571	9.34e-164	571
STMMW_03061	SL1344_0292	7.76e-165	575	7.35e-165	575
STMMW_03071	SL1344_0293	1.48e-70	261	9.66e-71	261
STMMW_03081	SL1344_0294	0.0	824	0.0	824
STMMW_03091	SL1344_0295	0.0	948	0.0	948
STMMW_03101	SL1344_0296	0.0	1319	0.0	1319
STMMW_03111	SL1344_0297	0.0	4638	0.0	4638
STMMW_03121	SL1344_0298	0.0	870	0.0	870
STMMW_03131	SL1344_0299	0.0	1519	0.0	1519
STMMW_03151	SL1344_0300	0.0	1751	0.0	1751
STMMW_03161	SL1344_0301	3.32e-112	399	3.16e-112	399
STMMW_03171	SL1344_0302	0.0	1330	0.0	1330
STMMW_03181	SL1344_0303	0.0	754	0.0	754
STMMW_03191	SL1344_0304	0.0	1419	0.0	1419
STMMW_03201	SL1344_0305	0.0	4516	0.0	4516
STMMW_03211	SL1344_0306	0.0	1070	0.0	1070
STMMW_03221	SL1344_0307	0.0	1419	0.0	1419
STMMW_03231	SL1344_0308	0.0	1369	0.0	1369
STMMW_03241	SL1344_0309	0.0	1951	0.0	1951
STMMW_03251	SL1344_0310	0.0	2071	0.0	2071
STMMW_03261	SL1344_0311	0.0	1136	0.0	1136
STMMW_03271	SL1344_0312	0.0	2687	0.0	2687
STMMW_03281	SL1344_0313	0.0	848	0.0	848
STMMW_03291	SL1344_0314	0.0	2300	0.0	2300
STMMW_03301	SL1344_0315	0.0	743	0.0	743
STMMW_03311	SL1344_0316	0.0	1945	0.0	1945
STMMW_03321	SL1344_0317	0.0	2034	0.0	2034
STMMW_03331	SL1344_0318	0.0	2311	0.0	2311
STMMW_03371	SL1344_2586	2.31e-40	161	2.17e-40	161
STMMW_03941	SL1344_0319	0.0	1480	0.0	1480
STMMW_03951	SL1344_0320	0.0	1297	0.0	1297
STMMW_03971	SL1344_0322	4.74e-172	599	4.51e-172	599
STMMW_03981	SL1344_0323	0.0	2289	0.0	2289
STMMW_03991	SL1344_0324	0.0	2241	0.0	2241
STMMW_04001	SL1344_0325	0.0	1158	0.0	1158
STMMW_04011	SL1344_0326	0.0	1624	0.0	1624
STMMW_04021	SL1344_0327	0.0	1690	0.0	1690
STMMW_04031	SL1344_0328	0.0	1784	0.0	1784
STMMW_04041	SL1344_0329	8.85e-144	505	8.41e-144	505
STMMW_04051	SL1344_0330	0.0	737	0.0	737
STMMW_04061	SL1344_0331	0.0	1402	0.0	1402
STMMW_04071	SL1344_0332	0.0	2449	0.0	2449
STMMW_04081	SL1344_0333	0.0	4743	0.0	4743
STMMW_04091	SL1344_0334	0.0	1408	0.0	1408
STMMW_04101	SL1344_0335	0.0	992	0.0	992
STMMW_04111	SL1344_0336	0.0	1413	0.0	1413
STMMW_04121	SL1344_0337	0.0	926	0.0	926
STMMW_04131	SL1344_0338	0.0	2909	0.0	2909
STMMW_04141	SL1344_0339	0.0	1375	0.0	1375
STMMW_04151	SL1344_0340	0.0	904	0.0	904
STMMW_04161	SL1344_0341	0.0	970	0.0	970
STMMW_04171	SL1344_0342	0.0	1186	0.0	1186
STMMW_04181	SL1344_0343	3.45e-117	416	3.28e-117	416
STMMW_04191	SL1344_0344	0.0	665	0.0	665
STMMW_04201	SL1344_0345	0.0	2693	0.0	2693
STMMW_04211	SL1344_0346	0.0	5851	0.0	5851
STMMW_04221	SL1344_0347	0.0	1868	0.0	1868
STMMW_04231	SL1344_0348	0.0	4228	0.0	4228
STMMW_04241	SL1344_0349	0.0	859	0.0	859
STMMW_04251	SL1344_0350	1.40e-100	361	1.33e-100	361
STMMW_04261	SL1344_0351	0.0	2316	0.0	2316
STMMW_04271	SL1344_0352	0.0	3618	0.0	3618
STMMW_04281	SL1344_0353	0.0	5491	0.0	5491
STMMW_04291	SL1344_0354	3.30e-49	189	3.13e-49	189
STMMW_04301	SL1344_0355	0.0	2588	0.0	2588
STMMW_04311	SL1344_0356	0.0	1868	0.0	1868
STMMW_04321	SL1344_0357	3.45e-117	416	3.28e-117	416
STMMW_04331	SL1344_0358	0.0	1857	0.0	1857
STMMW_04341	SL1344_0359	0.0	3895	0.0	3895
STMMW_04351	SL1344_0360	0.0	1170	0.0	1170
STMMW_04361	SL1344_0361	1.92e-145	510	1.83e-145	510
STMMW_04371	SL1344_0362	0.0	3003	0.0	3003
STMMW_04381	SL1344_0363	0.0	1640	0.0	1640
STMMW_04391	SL1344_0364	0.0	2161	0.0	2161
STMMW_04401	SL1344_0365	0.0	2682	0.0	2682
STMMW_04411	SL1344_0366	0.0	3485	0.0	3485
STMMW_04421	SL1344_0367	0.0	1801	0.0	1801
STMMW_04431	SL1344_0368	0.0	5424	0.0	5424
STMMW_04441	SL1344_0369	0.0	1153	0.0	1153
STMMW_04451	SL1344_0370	0.0	2089	0.0	2089
STMMW_04461	SL1344_0371	0.0	2061	0.0	2061
STMMW_04471	SL1344_0372	0.0	2023	0.0	2023
STMMW_04481	SL1344_0373	9.83e-164	571	9.34e-164	571
STMMW_04491	SL1344_0374	3.32e-112	399	3.16e-112	399
STMMW_04501	SL1344_0375	0.0	2023	0.0	2023
STMMW_04511	SL1344_0376	0.0	1314	0.0	1314
STMMW_04521	SL1344_0377	0.0	2239	0.0	2239
STMMW_04531	SL1344_0378	1.87e-140	494	1.78e-140	494
STMMW_04541	SL1344_0379	2.18e-170	593	2.08e-170	593
STMMW_04551	SL1344_0380	0.0	2056	0.0	2056
STMMW_04561	SL1344_0381	0.0	1496	0.0	1496
STMMW_04571	SL1344_0382	0.0	843	0.0	843
STMMW_04581	SL1344_0383	0.0	1009	0.0	1009
STMMW_04591	SL1344_0384	6.40e-99	355	6.12e-99	355
STMMW_04601	SL1344_0385	0.0	1253	0.0	1253
STMMW_04611	SL1344_0386	1.98e-150	527	1.88e-150	527
STMMW_04621	SL1344_0387	0.0	1679	0.0	1679
STMMW_04631	SL1344_0388	0.0	1674	0.0	1674
STMMW_04641	SL1344_0389	0.0	2161	0.0	2161
STMMW_04651	SL1344_0390	0.0	5801	0.0	5801
STMMW_04661	SL1344_0391	0.0	2222	0.0	2222
STMMW_04671	SL1344_0392	0.0	1275	0.0	1275
STMMW_04681	SL1344_0393	0.0	2394	0.0	2394
STMMW_04691	SL1344_0394	0.0	2438	0.0	2438
STMMW_04701	SL1344_0395	0.0	2532	0.0	2532
STMMW_04711	SL1344_0396	0.0	3358	0.0	3358
STMMW_04721	SL1344_0397	0.0	1114	0.0	1114
STMMW_04731	SL1344_0398	0.0	1075	0.0	1075
STMMW_04741	SL1344_0399	0.0	1967	0.0	1967
STMMW_04751	SL1344_0400	0.0	2084	0.0	2084
STMMW_04761	SL1344_0401	4.85e-177	616	4.61e-177	616
STMMW_04771	SL1344_0402	0.0	3413	0.0	3413
STMMW_04781	SL1344_0403	0.0	1796	0.0	1796
STMMW_04791	SL1344_0404	0.0	676	0.0	676
STMMW_04801	SL1344_0405	0.0	1280	0.0	1280
STMMW_04811	SL1344_0406	0.0	643	0.0	643
STMMW_04831	SL1344_0407	0.0	1596	0.0	1596
STMMW_04841	SL1344_0408	0.0	998	0.0	998
STMMW_04851	SL1344_0409	0.0	832	0.0	832
STMMW_04861	SL1344_0410	0.0	2034	0.0	2034
STMMW_04871	SL1344_0411	0.0	870	0.0	870
STMMW_04881	SL1344_0412	0.0	776	0.0	776
STMMW_04891	SL1344_0413	0.0	1807	0.0	1807
STMMW_04901	SL1344_0414	0.0	953	0.0	953
STMMW_04911	SL1344_0415	0.0	1801	0.0	1801
STMMW_04921	SL1344_0416	0.0	3435	0.0	3435
STMMW_04931	SL1344_0417	0.0	1657	0.0	1657
STMMW_04941	SL1344_0418	3.70e-127	449	3.52e-127	449
STMMW_04951	SL1344_0419	0.0	2671	0.0	2671
STMMW_04961	SL1344_0420	0.0	1474	0.0	1474
STMMW_04971	SL1344_0421	0.0	1591	0.0	1591
STMMW_04981	SL1344_0422	0.0	2050	0.0	2050
STMMW_04991	SL1344_0423	0.0	1740	0.0	1740
STMMW_05001	SL1344_0424	0.0	1330	0.0	1330
STMMW_05011	SL1344_0425	0.0	2039	0.0	2039
STMMW_05021	SL1344_0426	0.0	1502	0.0	1502
STMMW_05031	SL1344_0427	0.0	1092	0.0	1092
STMMW_05041	SL1344_0428	0.0	1685	0.0	1685
STMMW_05051	SL1344_0429	0.0	942	0.0	942
STMMW_05061	SL1344_0430	0.0	2488	0.0	2488
STMMW_05081	SL1344_0431	0.0	2787	0.0	2787
STMMW_05091	SL1344_0432	0.0	2366	0.0	2366
STMMW_05101	SL1344_0433	0.0	1646	0.0	1646
STMMW_05111	SL1344_0434	2.23e-175	610	2.12e-175	610
STMMW_05121	SL1344_0435	0.0	953	0.0	953
STMMW_05131	SL1344_0436	0.0	3674	0.0	3674
STMMW_05141	SL1344_0437	0.0	1768	0.0	1768
STMMW_05151	SL1344_0438	0.0	2726	0.0	2726
STMMW_05161	SL1344_0439	0.0	1170	0.0	1170
STMMW_05171	SL1344_0440	1.01e-168	588	9.57e-169	588
STMMW_05181	SL1344_0441	0.0	2399	0.0	2399
STMMW_05191	SL1344_0442	0.0	1153	0.0	1153
STMMW_05201	SL1344_0443	0.0	2350	0.0	2350
STMMW_05211	SL1344_0444	0.0	4344	0.0	4344
STMMW_05221	SL1344_0445	8.85e-144	505	8.41e-144	505
STMMW_05231	SL1344_0446	0.0	3458	0.0	3458
STMMW_05241	SL1344_0447	0.0	693	0.0	693
STMMW_05251	SL1344_0448	0.0	737	0.0	737
STMMW_05261	SL1344_0449	0.0	1286	0.0	1286
STMMW_05271	SL1344_0450	0.0	3142	0.0	3142
STMMW_05281	SL1344_0451	0.0	1513	0.0	1513
STMMW_05291	SL1344_0452	0.0	1951	0.0	1951
STMMW_05301	SL1344_0453	0.0	843	0.0	843
STMMW_05311	SL1344_0454	0.0	3275	0.0	3275
STMMW_05321	SL1344_0455	0.0	3286	0.0	3286
STMMW_05331	SL1344_0456	2.28e-180	627	2.17e-180	627
STMMW_05341	SL1344_0457	0.0	2377	0.0	2377
