# s1480_old_locus-2.fa,SL1344_combined.fasta,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
STM14_0078,SL1344_0068,0,2122,0,2122
STM14_0080,SL1344_0885,0,5956,0,5956
STM14_0080,SL1344_1166,0,848,0,848
STM14_0080,SL1344_1746,0,848,0,848
STM14_0080,SL1344_1886,0,848,0,848
STM14_0080,SL1344_2434,0,848,0,848
STM14_0080,SL1344_3267,0,848,0,848
STM14_0080,SL1344_3446,0,848,0,848
STM14_0081,SL1344_0069,0,848,0,848
STM14_0082,SL1344_0070,0,732,0,732
STM14_0083,SL1344_0071,0,1103,0,1103
STM14_0084,SL1344_0072,0,1452,0,1452
STM14_0085,SL1344_0073,0,2870,0,2870
STM14_0087,SL1344_0074,0,2244,0,2244
STM14_0088,SL1344_0075,0,2111,0,2111
STM14_0090,SL1344_0076,0,2804,0,2804
STM14_0091,SL1344_0077,0,1424,0,1424
STM14_0092,SL1344_0078,0,1740,0,1740
STM14_0093,SL1344_0079,0,2372,0,2372
STM14_0094,SL1344_0080,4.36E-152,532,4.13E-152,532
STM14_0095,SL1344_0081,0,2477,0,2477
STM14_0096,SL1344_0082,1.67E-120,427,1.58E-120,427
STM14_0098,SL1344_0083,0,771,0,771
STM14_0100,SL1344_0084,9.48E-154,538,8.98E-154,538
STM14_0103,SL1344_0086,0,3491,0,3491
STM14_0104,SL1344_0087,0,981,0,981
STM14_0106,SL1344_0088,0,3435,0,3435
STM14_0107,SL1344_0089,0,881,0,881
STM14_0108,SL1344_0090,0,1568,0,1568
STM14_0109,SL1344_0091,0,699,0,699
STM14_0110,SL1344_0092,0,1519,0,1519
STM14_0111,SL1344_0093,0,1829,0,1829
STM14_0112,SL1344_0094,0,2377,0,2377
STM14_0114,SL1344_0095,0,4361,0,4361
STM14_0115,SL1344_0096,0,1502,0,1502
STM14_0116,SL1344_0097,0,1219,0,1219
STM14_0117,SL1344_0098,0,5369,0,5369
STM14_0118,SL1344_0099,0,4344,0,4344
STM14_0119,SL1344_0100,0,1147,0,1147
STM14_0120,SL1344_0101,0,776,0,776
STM14_0121,SL1344_0102,0,1286,0,1286
STM14_0122,SL1344_0103,0,2776,0,2776
STM14_0123,SL1344_0104,0,3158,0,3158
STM14_0124,SL1344_0105,0,1563,0,1563
STM14_0125,SL1344_0106,0,1419,0,1419
STM14_0126,SL1344_0107,0,1308,0,1308
STM14_0127,SL1344_0108,0,2976,0,2976
STM14_0129,SL1344_0109,0,1818,0,1818
STM14_0131,SL1344_0110,0,3059,0,3059
STM14_0132,SL1344_0111,0,1120,0,1120
STM14_0133,SL1344_0112,0,2588,0,2588
STM14_0134,SL1344_0113,0,2017,0,2017
STM14_0135,SL1344_0114,0,2904,0,2904
STM14_0138,SL1344_0115,6.22E-41,161,5.73E-41,161
STM14_0139,SL1344_0116,0,1746,0,1746
STM14_0140,SL1344_0117,0,3064,0,3064
STM14_0142,SL1344_0118,0,909,0,909
STM14_0145,SL1344_0119,0,1857,0,1857
STM14_0146,SL1344_0120,0,848,0,848
STM14_0147,SL1344_0121,0,1740,0,1740
STM14_0148,SL1344_0122,0,676,0,676
STM14_0149,SL1344_0123,0,3258,0,3258
STM14_0150,SL1344_0124,0,2743,0,2743
STM14_0151,SL1344_0125,0,2510,0,2510
STM14_0152,SL1344_0126,0,2001,0,2001
STM14_0153,SL1344_0127,0,2433,0,2433
STM14_0154,SL1344_0128,0,2139,0,2139
STM14_0155,SL1344_0129,0,1973,0,1973
STM14_0156,SL1344_0130,0,2726,0,2726
STM14_0157,SL1344_0131,0,1701,0,1701
STM14_0158,SL1344_0132,0,1530,0,1530
STM14_0159,SL1344_0133,0,2333,0,2333
STM14_0160,SL1344_0134,0,2128,0,2128
STM14_0161,SL1344_0135,0,1696,0,1696
STM14_0162,SL1344_0136,0,793,0,793
STM14_0163,SL1344_0137,0,4998,0,4998
STM14_0166,SL1344_0138,0,732,0,732
STM14_0167,SL1344_0139,6.55E-99,355,6.19E-99,355
STM14_0168,SL1344_0140,0,1369,0,1369
STM14_0169,SL1344_0141,0,1147,0,1147
STM14_0170,SL1344_0142,0,1929,0,1929
STM14_0171,SL1344_0143,0,2222,0,2222
STM14_0172,SL1344_0144,0,2560,0,2560
STM14_0174,SL1344_0145,0,809,0,809
STM14_0175,SL1344_0146,0,1380,0,1380
STM14_0176,SL1344_0147,0,1042,0,1042
STM14_0177,SL1344_0148,0,1580,0,1580
STM14_0178,SL1344_0149,0,1757,0,1757
STM14_0180,SL1344_0150,0,2593,0,2593
STM14_0182,SL1344_0151,0,2538,0,2538
STM14_0183,SL1344_0152,0,1413,0,1413
STM14_0184,SL1344_0153,0,4920,0,4920
STM14_0185,SL1344_0154,0,3491,0,3491
STM14_0187,SL1344_0155,0,2632,0,2632
STM14_0188,SL1344_0156,2.01E-150,527,1.9E-150,527
STM14_0189,SL1344_0157,0,1463,0,1463
STM14_0190,SL1344_0159,0,2977,0,2977
STM14_0191,SL1344_0160,0,4798,0,4798
STM14_0192,SL1344_0161,0,1557,0,1557
STM14_0193,SL1344_0162,0,671,0,671
STM14_0194,SL1344_0163,0,1762,0,1762
STM14_0195,SL1344_0164,0,2350,0,2350
STM14_0196,SL1344_0165,0,1818,0,1818
STM14_0197,SL1344_0166,0,1419,0,1419
STM14_0198,SL1344_0167,0,1469,0,1469
STM14_0199,SL1344_0168,0,1591,0,1591
STM14_0200,SL1344_0169,0,643,0,643
STM14_0201,SL1344_0170,0,2976,0,2976
STM14_0202,SL1344_0171,0,4410,0,4410
STM14_0203,SL1344_0172,0,992,0,992
STM14_0204,SL1344_0173,0,1225,0,1225
STM14_0205,SL1344_0174,0,1712,0,1712
STM14_0206,SL1344_0175,0,1424,0,1424
STM14_0207,SL1344_0176,0,1995,0,1995
STM14_0208,SL1344_0177,0,4704,0,4704
STM14_0209,SL1344_0178,0,1264,0,1264
STM14_0211,SL1344_0179,0,998,0,998
STM14_0212,SL1344_0180,0,815,0,815
STM14_0213,SL1344_0181,0,2272,0,2272
STM14_0214,SL1344_0182,0,704,0,704
STM14_0216,SL1344_0183,0,1580,0,1580
STM14_0217,SL1344_0184,0,1463,0,1463
STM14_0218,SL1344_0185,0,887,0,887
STM14_0219,SL1344_0186,0,2582,0,2582
STM14_0220,SL1344_0187,0,1652,0,1652
STM14_0221,SL1344_0188,0,843,0,843
STM14_0222,SL1344_0189,0,1303,0,1303
STM14_0223,SL1344_0190,0,976,0,976
STM14_0226,SL1344_0191,0,4488,0,4488
STM14_0228,SL1344_0192,0,4660,0,4660
STM14_0229,SL1344_0193,0,4045,0,4045
STM14_0230,SL1344_0194,0,1474,0,1474
STM14_0231,SL1344_0195,0,1646,0,1646
STM14_0234,SL1344_0196,0,3768,0,3768
STM14_0235,SL1344_0197,0,1037,0,1037
STM14_0236,SL1344_0198,0,4909,0,4909
STM14_0237,SL1344_0199,0,1391,0,1391
STM14_0238,SL1344_0200,0,865,0,865
STM14_0239,SL1344_0201,0,881,0,881
STM14_0240,SL1344_0202,0,981,0,981
STM14_0241,SL1344_0203,0,1552,0,1552
STM14_0243,SL1344_0204,0,2366,0,2366
STM14_0244,SL1344_0205,0,2627,0,2627
STM14_0245,SL1344_0206,0,638,0,638
STM14_0246,SL1344_0207,0,1153,0,1153
STM14_0247,SL1344_0208,0,1480,0,1480
STM14_0248,SL1344_0209,0,1291,0,1291
STM14_0249,SL1344_0210,0,2416,0,2416
STM14_0250,SL1344_0211,0,2638,0,2638
STM14_0251,SL1344_0212,0,2139,0,2139
STM14_0252,SL1344_0213,0,715,0,715
STM14_0253,SL1344_0214,0,1895,0,1895
STM14_0254,SL1344_0215,0,1519,0,1519
STM14_0255,SL1344_0216,0,4937,0,4937
STM14_0257,SL1344_0217,0,1469,0,1469
STM14_0258,SL1344_0218,0,1341,0,1341
STM14_0259,SL1344_0219,0,1574,0,1574
STM14_0260,SL1344_0220,0,1341,0,1341
STM14_0261,SL1344_0221,0,1031,0,1031
STM14_0263,SL1344_0222,0,2211,0,2211
STM14_0264,SL1344_0223,0,1402,0,1402
STM14_0265,SL1344_0224,0,1585,0,1585
STM14_0266,SL1344_0225,0,2499,0,2499
STM14_0267,SL1344_0226,0,4460,0,4460
STM14_0268,SL1344_0227,0,898,0,898
STM14_0269,SL1344_0228,0,1895,0,1895
STM14_0270,SL1344_0229,0,843,0,843
STM14_0271,SL1344_0230,0,1458,0,1458
STM14_0272,SL1344_0231,0,2122,0,2122
STM14_0273,SL1344_0232,0,1103,0,1103
STM14_0274,SL1344_0233,0,6427,0,6427
STM14_0275,SL1344_0234,0,1773,0,1773
STM14_0276,SL1344_0235,0,3258,0,3258
STM14_0277,SL1344_0236,0,3951,0,3951
STM14_0278,SL1344_0237,0,721,0,721
STM14_0279,SL1344_0238,0,2239,0,2239
STM14_0280,SL1344_0239,8.69E-134,472,8.01E-134,472
STM14_0281,SL1344_0240,6.83E-104,372,7.07E-104,372
STM14_0282,SL1344_0241,0,1009,0,1009
STM14_0283,SL1344_0242,0,782,0,782
STM14_0284,SL1344_0243,0,1297,0,1297
STM14_0285,SL1344_0244,0,3175,0,3175
STM14_0286,SL1344_0245,0,1308,0,1308
STM14_0287,SL1344_0246,0,749,0,749
STM14_0288,SL1344_0247,0,1507,0,1507
STM14_0289,SL1344_0248,0,1203,0,1203
STM14_0290,SL1344_0249,0,1906,0,1906
STM14_0300,SL1344_0250,0,1048,0,1048
STM14_0301,SL1344_0251,0,1485,0,1485
STM14_0302,SL1344_0252,0,1690,0,1690
STM14_0303,SL1344_0253,0,2172,0,2172
STM14_0304,SL1344_0254,0,1441,0,1441
STM14_0305,SL1344_0255,0,1419,0,1419
STM14_0306,SL1344_0256,0,2527,0,2527
STM14_0307,SL1344_0257,0,1397,0,1397
STM14_0308,SL1344_0258,0,1336,0,1336
STM14_0309,SL1344_0259,0,865,0,865
STM14_0313,SL1344_0260,0,1352,0,1352
STM14_0314,SL1344_0261,0,1951,0,1951
STM14_0315,SL1344_0262,0,1840,0,1840
STM14_0316,SL1344_0263,0,3480,0,3480
STM14_0317,SL1344_0264,0,915,0,915
STM14_0318,SL1344_0265,0,1524,0,1524
STM14_0319,SL1344_0266,0,1668,0,1668
STM14_0320,SL1344_0267,0,4870,0,4870
STM14_0321,SL1344_0268,0,1003,0,1003
STM14_0323,SL1344_0270,0,2760,0,2760
STM14_0324,SL1344_0271,4.91E-177,616,6.34E-177,616
STM14_0325,SL1344_0272,0,898,0,898
STM14_0326,SL1344_0273,0,898,0,898
STM14_0327,SL1344_0274,0,710,0,710
STM14_0328,SL1344_0275,0,898,0,898
STM14_0329,SL1344_0276,0,992,0,992
STM14_0330,SL1344_0277,0,2483,0,2483
STM14_0331,SL1344_0278,0,2410,0,2410
STM14_0332,SL1344_0279,0,1430,0,1430
STM14_0333,SL1344_0280,0,798,0,798
STM14_0334,SL1344_0281,0,7142,0,7142
STM14_0335,SL1344_0282,0,1458,0,1458
STM14_0336,SL1344_0283,0,771,0,771
STM14_0338,SL1344_0284,0,965,0,965
STM14_0339,SL1344_0285,0,4045,0,4045
STM14_0341,SL1344_0286B,0,826,0,826
STM14_0342,SL1344_0288,0,1607,0,1607
STM14_0345,SL1344_0289,0,826,0,826
STM14_0346,ncRNA0026,0,809,0,809
STM14_0348,SL1344_0291,7.08E-140,492,1.06E-139,492
STM14_0349,SL1344_0292,9.96E-164,571,9.45E-164,571
STM14_0352,SL1344_0295,1.79E-130,460,2.17E-130,460
STM14_0353,SL1344_0296,0,948,0,948
STM14_0354,SL1344_0297,0,1319,0,1319
STM14_0355,SL1344_0298,0,4638,0,4638
STM14_0356,SL1344_0299,0,870,0,870
STM14_0358,SL1344_0300,0,1519,0,1519
STM14_0359,SL1344_0301,0,1751,0,1751
STM14_0360,SL1344_0302,3.39E-112,399,3.19E-112,399
STM14_0362,SL1344_0303,0,1330,0,1330
STM14_0364,SL1344_0304,0,754,0,754
STM14_0365,SL1344_0305,0,1419,0,1419
STM14_0366,SL1344_0306,0,4516,0,4516
STM14_0367,SL1344_0307,0,1070,0,1070
STM14_0368,SL1344_0308,0,1419,0,1419
STM14_0369,SL1344_0309,0,1369,0,1369
STM14_0370,SL1344_0310,0,1951,0,1951
STM14_0371,SL1344_0311,0,2087,0,2087
STM14_0372,SL1344_0312,0,1136,0,1136
STM14_0373,SL1344_0313,0,2693,0,2693
STM14_0374,SL1344_0314,0,848,0,848
STM14_0375,SL1344_0315,0,2300,0,2300
STM14_0376,SL1344_0316,0,743,0,743
STM14_0378,SL1344_0317,0,1945,0,1945
STM14_0379,SL1344_0318,0,2039,0,2039
STM14_0381,SL1344_0319,0,2311,0,2311
STM14_0382,SL1344_0320,0,1325,0,1325
STM14_0383,SL1344_0322,0,1321,0,1321
STM14_0384,SL1344_0323,4.81E-172,599,4.56E-172,599
STM14_0385,SL1344_0324,0,2289,0,2289
STM14_0386,SL1344_0325,0,2241,0,2241
STM14_0387,SL1344_0326,0,1158,0,1158
STM14_0388,SL1344_0327,0,1624,0,1624
STM14_0389,SL1344_0328,0,1690,0,1690
STM14_0390,SL1344_0329,0,1784,0,1784
STM14_0391,SL1344_0330,8.99E-144,505,8.5E-144,505
STM14_0392,SL1344_0331,0,737,0,737
STM14_0393,SL1344_0332,0,1402,0,1402
STM14_0394,SL1344_0333,0,2449,0,2449
STM14_0395,SL1344_0334,0,4743,0,4743
STM14_0396,SL1344_0335,0,1408,0,1408
STM14_0398,SL1344_0336,0,992,0,992
STM14_0400,SL1344_0338,0,1358,0,1358
STM14_0401,SL1344_0339,0,2909,0,2909
STM14_0402,SL1344_0340,0,1375,0,1375
STM14_0404,SL1344_0341,0,904,0,904
STM14_0405,SL1344_0342,0,970,0,970
STM14_0406,SL1344_0343,0,1186,0,1186
STM14_0407,SL1344_0344,3.52E-117,416,3.32E-117,416
STM14_0408,SL1344_0345,0,665,0,665
STM14_0409,SL1344_0346,0,2693,0,2693
STM14_0410,SL1344_0347,0,5851,0,5851
STM14_0412,SL1344_0348,0,1868,0,1868
STM14_0413,SL1344_0349,0,4228,0,4228
STM14_0414,SL1344_0350,0,859,0,859
STM14_0416,SL1344_0351,1.43E-100,361,1.34E-100,361
STM14_0417,SL1344_0352,0,2316,0,2316
STM14_0418,SL1344_0353,0,3618,0,3618
STM14_0421,SL1344_0354,0,5491,0,5491
STM14_0422,SL1344_0355,3.46E-49,189,3.17E-49,189
STM14_0423,SL1344_0356,0,2593,0,2593
STM14_0425,SL1344_0358,0,1862,0,1862
STM14_0426,SL1344_0359,0,1857,0,1857
STM14_0427,SL1344_0360,0,3895,0,3895
STM14_0428,SL1344_0361,0,1170,0,1170
STM14_0429,SL1344_0362,1.95E-145,510,1.85E-145,510
STM14_0431,SL1344_0363,0,3003,0,3003
STM14_0432,SL1344_0364,0,1640,0,1640
STM14_0433,SL1344_0365,0,2161,0,2161
STM14_0434,SL1344_0366,0,2682,0,2682
STM14_0435,SL1344_0367,0,3480,0,3480
STM14_0438,SL1344_0368,0,1801,0,1801
STM14_0439,SL1344_0369,0,5424,0,5424
STM14_0440,SL1344_0370,0,1153,0,1153
STM14_0443,SL1344_0371,0,2089,0,2089
STM14_0444,SL1344_0372,0,2067,0,2067
STM14_0445,SL1344_0373,0,2023,0,2023
STM14_0447,SL1344_0374,9.96E-164,571,9.45E-164,571
STM14_0448,SL1344_0375,3.39E-112,399,3.19E-112,399
STM14_0449,SL1344_0376,0,2023,0,2023
STM14_0450,SL1344_0377,0,1314,0,1314
STM14_0452,SL1344_0378,0,2239,0,2239
STM14_0454,SL1344_0379,4.01E-137,483,3.89E-137,483
STM14_0455,SL1344_0380,2.21E-170,593,2.1E-170,593
STM14_0456,SL1344_0381,0,2056,0,2056
STM14_0458,SL1344_0382,0,1491,0,1491
STM14_0459,SL1344_0383,0,843,0,843
STM14_0460,SL1344_0384,0,1009,0,1009
STM14_0461,SL1344_0385,3.05E-97,350,2.88E-97,350
STM14_0462,SL1344_0386,0,1253,0,1253
STM14_0463,SL1344_0387,2.01E-150,527,1.9E-150,527
STM14_0465,SL1344_0388,0,1685,0,1685
STM14_0466,SL1344_0389,0,1674,0,1674
STM14_0467,SL1344_0390,0,2167,0,2167
STM14_0468,SL1344_0391,0,5795,0,5795
STM14_0470,SL1344_0392,0,2222,0,2222
STM14_0471,SL1344_0393,0,1275,0,1275
STM14_0473,SL1344_0394,0,2394,0,2394
STM14_0474,SL1344_0395,0,2438,0,2438
STM14_0475,SL1344_0396,0,2532,0,2532
STM14_0476,SL1344_0397,0,3358,0,3358
STM14_0477,SL1344_0398,0,1114,0,1114
STM14_0478,SL1344_0399,0,1075,0,1075
STM14_0480,SL1344_0400,0,1962,0,1962
STM14_0481,SL1344_0401,0,2084,0,2084
STM14_0482,SL1344_0402,4.91E-177,616,4.66E-177,616
STM14_0483,SL1344_0403,0,3413,0,3413
STM14_0484,SL1344_0404,0,1796,0,1796
STM14_0485,SL1344_0405,0,676,0,676
STM14_0486,SL1344_0406,0,1280,0,1280
STM14_0489,SL1344_0407,0,643,0,643
STM14_0490,SL1344_0408,0,1596,0,1596
STM14_0492,SL1344_0409,0,998,0,998
STM14_0493,SL1344_0410,0,832,0,832
STM14_0494,SL1344_0411,0,2039,0,2039
STM14_0495,SL1344_0412,0,870,0,870
STM14_0496,SL1344_0413,0,776,0,776
STM14_0497,SL1344_0414,0,1807,0,1807
STM14_0499,SL1344_0415,0,953,0,953
STM14_0500,SL1344_0416,0,1801,0,1801
STM14_0501,SL1344_0417,0,3441,0,3441
STM14_0502,SL1344_0418,0,1663,0,1663
STM14_0503,SL1344_0419,3.77E-127,449,3.56E-127,449
STM14_0504,SL1344_0420,0,2671,0,2671
STM14_0505,SL1344_0421,0,1474,0,1474
STM14_0506,SL1344_0422,0,1591,0,1591
STM14_0507,SL1344_0423,0,2050,0,2050
STM14_0508,SL1344_0424,0,1740,0,1740
STM14_0510,SL1344_0425,0,1330,0,1330
STM14_0511,SL1344_0426,0,2039,0,2039
STM14_0512,SL1344_0427,0,1496,0,1496
STM14_0513,SL1344_0428,0,1092,0,1092
STM14_0514,SL1344_0429,0,1685,0,1685
STM14_0515,SL1344_0430,0,909,0,909
STM14_0517,SL1344_0431,0,2521,0,2521
STM14_0518,SL1344_0432,0,2793,0,2793
STM14_0519,SL1344_0433,0,2372,0,2372
STM14_0520,SL1344_0434,0,1646,0,1646
STM14_0521,SL1344_0435,2.26E-175,610,2.15E-175,610
STM14_0522,SL1344_0436,0,953,0,953
STM14_0523,SL1344_0437,0,3679,0,3679
STM14_0524,SL1344_0438,0,1768,0,1768
STM14_0525,SL1344_0439,0,2726,0,2726
STM14_0527,SL1344_0440,0,1070,0,1070
STM14_0529,SL1344_0441,1.02E-168,588,9.67E-169,588
STM14_0530,SL1344_0442,0,2399,0,2399
STM14_0532,SL1344_0443,0,1153,0,1153
STM14_0533,SL1344_0444,0,2350,0,2350
STM14_0534,SL1344_0445,0,4349,0,4349
STM14_0535,SL1344_0446,9.62E-144,505,8.5E-144,505
STM14_0537,SL1344_0447,0,3458,0,3458
STM14_0538,SL1344_0448,0,693,0,693
STM14_0539,SL1344_0449,0,737,0,737
STM14_0540,SL1344_0450,0,1286,0,1286
STM14_0541,SL1344_0451,0,3142,0,3142
STM14_0542,SL1344_0452,0,1513,0,1513
STM14_0543,SL1344_0453,0,1951,0,1951
STM14_0544,SL1344_0454,0,843,0,843
STM14_0545,SL1344_0455,0,3275,0,3275
STM14_0546,SL1344_0456,0,3280,0,3280
STM14_0547,SL1344_0457,2.31E-180,627,2.19E-180,627
STM14_0548,SL1344_0458,0,2377,0,2377
STM14_0549,SL1344_0459,0,1591,0,1591
STM14_0550,SL1344_0460,0,1053,0,1053
STM14_0551,ncRNA0014,1.27E-163,571,9.55E-164,571
STM14_0552,SL1344_0461,9.12E-45,174,1.02E-44,174
STM14_0553,SL1344_0462,0,2859,0,2859
STM14_0554,SL1344_0463,4.01E-137,483,3.79E-137,483
STM14_0555,SL1344_0464,5.1E-39,156,2.55E-39,156
STM14_0556,SL1344_0465,0,870,0,870
STM14_0557,SL1344_0466,0,1020,0,1020
STM14_0558,SL1344_0467,7.4E-114,405,6.97E-114,405
STM14_0559,SL1344_0468,0,693,0,693
STM14_0560,SL1344_0469,0,5818,0,5818
STM14_0561,SL1344_0470,0,2206,0,2206
STM14_0563,SL1344_0471,0,1208,0,1208
STM14_0564,SL1344_0472,0,6211,0,6211
STM14_0565,SL1344_0473,0,1729,0,1729
STM14_0566,SL1344_0474,1.25E-85,311,1.17E-85,311
STM14_0568,SL1344_0476,0,953,0,953
STM14_0569,SL1344_0477,0,1020,0,1020
STM14_0570,SL1344_0478,0,3563,0,3563
STM14_0571,SL1344_0479,2.26E-175,610,2.15E-175,610
STM14_0572,SL1344_0480,0,1120,0,1120
STM14_0574,SL1344_0481,0,3463,0,3463
STM14_0576,SL1344_0482,0,1192,0,1192
STM14_0577,SL1344_0483,0,1779,0,1779
STM14_0578,SL1344_0484,0,1796,0,1796
STM14_0579,SL1344_0485,0,2405,0,2405
STM14_0581,SL1344_0486,0,3092,0,3092
STM14_0582,SL1344_0487,0,2255,0,2255
STM14_0583,SL1344_0488,0,3053,0,3053
STM14_0584,SL1344_0489,0,887,0,887
STM14_0585,SL1344_0490,0,1469,0,1469
STM14_0586,SL1344_0491,0,1530,0,1530
STM14_0587,SL1344_0492,0,4621,0,4621
STM14_05870%2CSTM14_0656,SL1344_0550A,0,771,0,771
STM14_0588,SL1344_0493,1.7E-120,427,1.62E-120,427
STM14_0589,SL1344_0494,0,837,0,837
STM14_0590,SL1344_0495,0,1696,0,1696
STM14_0591,SL1344_0496,0,1253,0,1253
STM14_0592,SL1344_0497,0,1441,0,1441
STM14_0593,SL1344_0498,0,1574,0,1574
STM14_0594,SL1344_0499,0,1424,0,1424
STM14_0595,SL1344_0500,0,1136,0,1136
STM14_0596,SL1344_0501,0,1269,0,1269
STM14_0598,SL1344_0502,0,4460,0,4460
STM14_0600,SL1344_0503,0,2095,0,2095
STM14_0601,SL1344_0504,0,1530,0,1530
STM14_0602,SL1344_0505,0,1879,0,1879
STM14_0603,SL1344_0506,0,1219,0,1219
STM14_0604,SL1344_0507,0,2023,0,2023
STM14_0605,SL1344_0508,0,1712,0,1712
STM14_0606,SL1344_0509,0,893,0,893
STM14_0607,SL1344_0510,0,1513,0,1513
STM14_0608,SL1344_0511,0,3291,0,3291
STM14_0609,SL1344_0512,0,1435,0,1435
STM14_0610,SL1344_0513,0,1624,0,1624
STM14_0612,SL1344_0515,0,2305,0,2305
STM14_0613,SL1344_0516,0,2687,0,2687
STM14_0614,SL1344_0517,0,2510,0,2510
STM14_0615,SL1344_0518,0,2394,0,2394
STM14_0616,SL1344_0519,0,2122,0,2122
STM14_0617,SL1344_0520,0,1452,0,1452
STM14_0618,SL1344_0521,0,2283,0,2283
STM14_0619,SL1344_0522,0,1940,0,1940
STM14_0620,SL1344_0523,0,3075,0,3075
STM14_0621,SL1344_0524,0,2327,0,2327
STM14_0622,SL1344_0525,0,1496,0,1496
STM14_0623,SL1344_0526,0,1652,0,1652
STM14_0624,SL1344_0527,0,1973,0,1973
STM14_0625,SL1344_0528,0,942,0,942
STM14_0626,SL1344_0529,0,1336,0,1336
STM14_0627,SL1344_0530,0,915,0,915
STM14_0628,SL1344_0531,0,2560,0,2560
STM14_0629,SL1344_0532,0,1524,0,1524
STM14_0630,SL1344_0533,0,809,0,809
STM14_0631,SL1344_0534,0,1009,0,1009
STM14_0632,SL1344_0535,1.55E-110,394,1.46E-110,394
STM14_0635,SL1344_0536,0,1596,0,1596
STM14_0636,SL1344_0537,0,1003,0,1003
STM14_0637,SL1344_0538,0,987,0,987
STM14_0638,SL1344_0539,0,1280,0,1280
STM14_0639,SL1344_0540,0,4826,0,4826
STM14_0640,SL1344_0541,0,1862,0,1862
STM14_0641,SL1344_0542,0,959,0,959
STM14_0642,SL1344_0543,0,1170,0,1170
STM14_0643,SL1344_0544,0,1336,0,1336
STM14_0644,SL1344_0545,2.16E-165,577,2.05E-165,577
STM14_06470%2CSTM14_3330,SL1344_2747,0,1103,0,1103
STM14_0650,SL1344_0547,0,1103,0,1103
STM14_0651,SL1344_0548,0,3048,0,3048
STM14_0652,SL1344_0549,0,1712,0,1712
