gene_name,type,new_locus,old_locus
leuL, protein_coding, STM14_RS01150, STM14_0135
leuO, protein_coding, STM14_RS01155, STM14_0138
ilvI, protein_coding, STM14_RS01160, STM14_0139
ilvN, protein_coding, STM14_RS01165, STM14_0140
cra, protein_coding, STM14_RS01170, STM14_0142
mraZ, protein_coding, STM14_RS01175, STM14_0145
rsmH, protein_coding, STM14_RS01180, STM14_0146
ftsL, protein_coding, STM14_RS01185, STM14_0147
ftsI, protein_coding, STM14_RS01190, STM14_0148
murE, protein_coding, STM14_RS01195, STM14_0149
murF, protein_coding, STM14_RS01200, STM14_0150
mraY, protein_coding, STM14_RS01205, STM14_0151
murD, protein_coding, STM14_RS01210, STM14_0152
ftsW, protein_coding, STM14_RS01215, STM14_0153
murG, protein_coding, STM14_RS01220, STM14_0154
murC, protein_coding, STM14_RS01225, STM14_0155
STM14_RS01230, protein_coding, STM14_RS01230, STM14_0156
ftsQ, protein_coding, STM14_RS01235, STM14_0157
ftsA, protein_coding, STM14_RS01240, STM14_0158
ftsZ, protein_coding, STM14_RS01245, STM14_0159
lpxC, protein_coding, STM14_RS01250, STM14_0160
secM, protein_coding, STM14_RS01255, STM14_0161
secA, protein_coding, STM14_RS01260, STM14_0162
mutT, protein_coding, STM14_RS01265, STM14_0163
STM14_RS24350, pseudogene, STM14_RS24350, STM14_0165
yacG, protein_coding, STM14_RS01275, STM14_0166
zapD, protein_coding, STM14_RS01280, STM14_0167
coaE, protein_coding, STM14_RS01285, STM14_0168
STM14_RS01290, protein_coding, STM14_RS01290, STM14_0169
hofC, protein_coding, STM14_RS01295, STM14_0170
gspE, protein_coding, STM14_RS01300, STM14_0171
ppdD, protein_coding, STM14_RS01305, STM14_0172
nadC, protein_coding, STM14_RS01310, STM14_0174
ampD, protein_coding, STM14_RS01315, STM14_0175
ampE, protein_coding, STM14_RS01320, STM14_0176
STM14_RS01325, protein_coding, STM14_RS01325, STM14_0177
STM14_RS01330, protein_coding, STM14_RS01330, STM14_0178
aroP, protein_coding, STM14_RS01335, STM14_0180
pdhR, protein_coding, STM14_RS01340, STM14_0182
aceE, protein_coding, STM14_RS01345, STM14_0183
aceF, protein_coding, STM14_RS01350, STM14_0184
lpdA, protein_coding, STM14_RS01355, STM14_0185
STM14_RS01360, protein_coding, STM14_RS01360, STM14_0187
STM14_RS01365, protein_coding, STM14_RS01365, STM14_0188
STM14_RS01370, pseudogene, STM14_RS01370, STM14_0189
acnB, protein_coding, STM14_RS01375, STM14_0190
STM14_RS01380, protein_coding, STM14_RS01380, STM14_0191
yacL, protein_coding, STM14_RS01385, STM14_0192
STM14_RS01390, protein_coding, STM14_RS01390, STM14_0193
STM14_RS01395, protein_coding, STM14_RS01395, STM14_0194
STM14_RS01400, protein_coding, STM14_RS01400, STM14_0195
STM14_RS01405, protein_coding, STM14_RS01405, STM14_0196
speD, protein_coding, STM14_RS01410, STM14_0197
speE, protein_coding, STM14_RS01415, STM14_0198
STM14_RS01420, protein_coding, STM14_RS01420, STM14_0199
cueO, protein_coding, STM14_RS01425, STM14_0200
STM14_RS01430, protein_coding, STM14_RS01430, STM14_0201
hpt, protein_coding, STM14_RS01435, STM14_0202
can, protein_coding, STM14_RS01440, STM14_0203
STM14_RS01445, protein_coding, STM14_RS01445, STM14_0204
STM14_RS01450, protein_coding, STM14_RS01450, STM14_0205
STM14_RS01455, protein_coding, STM14_RS01455, STM14_0206
STM14_RS01460, protein_coding, STM14_RS01460, STM14_0207
stiB, protein_coding, STM14_RS01465, STM14_0208
STM14_RS01470, protein_coding, STM14_RS01470, STM14_0209
STM14_RS01475, protein_coding, STM14_RS01475, STM14_0211
STM14_RS01480, protein_coding, STM14_RS01480, STM14_0212
panD, protein_coding, STM14_RS01485, STM14_0213
panC, protein_coding, STM14_RS01490, STM14_0214
panB, protein_coding, STM14_RS01495, STM14_0216
folK, protein_coding, STM14_RS01500, STM14_0217
pcnB, protein_coding, STM14_RS01505, STM14_0218
gluQRS, protein_coding, STM14_RS01510, STM14_0219
dksA, protein_coding, STM14_RS01515, STM14_0220
sfsA, protein_coding, STM14_RS01520, STM14_0221
thpR, protein_coding, STM14_RS01525, STM14_0222
hrpB, protein_coding, STM14_RS01530, STM14_0223
mrcB, protein_coding, STM14_RS01535, STM14_0226
fhuA, protein_coding, STM14_RS01540, STM14_0228
fhuC, protein_coding, STM14_RS01545, STM14_0229
fhuD, protein_coding, STM14_RS01550, STM14_0230
fhuB, protein_coding, STM14_RS01555, STM14_0231
stfA, protein_coding, STM14_RS01560, STM14_0234
STM14_RS01565, protein_coding, STM14_RS01565, STM14_0235
stfD, protein_coding, STM14_RS01570, STM14_0236
STM14_RS01575, protein_coding, STM14_RS01575, STM14_0237
stfF, protein_coding, STM14_RS01580, STM14_0238
STM14_RS01585, protein_coding, STM14_RS01585, STM14_0239
stfH, protein_coding, STM14_RS01590, STM14_0240
hemL, protein_coding, STM14_RS01595, STM14_0241
clcA, protein_coding, STM14_RS01600, STM14_0243
erpA, protein_coding, STM14_RS01605, STM14_0244
STM14_RS01610, protein_coding, STM14_RS01610, STM14_0245
btuF, protein_coding, STM14_RS01615, STM14_0246
mtnN, protein_coding, STM14_RS01620, STM14_0247
dgt, protein_coding, STM14_RS01625, STM14_0248
degP, protein_coding, STM14_RS01630, STM14_0249
cdaR, protein_coding, STM14_RS01635, STM14_0250
STM14_RS01640, protein_coding, STM14_RS01640, STM14_0251
STM14_RS01645, pseudogene, STM14_RS01645, STM14_0252
dapD, protein_coding, STM14_RS01650, STM14_0253
glnD, protein_coding, STM14_RS01655, STM14_0254
map, protein_coding, STM14_RS01660, STM14_0255
rpsB, protein_coding, STM14_RS01665, STM14_0257
tsf, protein_coding, STM14_RS01670, STM14_0258
pyrH, protein_coding, STM14_RS01675, STM14_0259
frr, protein_coding, STM14_RS01680, STM14_0260
ispC, protein_coding, STM14_RS01685, STM14_0261
ispU, protein_coding, STM14_RS01690, STM14_0263
cdsA, protein_coding, STM14_RS01695, STM14_0264
rseP, protein_coding, STM14_RS01700, STM14_0265
bamA, protein_coding, STM14_RS01705, STM14_0266
skp, protein_coding, STM14_RS01710, STM14_0267
lpxD, protein_coding, STM14_RS01715, STM14_0268
fabZ, protein_coding, STM14_RS01720, STM14_0269
lpxA, protein_coding, STM14_RS01725, STM14_0270
lpxB, protein_coding, STM14_RS01730, STM14_0271
rnhB, protein_coding, STM14_RS01735, STM14_0272
dnaE, protein_coding, STM14_RS01740, STM14_0273
accA, protein_coding, STM14_RS01745, STM14_0274
STM14_RS01750, protein_coding, STM14_RS01750, STM14_0275
ldcC, protein_coding, STM14_RS01755, STM14_0276
STM14_RS01760, protein_coding, STM14_RS01760, STM14_0277
tilS, protein_coding, STM14_RS01765, STM14_0278
rof, protein_coding, STM14_RS01770, STM14_0279
STM14_RS01775, protein_coding, STM14_RS01775, STM14_0280
STM14_RS01780, protein_coding, STM14_RS01780, STM14_0281
arfB, protein_coding, STM14_RS01785, STM14_0282
nlpE, protein_coding, STM14_RS01790, STM14_0283
proS, protein_coding, STM14_RS01795, STM14_0284
tsaA, protein_coding, STM14_RS01800, STM14_0285
rcsF, protein_coding, STM14_RS01805, STM14_0286
metQ, protein_coding, STM14_RS01810, STM14_0287
STM14_RS01815, protein_coding, STM14_RS01815, STM14_0288
metN, protein_coding, STM14_RS01820, STM14_0289
gmhB, protein_coding, STM14_RS01825, STM14_0290
STM14_RS01830, rRNA, STM14_RS01830, STM14_0293
STM14_RS01835, tRNA, STM14_RS01835, STM14_0294
STM14_RS01840, tRNA, STM14_RS01840, STM14_0295
STM14_RS01845, rRNA, STM14_RS01845, STM14_0297
rrf, rRNA, STM14_RS01850, STM14_0298
STM14_RS01855, tRNA, STM14_RS01855, STM14_0299
dkgB, protein_coding, STM14_RS01860, STM14_0300
yafC, protein_coding, STM14_RS01865, STM14_0301
STM14_RS01870, protein_coding, STM14_RS01870, STM14_0302
STM14_RS01875, protein_coding, STM14_RS01875, STM14_0303
STM14_RS01880, protein_coding, STM14_RS01880, STM14_0304
mltD, protein_coding, STM14_RS01885, STM14_0305
gloB, protein_coding, STM14_RS01890, STM14_0306
STM14_RS01895, protein_coding, STM14_RS01895, STM14_0307
rnhA, protein_coding, STM14_RS01900, STM14_0308
dnaQ, protein_coding, STM14_RS01905, STM14_0309
STM14_RS01910, tRNA, STM14_RS01910, STM14_0311
STM14_RS01915, protein_coding, STM14_RS01915, STM14_0313
tssG, protein_coding, STM14_RS01920, STM14_0314
tssF, protein_coding, STM14_RS01925, STM14_0315
tssE, protein_coding, STM14_RS01930, STM14_0316
STM14_RS01935, protein_coding, STM14_RS01935, STM14_0317
tagK, protein_coding, STM14_RS01940, STM14_0318
tssH, protein_coding, STM14_RS01950, STM14_0319
tssB, protein_coding, STM14_RS01955, STM14_0320
tssC, protein_coding, STM14_RS01960, STM14_0321
STM14_RS25840, protein_coding, STM14_RS25840, STM14_0322
STM14_RS01965, protein_coding, STM14_RS01965, STM14_0323
STM14_RS01970, protein_coding, STM14_RS01970, STM14_0324
STM14_RS26690, pseudogene, STM14_RS26690,
STM14_RS01975, protein_coding, STM14_RS01975, STM14_0325
STM14_RS01980, protein_coding, STM14_RS01980, STM14_0326
STM14_RS01985, protein_coding, STM14_RS01985, STM14_0327
tssJ, protein_coding, STM14_RS01990, STM14_0328
tssK, protein_coding, STM14_RS01995, STM14_0329
tssL, protein_coding, STM14_RS02000, STM14_0330
STM14_RS02005, protein_coding, STM14_RS02005, STM14_0331
STM14_RS02010, protein_coding, STM14_RS02010, STM14_0332
tssM, protein_coding, STM14_RS02015, STM14_0333
STM14_RS02020, protein_coding, STM14_RS02020, STM14_0334
STM14_RS02025, protein_coding, STM14_RS02025, STM14_0335
STM14_RS02030, protein_coding, STM14_RS02030, STM14_0336
STM14_RS02035, protein_coding, STM14_RS02035, STM14_0338
STM14_RS02040, protein_coding, STM14_RS02040, STM14_0339
STM14_RS02045, protein_coding, STM14_RS02045, STM14_0340
STM14_RS02050, protein_coding, STM14_RS02050,
STM14_RS02055, pseudogene, STM14_RS02055, STM14_0341
sciX, protein_coding, STM14_RS02060, STM14_0342
STM14_RS02065, protein_coding, STM14_RS02065, STM14_0345
STM14_RS02070, protein_coding, STM14_RS02070, STM14_0346
STM14_RS26695, protein_coding, STM14_RS26695,
STM14_RS02075, protein_coding, STM14_RS02075, STM14_0348
STM14_RS24395, protein_coding, STM14_RS24395, STM14_0349
STM14_RS25855, pseudogene, STM14_RS25855,
STM14_RS02095, protein_coding, STM14_RS02095, STM14_0352
safB, protein_coding, STM14_RS02100, STM14_0353
STM14_RS02105, protein_coding, STM14_RS02105, STM14_0354
STM14_RS02110, protein_coding, STM14_RS02110, STM14_0355
STM14_RS02115, protein_coding, STM14_RS02115, STM14_0356
STM14_RS02120, pseudogene, STM14_RS02120, STM14_0357
STM14_RS02130, protein_coding, STM14_RS02130, STM14_0358
STM14_RS02135, protein_coding, STM14_RS02135, STM14_0359
pagN, protein_coding, STM14_RS02140, STM14_0360
STM14_RS02145, protein_coding, STM14_RS02145, STM14_0362
STM14_RS02150, protein_coding, STM14_RS02150, STM14_0364
fadE, protein_coding, STM14_RS02155, STM14_0365
lpcA, protein_coding, STM14_RS02160, STM14_0366
STM14_RS02165, protein_coding, STM14_RS02165, STM14_0367
dpaA, protein_coding, STM14_RS02170, STM14_0368
dinB, protein_coding, STM14_RS02175, STM14_0369
STM14_RS02180, pseudogene, STM14_RS02180, STM14_0370
prfH, protein_coding, STM14_RS02185, STM14_0371
pepD, protein_coding, STM14_RS02190, STM14_0372
gpt, protein_coding, STM14_RS02195, STM14_0373
frsA, protein_coding, STM14_RS02200, STM14_0374
crl, protein_coding, STM14_RS02205, STM14_0375
phoE, protein_coding, STM14_RS02210, STM14_0376
proB, protein_coding, STM14_RS02215, STM14_0378
proA, protein_coding, STM14_RS02220, STM14_0379
STM14_RS02225, tRNA, STM14_RS02225, STM14_0380
STM14_RS02230, pseudogene, STM14_RS02230, STM14_0381
STM14_RS24400, pseudogene, STM14_RS24400, STM14_0382
STM14_RS02245, protein_coding, STM14_RS02245, STM14_0383
STM14_RS02250, protein_coding, STM14_RS02250, STM14_0384
leuC, protein_coding, STM14_RS02255, STM14_0385
leuD, protein_coding, STM14_RS02260, STM14_0386
STM14_RS02265, protein_coding, STM14_RS02265, STM14_0387
STM14_RS02270, protein_coding, STM14_RS02270, STM14_0388
STM14_RS02275, protein_coding, STM14_RS02275, STM14_0389
STM14_RS25860, protein_coding, STM14_RS25860, STM14_0390
STM14_RS02285, protein_coding, STM14_RS02285, STM14_0391
stbE, protein_coding, STM14_RS02290, STM14_0392
stbD, protein_coding, STM14_RS02295, STM14_0393
STM14_RS02300, protein_coding, STM14_RS02300, STM14_0394
stbB, protein_coding, STM14_RS02305, STM14_0395
STM14_RS02310, protein_coding, STM14_RS02310, STM14_0396
STM14_RS02315, protein_coding, STM14_RS02315, STM14_0398
STM14_RS25865, pseudogene, STM14_RS25865,
STM14_RS02325, protein_coding, STM14_RS02325, STM14_0400
STM14_RS02330, protein_coding, STM14_RS02330, STM14_0401
STM14_RS02335, protein_coding, STM14_RS02335, STM14_0402
STM14_RS02340, protein_coding, STM14_RS02340, STM14_0404
STM14_RS02345, protein_coding, STM14_RS02345, STM14_0405
STM14_RS02350, protein_coding, STM14_RS02350, STM14_0406
STM14_RS02355, protein_coding, STM14_RS02355, STM14_0407
mdsC, protein_coding, STM14_RS02360, STM14_0408
mdsB, protein_coding, STM14_RS02365, STM14_0409
mdsA, protein_coding, STM14_RS02370, STM14_0410
golT, protein_coding, STM14_RS02375, STM14_0412
golS, protein_coding, STM14_RS02380, STM14_0413
golB, protein_coding, STM14_RS02385, STM14_0414
STM14_RS02395, protein_coding, STM14_RS02395, STM14_0416
STM14_RS02400, protein_coding, STM14_RS02400, STM14_0417
STM14_RS02405, protein_coding, STM14_RS02405, STM14_0418
ssaA, protein_coding, STM14_RS02410, STM14_0421
STM14_RS02415, protein_coding, STM14_RS02415, STM14_0422
cydB, protein_coding, STM14_RS02420, STM14_0423
STM14_RS02425, protein_coding, STM14_RS02425,
STM14_RS02430, protein_coding, STM14_RS02430, STM14_0425
foxA, protein_coding, STM14_RS02435, STM14_0426
STM14_RS02440, protein_coding, STM14_RS02440, STM14_0427
yahO, protein_coding, STM14_RS02445, STM14_0428
prpR, protein_coding, STM14_RS02450, STM14_0429
prpB, protein_coding, STM14_RS02455, STM14_0431
prpC, protein_coding, STM14_RS02460, STM14_0432
STM14_RS02465, protein_coding, STM14_RS02465, STM14_0433
prpE, protein_coding, STM14_RS02470, STM14_0434
hemB, protein_coding, STM14_RS02475, STM14_0435
STM14_RS02480, protein_coding, STM14_RS02480, STM14_0438
iprA, protein_coding, STM14_RS02485, STM14_0439
ampH, protein_coding, STM14_RS02490, STM14_0440
sbmA, protein_coding, STM14_RS02495, STM14_0443
yaiW, protein_coding, STM14_RS02500, STM14_0444
STM14_RS02505, protein_coding, STM14_RS02505, STM14_0445
STM14_RS02510, protein_coding, STM14_RS02510, STM14_0447
ddlA, protein_coding, STM14_RS02515, STM14_0448
STM14_RS02520, protein_coding, STM14_RS02520, STM14_0449
STM14_RS02525, protein_coding, STM14_RS02525, STM14_0450
iraP, protein_coding, STM14_RS02530, STM14_0452
psiF, protein_coding, STM14_RS02535, STM14_0454
adrA, protein_coding, STM14_RS02540, STM14_0455
proC, protein_coding, STM14_RS02545, STM14_0456
STM14_RS02550, protein_coding, STM14_RS02550, STM14_0458
aroL, protein_coding, STM14_RS02555, STM14_0459
yaiA, protein_coding, STM14_RS02560, STM14_0460
STM14_RS02565, protein_coding, STM14_RS02565, STM14_0461
ppnP, protein_coding, STM14_RS02570, STM14_0462
rdgC, protein_coding, STM14_RS02575, STM14_0463
mak, protein_coding, STM14_RS02580, STM14_0465
araJ, protein_coding, STM14_RS02585, STM14_0466
sbcC, protein_coding, STM14_RS02590, STM14_0467
sbcD, protein_coding, STM14_RS02595, STM14_0468
phoB, protein_coding, STM14_RS02605, STM14_0470
phoR, protein_coding, STM14_RS02610, STM14_0471
brnQ, protein_coding, STM14_RS02615, STM14_0473
proY, protein_coding, STM14_RS02620, STM14_0474
malZ, protein_coding, STM14_RS02625, STM14_0475
STM14_RS02630, protein_coding, STM14_RS02630, STM14_0476
acpH, protein_coding, STM14_RS02635, STM14_0477
queA, protein_coding, STM14_RS02640, STM14_0478
tgt, protein_coding, STM14_RS02645, STM14_0480
yajC, protein_coding, STM14_RS02650, STM14_0481
secD, protein_coding, STM14_RS02655, STM14_0482
secF, protein_coding, STM14_RS02660, STM14_0483
STM14_RS02665, protein_coding, STM14_RS02665, STM14_0484
STM14_RS02670, protein_coding, STM14_RS02670, STM14_0485
yajD, protein_coding, STM14_RS02675, STM14_0486
STM14_RS26275, protein_coding, STM14_RS26275,
STM14_RS02685, protein_coding, STM14_RS02685, STM14_0489
STM14_RS02690, protein_coding, STM14_RS02690, STM14_0490
nrdR, protein_coding, STM14_RS02695, STM14_0492
ribD, protein_coding, STM14_RS02700, STM14_0493
ribE, protein_coding, STM14_RS02705, STM14_0494
nusB, protein_coding, STM14_RS02710, STM14_0495
thiL, protein_coding, STM14_RS02715, STM14_0496
pgpA, protein_coding, STM14_RS02720, STM14_0497
STM14_RS02725, protein_coding, STM14_RS02725, STM14_0499
dxs, protein_coding, STM14_RS02730, STM14_0500
ispA, protein_coding, STM14_RS02735, STM14_0501
xseB, protein_coding, STM14_RS02740, STM14_0502
thiI, protein_coding, STM14_RS02745, STM14_0503
phnV, protein_coding, STM14_RS02750, STM14_0504
phnU, protein_coding, STM14_RS02755, STM14_0505
phnT, protein_coding, STM14_RS02760, STM14_0506
phnS, protein_coding, STM14_RS02765, STM14_0507
phnR, protein_coding, STM14_RS02770, STM14_0508
phnW, protein_coding, STM14_RS02775, STM14_0510
STM14_RS02780, protein_coding, STM14_RS02780, STM14_0511
yajL, protein_coding, STM14_RS02785, STM14_0512
panE, protein_coding, STM14_RS02790, STM14_0513
STM14_RS02795, protein_coding, STM14_RS02795, STM14_0514
STM14_RS02800, protein_coding, STM14_RS02800, STM14_0515
STM14_RS26700, pseudogene, STM14_RS26700, STM14_0516
STM14_RS02805, protein_coding, STM14_RS02805, STM14_0517
STM14_RS02810, protein_coding, STM14_RS02810, STM14_0518
cyoE, protein_coding, STM14_RS02815, STM14_0519
STM14_RS02820, protein_coding, STM14_RS02820, STM14_0520
STM14_RS02825, protein_coding, STM14_RS02825, STM14_0521
cyoB, protein_coding, STM14_RS02830, STM14_0522
cyoA, protein_coding, STM14_RS02835, STM14_0523
ampG, protein_coding, STM14_RS02840, STM14_0524
STM14_RS02845, protein_coding, STM14_RS02845, STM14_0525
bolA, protein_coding, STM14_RS02850, STM14_0527
tig, protein_coding, STM14_RS02855, STM14_0529
clpP, protein_coding, STM14_RS02860, STM14_0530
clpX, protein_coding, STM14_RS02865, STM14_0532
lon, protein_coding, STM14_RS02870, STM14_0533
hupB, protein_coding, STM14_RS02875, STM14_0534
ppiD, protein_coding, STM14_RS02880, STM14_0535
STM14_RS02885, protein_coding, STM14_RS02885, STM14_0537
fadM, protein_coding, STM14_RS02890, STM14_0538
queC, protein_coding, STM14_RS02895, STM14_0539
STM14_RS02900, protein_coding, STM14_RS02900, STM14_0540
cof, protein_coding, STM14_RS02905, STM14_0541
cdsH, protein_coding, STM14_RS02910, STM14_0542
decR, protein_coding, STM14_RS02915, STM14_0543
STM14_RS02920, protein_coding, STM14_RS02920, STM14_0544
STM14_RS02925, protein_coding, STM14_RS02925, STM14_0545
glnK, protein_coding, STM14_RS02930, STM14_0546
amtB, protein_coding, STM14_RS02935, STM14_0547
tesB, protein_coding, STM14_RS02940, STM14_0548
STM14_RS02945, protein_coding, STM14_RS02945, STM14_0549
STM14_RS02950, protein_coding, STM14_RS02950, STM14_0550
ffs, SRP_RNA, STM14_RS24150, STM14_0551
STM14_RS02955, protein_coding, STM14_RS02955, STM14_0552
STM14_RS02960, protein_coding, STM14_RS02960, STM14_0553
ykgO, protein_coding, STM14_RS02965, STM14_0554
STM14_RS02970, protein_coding, STM14_RS02970, STM14_0555
maa, protein_coding, STM14_RS02975, STM14_0556
STM14_RS02980, protein_coding, STM14_RS02980, STM14_0557
tomB, protein_coding, STM14_RS02985, STM14_0558
acrB, protein_coding, STM14_RS02990, STM14_0559
acrA, protein_coding, STM14_RS02995, STM14_0560
acrR, protein_coding, STM14_RS03000, STM14_0561
mscK, protein_coding, STM14_RS03005, STM14_0563
STM14_RS03010, protein_coding, STM14_RS03010, STM14_0564
rsmS, protein_coding, STM14_RS03015, STM14_0565
priC, protein_coding, STM14_RS03020, STM14_0566
STM14_RS03025, protein_coding, STM14_RS03025, STM14_0567
apt, protein_coding, STM14_RS03030, STM14_0568
dnaX, protein_coding, STM14_RS03035, STM14_0569
STM14_RS03040, protein_coding, STM14_RS03040, STM14_0570
recR, protein_coding, STM14_RS03045, STM14_0571
htpG, protein_coding, STM14_RS03050, STM14_0572
adk, protein_coding, STM14_RS03055, STM14_0574
hemH, protein_coding, STM14_RS03060, STM14_0576
aes, protein_coding, STM14_RS03065, STM14_0577
gsk, protein_coding, STM14_RS03070, STM14_0578
ybaL, protein_coding, STM14_RS03075, STM14_0579
STM14_RS03080, protein_coding, STM14_RS03080, STM14_0581
ushA, protein_coding, STM14_RS03085, STM14_0582
